mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	2.0	0	0	2/2	2	1	F.I(b9){		F	I		I(b9)		I			b9			{	M	0	0	0, 4, 1	-5	0	0
1	1	2	1.5	1/2	1/2	2/2	2	1	viio7(#0)		F	I		viio7(#0)		vii	o	7	#0				o7	0	0	5, 2, -1, -4		5	5
1	1	7/2	0.5	7/8	7/8	2/2	2	1	viio7(9)		F	I		viio7(9)		vii	o	7	9				o7	0	0	5, 2, -1, -4	0	5	5
2	2	4	2.0	0	0	2/2	2	1	I(b9)		F	I		I(b9)		I			b9				M	0	0	0, 4, 1	-5	0	0
2	2	6	1.5	1/2	1/2	2/2	2	1	viio7(#0)		F	I		viio7(#0)		vii	o	7	#0				o7	0	0	5, 2, -1, -4		5	5
2	2	15/2	0.5	7/8	7/8	2/2	2	1	viio7(9)		F	I		viio7(9)		vii	o	7	9				o7	0	0	5, 2, -1, -4	0	5	5
3	3	8	0.5	0	0	2/2	2	1	I(b9)		F	I		I(b9)		I			b9				M	0	0	0, 4, 1	-5	0	0
3	3	17/2	1.0	1/8	1/8	2/2	2	1	viio7(#0)		F	I		viio7(#0)		vii	o	7	#0				o7	0	0	5, 2, -1, -4		5	5
3	3	19/2	0.5	3/8	3/8	2/2	2	1	viio7(9)		F	I		viio7(9)		vii	o	7	9				o7	0	0	5, 2, -1, -4	0	5	5
3	3	10	0.5	1/2	1/2	2/2	2	1	I(b9)		F	I		I(b9)		I			b9				M	0	0	0, 4, 1	-5	0	0
3	3	21/2	1.0	5/8	5/8	2/2	2	1	#viio7(#0)/vi		F	I		#viio7(#0)/vi		#vii	o	7	#0	vi			o7	0	0	8, 5, 2, -1		8	8
3	3	23/2	0.5	7/8	7/8	2/2	2	1	#viio7(9)/vi		F	I		#viio7(9)/vi		#vii	o	7	9	vi			o7	0	0	8, 5, 2, -1	3	8	8
4	4	12	0.5	0	0	2/2	2	1	I(b9)/vi		F	I		I(b9)/vi		I			b9	vi			M	0	0	3, 7, 4	-2	3	3
4	4	25/2	1.0	1/8	1/8	2/2	2	1	#viio7(#1)/iii	#vii%2(b14)/v	F	I		#viio7(#1)/iii		#vii	o	7	#1	iii			o7	0	0	9, 6, 3, 0		9	9
4	4	27/2	0.5	3/8	3/8	2/2	2	1	iv7(9)	IV7(9)	F	I		iv7(9)		iv		7	9				mm7	0	0	-1, -4, 0, -3	1	-1	-1
4	4	14	0.5	1/2	1/2	2/2	2	1	#vii%2/vi		F	I		#vii%2/vi		#vii	%	2		vi			%7	0	0	6, 8, 5, 2		8	6
4	4	29/2	1.0	5/8	5/8	2/2	2	1	#viio7(#0)/ii		F	I		#viio7(#0)/ii		#vii	o	7	#0	ii			o7	0	0	7, 4, 1, -2		7	7
4	4	31/2	0.5	7/8	7/8	2/2	2	1	#viio7(9)/ii		F	I		#viio7(9)/ii		#vii	o	7	9	ii			o7	0	0	7, 4, 1, -2	2	7	7
5	5	16	2.0	0	0	2/2	2	1	I(b9)/ii|IAC}		F	I		I(b9)/ii		I			b9	ii	IAC	}	M	0	0	2, 6, 3	-3	2	2
5	5	18	1.0	1/2	1/2	2/2	2	1	iiM7{		F	I		iiM7		ii	M	7				{	mM7	0	0	2, -1, 3, 7		2	2
5	5	19	1.0	3/4	3/4	2/2	2	1	ivM7		F	I		ivM7		iv	M	7					mM7	0	0	-1, -4, 0, 4		-1	-1
6	6	20	1.0	0	0	2/2	2	1	#vM7	V+(#1)	F	I		#vM7		#v	M	7					mM7	0	0	8, 5, 9, 13		8	8
6	6	21	1.0	1/4	1/4	2/2	2	1	IV+6		F	I		IV+6		IV	+	6					+	0	0	3, 7, -1		-1	3
6	6	22	0.5	1/2	1/2	2/2	2	1	I+(#11)		F	I		I+(#11)		I	+		#11				+	0	0	0, 4, 8	6	0	0
6	6	45/2	1.5	5/8	5/8	2/2	2	1	iiiM7		F	I		iiiM7		iii	M	7					mM7	0	0	4, 1, 5, 9		4	4
7	7	24	0.5	0	0	2/2	2	1	vM7		F	I		vM7		v	M	7					mM7	0	0	1, -2, 2, 6		1	1
7	7	49/2	1.5	1/8	1/8	2/2	2	1	II+2		F	I		II+2		II	+	2					+7	0	0	0, 2, 6, 10		2	0
7	7	26	0.5	1/2	1/2	2/2	2	1	iiM7		F	I		iiM7		ii	M	7					mM7	0	0	2, -1, 3, 7		2	2
7	7	53/2	1.5	5/8	5/8	2/2	2	1	bVIM2		F	I		bVIM2		bVI	M	2					MM7	0	0	1, -4, 0, -3		-4	1
8	8	28	1.0	0	0	1/2	2	1	bV6		F	I		bV6		bV		6					M	0	0	-2, -5, -6		-6	-2
8	8	29	1.0	1/4	1/4	1/2	2	1	bII7(9)		F	I		bII7(9)		bII		7	9				Mm7	0	0	-5, -1, -4, -7	4	-5	-5
9	9	30	2.0	0	0	2/2	2	1	iii%7		F	I		iii%7		iii	%	7					%7	0	0	4, 1, -2, 2		4	4
9	9	32	6.0	1/2	1/2	2/2	2	1	V7(#119)/bIII		F	I		V7(#119)/bIII		V		7	#119	bIII			Mm7	0	0	-2, 2, -1, -4	4, 0	-2	-2
11	11	38	0.5	0	0	2/2	2	1	Fr7(139)/IV		F	I		Fr7(139)/IV	Fr	V		7	139b5	V/IV			Fr	0	0	1, 5, -5, -1	4, 3	1	1
11	11	77/2	1.5	1/8	1/8	2/2	2	1	V7(#119)/bIII		F	I		V7(#119)/bIII		V		7	#119	bIII			Mm7	0	0	-2, 2, -1, -4	4, 0	-2	-2
11	11	40	0.5	1/2	1/2	2/2	2	1	Fr7(139)/IV		F	I		Fr7(139)/IV	Fr	V		7	139b5	V/IV			Fr	0	0	1, 5, -5, -1	4, 3	1	1
11	11	81/2	1.5	5/8	5/8	2/2	2	1	V65(#119)/bIII		F	I		V65(#119)/bIII		V		65	#119	bIII			Mm7	0	0	2, -1, -4, -2	4, 0	-2	2
12	12	42	2.0	0	0	2/2	2	1	Fr43(139)/IV		F	I		Fr43(139)/IV	Fr	V		43	139b5	V/IV			Fr	0	0	-5, -1, 1, 5	4, 3	1	-5
12	12	44	2.0	1/2	1/2	2/2	2	1	V65(#119)/bIII		F	I		V65(#119)/bIII		V		65	#119	bIII			Mm7	0	0	2, -1, -4, -2	4, 0	-2	2
13	13	46	5.0	0	0	2/2	2	1	Fr7(139)/ii		F	I		Fr7(139)/ii	Fr	V		7	139b5	V/ii			Fr	0	0	4, 8, -2, 2	7, 6	4	4
14	14	51	3.0	1/4	1/4	2/2	2	1	V+7(13#11)/V		F	I		V+7(13#11)/V		V	+	7	13#11	V			+7	0	0	2, 6, 10, 0	5, 8	2	2
15	15	54	8.0	0	0	2/2	2	1	V|HC}		F	I		V		V					HC	}	M	0	0	1, 5, 2		1	1
17	17	62	8.0	0	0	2/2	2	1	V(#11b9){		F	I		V(#11b9)		V			#11b9			{	M	0	0	1, 5, 2	7, -4	1	1
19	19	70	4.0	0	0	2/2	2	1	V7(#11b9)		F	I		V7(#11b9)		V		7	#11b9				Mm7	0	0	1, 5, 2, -1	7, -4	1	1
20	20	74	12.0	0	0	2/2	2	1	bVIM7(11)/V}		F	I		bVIM7(11)/V		bVI	M	7	11	V		}	MM7	0	0	-3, 1, -2, 2	3	-3	-3
23	23	86	2.0	0	0	2/2	2	1	#IV.IV6{		F	#IV		IV6		IV		6				{	M	0	0	3, 0, -1		-1	3
23	23	88	2.0	1/2	1/2	2/2	2	1	ii6		F	#IV		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
24	24	90	2.0	0	0	2/2	2	1	bIIIM2		F	#IV		bIIIM2		bIII	M	2					MM7	0	0	2, -3, 1, -2		-3	2
24	24	92	2.0	1/2	1/2	2/2	2	1	bvi64		F	#IV		bvi64		bvi		64					m	0	0	-3, -4, -7		-4	-3
25	25	94	2.0	0	0	2/2	2	1	IV64		F	#IV		IV64		IV		64					M	0	0	0, -1, 3		-1	0
25	25	96	2.0	1/2	1/2	2/2	2	1	bVIIM2		F	#IV		bVIIM2		bVII	M	2					MM7	0	0	3, -2, 2, -1		-2	3
26	26	98	2.0	0	0	2/2	2	1	bVI+64		F	#IV		bVI+64		bVI	+	64					+	0	0	4, -4, 0		-4	4
26	26	100	2.0	1/2	1/2	2/2	2	1	bvii64		F	#IV		bvii64		bvii		64					m	0	0	-1, -2, -5		-2	-1
27	27	102	2.0	0	0	2/2	2	1	I(119)		F	#IV		I(119)		I			119				M	0	0	0, 4, 1	-1, 2	0	0
27	27	104	2.0	1/2	1/2	2/2	2	1	V65/ii		F	#IV		V65/ii		V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
28	28	106	2.0	0	0	2/2	2	1	ii64(1311)	IV6(1311)	F	#IV		ii64(1311)		ii		64	1311				m	0	0	3, 2, -1	5, 1	2	3
28	28	108	2.0	1/2	1/2	2/2	2	1	ii65		F	#IV		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
29	29	110	1.0	0	0	2/2	2	1	I6		F	#IV		I6		I		6					M	0	0	4, 1, 0		0	4
29	29	111	1.0	1/4	1/4	2/2	2	1	viio6		F	#IV		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
29	29	112	1.0	1/2	1/2	2/2	2	1	vi65		F	#IV		vi65		vi		65					mm7	0	0	0, 4, 1, 3		3	0
29	29	113	1.0	3/4	3/4	2/2	2	1	V65(b10b8b5)		F	#IV		V65(b10b8b5)		V		65	b10b8b5				Mm7	0	0	5, -5, -1, 1	-2	1	5
30	30	114	4.0	0	0	2/2	2	1	I.IM7|EC		F	I		IM7		I	M	7			EC		MM7	0	0	0, 4, 1, 5		0	0
31	31	118	2.5	0	0	2/2	2	1	IV	vi	F	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
31	31	241/2	1.5	5/8	5/8	2/2	2	1	I		F	I		I		I							M	0	0	0, 4, 1		0	0
32	32	122	1.0	0	0	2/2	2	1	VI+7		F	I		VI+7		VI	+	7					+7	0	0	3, 7, 11, 1		3	3
