mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1/4	1/4	4/4	2	1		eb.i{	eb	i		i	i						{	m	1	1	0, -3, 1		0	0
2	2	0	0	4/4	2	1		iM7(#11)	eb	i		iM7(#11)	i	M	7	#11				mM7	1	1	0, -3, 1, 5	6	0	0
3	3	0	0	4/4	2	1		i7	eb	i		i7	i		7					mm7	1	1	0, -3, 1, -2		0	0
4	4	0	0	4/4	2	1		iM7(13#10)	eb	i		iM7(13#10)	i	M	7	13#10				mM7	1	1	0, -3, 1, 5	-4, 4	0	0
5	5	0	0	4/4	2	1		i(11b9)	eb	i		i(11b9)	i			11b9				m	1	1	0, -3, 1	-1, -5	0	0
6	6	0	0	4/4	2	1		iM7	eb	i		iM7	i	M	7					mM7	1	1	0, -3, 1, 5		0	0
6	6	1/2	1/2	4/4	2	1		i7(#13)	eb	i		i7(#13)	i		7	#13				mm7	1	1	0, -3, 1, -2	3	0	0
7	7	0	0	4/4	2	1		i(1311)	eb	i		i(1311)	i			1311				m	1	1	0, -3, 1	-4, -1	0	0
8	8	0	0	4/4	2	1		i(13#11)	eb	i		i(13#11)	i			13#11				m	1	1	0, -3, 1	-4, 6	0	0
9	9	0	0	4/4	2	1		i7(13#11)	eb	i		i7(13#11)	i		7	13#11				mm7	1	1	0, -3, 1, -2	-4, 6	0	0
9	9	1/2	1/2	4/4	2	1		i7(11)	eb	i		i7(11)	i		7	11				mm7	1	1	0, -3, 1, -2	-1	0	0
10	10	0	0	4/4	2	1		#iv.i(#13)	eb	#iv		i(#13)	i			#13				m	1	1	0, -3, 1	3	0	0
10	10	1/2	1/2	4/4	2	1		i(13b9)}	eb	#iv		i(13b9)	i			13b9			}	m	1	1	0, -3, 1	-4, -5	0	0
10	10	7/8	7/8	4/4	2	1		{	eb	#iv									{		1	1				
11	11	0	0	4/4	2	1		i(#13)	eb	#iv		i(#13)	i			#13				m	1	1	0, -3, 1	3	0	0
11	11	1/2	1/2	4/4	2	1		i(13)	eb	#iv		i(13)	i			13				m	1	1	0, -3, 1	-4	0	0
12	12	3/4	3/4	4/4	2	1		i(#13)	eb	#iv		i(#13)	i			#13				m	1	1	0, -3, 1	3	0	0
13	13	0	0	4/4	2	1		i(11b9)	eb	#iv		i(11b9)	i			11b9				m	1	1	0, -3, 1	-1, -5	0	0
13	13	1/2	1/2	4/4	2	1		i(#1311)	eb	#iv		i(#1311)	i			#1311				m	1	1	0, -3, 1	3, -1	0	0
14	14	0	0	4/4	2	1		iM7	eb	#iv		iM7	i	M	7					mM7	1	1	0, -3, 1, 5		0	0
14	14	1/2	1/2	4/4	2	1		i7(#13)	eb	#iv		i7(#13)	i		7	#13				mm7	1	1	0, -3, 1, -2	3	0	0
15	15	0	0	4/4	2	1		i.i(139)	eb	i		i(139)	i			139				m	1	1	0, -3, 1	-4, 2	0	0
15	15	3/4	3/4	4/4	2	1		i(#139)	eb	i		i(#139)	i			#139				m	1	1	0, -3, 1	3, 2	0	0
16	16	1/2	1/2	4/4	2	1		#ivM7(b9)}	eb	i		#ivM7(b9)	#iv	M	7	b9			}	mM7	1	1	6, 3, 7, 11	-6	6	6
16	16	3/4	3/4	4/4	2	1		{	eb	i									{		1	1				
17	17	0	0	4/4	2	1		i(13)	eb	i		i(13)	i			13				m	1	1	0, -3, 1	-4	0	0
17	17	1/2	1/2	4/4	2	1		#ivM7	eb	i		#ivM7	#iv	M	7					mM7	1	1	6, 3, 7, 11		6	6
18	18	0	0	4/4	2	1		i(13)	eb	i		i(13)	i			13				m	1	1	0, -3, 1	-4	0	0
18	18	1/2	1/2	4/4	2	1		#ivM7	eb	i		#ivM7	#iv	M	7					mM7	1	1	6, 3, 7, 11		6	6
19	19	0	0	4/4	2	1		iM7	eb	i		iM7	i	M	7					mM7	1	1	0, -3, 1, 5		0	0
19	19	1/2	1/2	4/4	2	1		#iv(9)	eb	i		#iv(9)	#iv			9				m	1	1	6, 3, 7	1	6	6
20	20	0	0	4/4	2	1		i(9)	eb	i		i(9)	i			9				m	1	1	0, -3, 1	2	0	0
20	20	1/2	1/2	4/4	2	1		#iv(#13)	eb	i		#iv(#13)	#iv			#13				m	1	1	6, 3, 7	9	6	6
21	21	0	0	4/4	2	1		i(11#10)	eb	i		i(11#10)	i			11#10				m	1	1	0, -3, 1	-1, 4	0	0
21	21	1/2	1/2	4/4	2	1		iM7(b9)	eb	i		iM7(b9)	i	M	7	b9				mM7	1	1	0, -3, 1, 5	-5	0	0
22	22	0	0	4/4	2	1		i7(#1311)}{	eb	i		i7(#1311)	i		7	#1311			}{	mm7	1	1	0, -3, 1, -2	3, -1	0	0
23	23	0	0	4/4	2	1		i7(#13)	eb	i		i7(#13)	i		7	#13				mm7	1	1	0, -3, 1, -2	3	0	0
24	24	0	0	4/4	2	1		#iv7	eb	i		#iv7	#iv		7					mm7	1	1	6, 3, 7, 4		6	6
24	24	3/4	3/4	4/4	2	1		i7	eb	i		i7	i		7					mm7	1	1	0, -3, 1, -2		0	0
25	25	1/2	1/2	4/4	2	1		#iv7	eb	i		#iv7	#iv		7					mm7	1	1	6, 3, 7, 4		6	6
26	26	0	0	4/4	2	1		i7	eb	i		i7	i		7					mm7	1	1	0, -3, 1, -2		0	0
26	26	1/2	1/2	4/4	2	1		III}	eb	i		III	III						}	M	1	1	-3, 1, -2		-3	-3
