mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	1.0	0	0	2/4	2	1	b.i7(11){	b	i		i7(11)		i		7	11			{	mm7	1	1	0, -3, 1, -2	-1	0	0
1	1	1	1	1.0	1/4	1/4	2/4	2	1	iii7(13)	b	i		iii7(13)		iii		7	13				mm7	1	1	-3, -6, -2, -5	0	-3	-3
2	2	2	2	2.0	0	0	2/4	2	1	bvii2	b	i		bvii2		bvii		2					mm7	1	1	-11, -9, -12, -8		-9	-11
3	3	4	4	1.0	0	0	2/4	2	1	i7(11)	b	i		i7(11)		i		7	11				mm7	1	1	0, -3, 1, -2	-1	0	0
3	3	5	5	1.0	1/4	1/4	2/4	2	1	iii7(13)	b	i		iii7(13)		iii		7	13				mm7	1	1	-3, -6, -2, -5	0	-3	-3
4	4	6	6	2.0	0	0	2/4	2	1	bvii2	b	i		bvii2		bvii		2					mm7	1	1	-11, -9, -12, -8		-9	-11
5	5	8	8	1.0	0	0	2/4	2	1	i7(11)	b	i		i7(11)		i		7	11				mm7	1	1	0, -3, 1, -2	-1	0	0
5	5	9	9	1.0	1/4	1/4	2/4	2	1	v7(134)	b	i		v7(134)		v		7	134				mm7	1	1	1, 0, 2, -1	-3	1	1
6	6	10	10	1.0	0	0	2/4	2	1	III(139)	b	i		III(139)		III			139				M	1	1	-3, 1, -2	0, -1	-3	-3
6	6	11	11	1.0	1/4	1/4	2/4	2	1	i(4)	b	i		i(4)		i			4				m	1	1	0, -1, 1		0	0
7	7	12	12	1.0	0	0	2/4	2	1	VI(9)	b	i		VI(9)		VI			9				M	1	1	-4, 0, -3	-2	-4	-4
7	7	13	13	1.0	1/4	1/4	2/4	2	1	v65(11)	b	i		v65(11)		v		65	11				mm7	1	1	-2, 2, -1, 1	0	1	-2
8	8	14	14	1.0	0	0	2/4	2	1	VI65(+4)	b	i		VI65(+4)		VI		65	+4				Mm7	1	1	0, -3, -6, -4	2	-4	0
8	8	15	15	1.0	1/4	1/4	2/4	2	1	III(139)	b	i		III(139)		III			139				M	1	1	-3, 1, -2	0, -1	-3	-3
9	9	16	16	2.0	0	0	2/4	2	1	biv7(^b4)	b	i		biv7(^b4)		biv		7	^b4				mm7	1	1	-8, -11, -9, -10		-8	-8
10	10	18	18	1.0	0	0	2/4	2	1	VI65(+4)	b	i		VI65(+4)		VI		65	+4				Mm7	1	1	0, -3, -6, -4	2	-4	0
10	10	19	19	1.0	1/4	1/4	2/4	2	1	III(139)	b	i		III(139)		III			139				M	1	1	-3, 1, -2	0, -1	-3	-3
11	11	20	20	2.0	0	0	2/4	2	1	biv7(^b4)	b	i		biv7(^b4)		biv		7	^b4				mm7	1	1	-8, -11, -9, -10		-8	-8
12	12	22	22	1.0	0	0	2/4	2	1	VI65(+4)	b	i		VI65(+4)		VI		65	+4				Mm7	1	1	0, -3, -6, -4	2	-4	0
12	12	23	23	1.0	1/4	1/4	2/4	2	1	III(139)	b	i		III(139)		III			139				M	1	1	-3, 1, -2	0, -1	-3	-3
13	13	24	24	2.0	0	0	2/4	2	1	biv7(^b4)	b	i		biv7(^b4)		biv		7	^b4				mm7	1	1	-8, -11, -9, -10		-8	-8
14	14	26	26	1.0	0	0	2/4	2	1	VI6(4)	b	i		VI6(4)		VI		6	4				M	1	1	2, -3, -4		-4	2
14	14	27	27	1.0	1/4	1/4	2/4	2	1	biv7(^b4)	b	i		biv7(^b4)		biv		7	^b4				mm7	1	1	-8, -11, -9, -10		-8	-8
15	15	28	28	1.0	0	0	2/4	2	1	I(139)	b	i		I(139)		I			139				M	1	1	0, 4, 1	-4, 2	0	0
15	15	29	29	1.0	1/4	1/4	2/4	2	1	VI(139)	b	i		VI(139)		VI			139				M	1	1	-4, 0, -3	-1, -2	-4	-4
16	16	30	30	1.0	0	0	2/4	2	1	iii7(11)	b	i		iii7(11)		iii		7	11				mm7	1	1	-3, -6, -2, -5	-4	-3	-3
16	16	31	31	1.0	1/4	1/4	2/4	2	1	iv7(11)	b	i		iv7(11)		iv		7	11				mm7	1	1	-1, -4, 0, -3	-2	-1	-1
17	17	32	32	1.0	0	0	2/4	2	1	I(#4)/bV	b	i		I(#4)/bV		I			#4	bV			M	1	1	-6, -2, 0		-6	-6
17	17	33	33	1.0	1/4	1/4	2/4	2	1	iii7(4)/bV	b	i		iii7(4)/bV		iii		7	4	bV			mm7	1	1	-2, -3, -1, -4		-2	-2
18	18	34	34	4.0	0	0	2/4	2	1	V64(#13)|HC}	b	i		V64(#13)		V		64	#13		HC	}	M	1	1	2, 1, 5	4	1	2
19	19	36	36	0.0	0	0	2/4	2	1	{	b	i										{		1	1				
20	20	38	38	2.0	0	0	2/4	2	1	IV	b	i		IV		IV							M	1	1	-1, 3, 0		-1	-1
21	21	40	40	2.0	0	0	2/4	2	1	V7(9)/bV	b	i		V7(9)/bV		V		7	9	bV			Mm7	1	1	-5, -1, -4, -7	-3	-5	-5
22	22	42	42	2.0	0	0	2/4	2	1	I	b	i		I		I							M	1	1	0, 4, 1		0	0
23	23	44	44	2.0	0	0	2/4	2	1	VI	b	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
24	24	46	46	2.0	0	0	2/4	2	1	I	b	i		I		I							M	1	1	0, 4, 1		0	0
