mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	1.5	0	0	3/8	2	1	D.I{	D	I		I		I						{	M	0	0	0, 4, 1		0	0
2	2	3/2	3/2	1.5	0	0	3/8	2	1	bVI+(#13)	D	I		bVI+(#13)		bVI	+		#13				+	0	0	-4, 0, 4	6	-4	-4
3	3	3	3	1.5	0	0	3/8	2	1	I	D	I		I		I							M	0	0	0, 4, 1		0	0
4	4	9/2	9/2	1.5	0	0	3/8	2	1	bVI+(#13)	D	I		bVI+(#13)		bVI	+		#13				+	0	0	-4, 0, 4	6	-4	-4
5	5	6	6	1.5	0	0	3/8	2	1	I	D	I		I		I							M	0	0	0, 4, 1		0	0
6	6	15/2	15/2	1.5	0	0	3/8	2	1	bVI+(#13)	D	I		bVI+(#13)		bVI	+		#13				+	0	0	-4, 0, 4	6	-4	-4
7	7	9	9	1.5	0	0	3/8	2	1	I	D	I		I		I							M	0	0	0, 4, 1		0	0
8	8	21/2	21/2	1.5	0	0	3/8	2	1	bVI+(#13)	D	I		bVI+(#13)		bVI	+		#13				+	0	0	-4, 0, 4	6	-4	-4
9	9	12	12	1.5	0	0	3/8	2	1	IM7	D	I		IM7		I	M	7					MM7	0	0	0, 4, 1, 5		0	0
10	10	27/2	27/2	1.5	0	0	3/8	2	1	bVI+(#1311)	D	I		bVI+(#1311)		bVI	+		#1311				+	0	0	-4, 0, 4	6, 2	-4	-4
11	11	15	15	1.5	0	0	3/8	2	1	IM7	D	I		IM7		I	M	7					MM7	0	0	0, 4, 1, 5		0	0
12	12	33/2	33/2	1.5	0	0	3/8	2	1	bVI+(#1311)	D	I		bVI+(#1311)		bVI	+		#1311				+	0	0	-4, 0, 4	6, 2	-4	-4
13	13	18	18	1.5	0	0	3/8	2	1	IVM65(13)	D	I		IVM65(13)		IV	M	65	13				MM7	0	0	3, 0, 4, -1	2	-1	3
14	14	39/2	39/2	1.5	0	0	3/8	2	1	V(#13#9)/vi	D	I		V(#13#9)/vi		V			#13#9	vi			M	0	0	4, 8, 5	7, 6	4	4
15	15	21	21	1.5	0	0	3/8	2	1	IVM65	D	I		IVM65		IV	M	65					MM7	0	0	3, 0, 4, -1		-1	3
16	16	45/2	45/2	1.5	0	0	3/8	2	1	V(#13#9)/vi	D	I		V(#13#9)/vi		V			#13#9	vi			M	0	0	4, 8, 5	7, 6	4	4
17	17	24	24	1.0	0	0	3/4	2	1	V(#6#5)/bII	D	I		V(#6#5)/bII		V			#6#5	bII			M	0	0	-4, 0, 4	6	-4	-4
17	17	25	25	2.0	1/4	1/4	3/4	2	1	V7/bII	D	I		V7/bII		V		7		bII			Mm7	0	0	-4, 0, -3, -6		-4	-4
18	18	27	27	16.5	0	0	3/8	2	1	Fr65(9)/IV|EC	D	I		Fr65(9)/IV	Fr	V		65	9b5	V/IV	EC		Fr	0	0	5, -5, -1, 1	3	1	5
29	29	87/2	87/2	1.5	0	0	3/8	2	1	bVII.I}{	D	bVII		I		I						}{	M	0	0	0, 4, 1		0	0
30	30	45	45	1.5	0	0	3/8	2	1	I64	D	bVII		I64		I		64					M	0	0	1, 0, 4		0	1
31	31	93/2	93/2	1.5	0	0	3/8	2	1	I	D	bVII		I		I							M	0	0	0, 4, 1		0	0
32	32	48	48	1.5	0	0	3/8	2	1	I64	D	bVII		I64		I		64					M	0	0	1, 0, 4		0	1
33	33	99/2	99/2	1.5	0	0	3/8	2	1	I	D	bVII		I		I							M	0	0	0, 4, 1		0	0
34	34	51	51	1.5	0	0	3/8	2	1	I64	D	bVII		I64		I		64					M	0	0	1, 0, 4		0	1
35	35	105/2	105/2	1.5	0	0	3/8	2	1	vi7	D	bVII		vi7		vi		7					mm7	0	0	3, 0, 4, 1		3	3
36	36	54	54	1.5	0	0	3/8	2	1	IM7	D	bVII		IM7		I	M	7					MM7	0	0	0, 4, 1, 5		0	0
37	37	111/2	111/2	1.5	0	0	3/8	2	1	IV(#5)	D	bVII		IV(#5)		IV			#5				M	0	0	-1, 3, 7		-1	-1
38	38	57	57	1.5	0	0	3/8	2	1	vi7(9)	D	bVII		vi7(9)		vi		7	9				mm7	0	0	3, 0, 4, 1	5	3	3
39	39	117/2	117/2	1.5	0	0	3/8	2	1	bIII+	D	bVII		bIII+		bIII	+						+	0	0	-3, 1, 5		-3	-3
40	40	60	60	1.5	0	0	3/8	2	1	vi7(9)	D	bVII		vi7(9)		vi		7	9				mm7	0	0	3, 0, 4, 1	5	3	3
41	41	123/2	123/2	1.5	0	0	3/8	2	1	bIII+	D	bVII		bIII+		bIII	+						+	0	0	-3, 1, 5		-3	-3
42	42	63	63	1.5	0	0	3/8	2	1	vi7(9)	D	bVII		vi7(9)		vi		7	9				mm7	0	0	3, 0, 4, 1	5	3	3
43	43	129/2	129/2	1.5	0	0	3/8	2	1	bIII+	D	bVII		bIII+		bIII	+						+	0	0	-3, 1, 5		-3	-3
44	44	66	66	1.5	0	0	3/8	2	1	vi7(9)	D	bVII		vi7(9)		vi		7	9				mm7	0	0	3, 0, 4, 1	5	3	3
45	45	135/2	135/2	1.5	0	0	3/8	2	1	bIII+}{	D	bVII		bIII+		bIII	+					}{	+	0	0	-3, 1, 5		-3	-3
46	46	69	69	1.5	0	0	3/8	2	1	bV+	D	bVII		bV+		bV	+						+	0	0	-6, -2, 2		-6	-6
47	47	141/2	141/2	1.5	0	0	3/8	2	1	ii%7/V	D	bVII		ii%7/V		ii	%	7		V			%7	0	0	3, 0, -3, 1		3	3
48	48	72	72	1.5	0	0	3/8	2	1	bVI+64	D	bVII		bVI+64		bVI	+	64					+	0	0	4, -4, 0		-4	4
49	49	147/2	147/2	1.5	0	0	3/8	2	1	bIII+6	D	bVII		bIII+6		bIII	+	6					+	0	0	1, 5, -3		-3	1
