mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	6.625	0	0	6/8	2	1	c.i(#6){	c	i		i(#6)	i			#6			{	m	1	1	0, -3, 1	3	0	0
2	2	53/8	53/8	1.5	0	0	6/8	2	1	#vii7(9)	c	i		#vii7(9)	#vii		7	9				mm7	1	1	5, 2, 6, 3	0	5	5
2	2	65/8	65/8	2.5	3/8	3/8	6/8	2	1	ii%7(9)/iv	c	i		ii%7(9)/iv	ii	%	7	9	iv			%7	1	1	1, -2, -5, -1	-4	1	1
3	3	85/8	85/8	1.5	1/4	1/4	5/8	2	1	ii%7(#9)/iv	c	i		ii%7(#9)/iv	ii	%	7	#9	iv			%7	1	1	1, -2, -5, -1	3	1	1
4	4	97/8	97/8	1.5	0	0	3/8	2	1	#v(+b8#77)	c	i		#v(+b8#77)	#v			+b8#77				m	1	1	8, 5, 9	-6, 6, -1	8	8
5	5	109/8	109/8	6.625	0	0	3/8	2	1	i(#13)/v}{	c	i		i(#13)/v	i			#13	v		}{	m	1	1	1, -2, 2	4	1	1
6	6	81/4	81/4	1.5	0	0	9/8	2	1	iM7(11)/#IV	c	i		iM7(11)/#IV	i	M	7	11	#IV			mM7	1	1	6, 3, 7, 11	5	6	6
6	6	87/4	87/4	1.5	3/8	3/8	9/8	2	1	V7(9)/#IV	c	i		V7(9)/#IV	V		7	9	#IV			Mm7	1	1	7, 11, 8, 5	9	7	7
6	6	93/4	93/4	1.5	3/4	3/4	9/8	2	1	iii(4)/#IV	c	i		iii(4)/#IV	iii			4	#IV			m	1	1	10, 9, 11		10	10
7	7	99/4	99/4	1.5	0	0	9/8	2	1	I/#IV	c	i		I/#IV	I				#IV			M	1	1	6, 10, 7		6	6
7	7	105/4	105/4	1.5	3/8	3/8	9/8	2	1	IV+6	c	i		IV+6	IV	+	6					+	1	1	3, 7, -1		-1	3
7	7	111/4	111/4	1.5	3/4	3/4	9/8	2	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
8	8	117/4	117/4	1.5	0	0	3/8	2	1	#v(##7)}	c	i		#v(##7)	#v			##7			}	m	1	1	8, 5, 9	13	8	8
9	9	123/4	123/4	3.0	0	0	9/8	2	1	III+(+9#8#7)/IV{	c	i		III+(+9#8#7)/IV	III	+		+9#8#7	IV		{	+	1	1	3, 7, 11	-2, 8	3	3
9	9	135/4	135/4	1.5	3/4	3/4	9/8	2	1	iii7(+13#12b9)	c	i		iii7(+13#12b9)	iii		7	+13#12b9				mm7	1	1	-3, -6, -2, -5	0, 5, -8	-3	-3
10	10	141/4	141/4	3.0	0	0	9/8	2	1	III+/IV	c	i		III+/IV	III	+			IV			+	1	1	3, 7, 11		3	3
10	10	153/4	153/4	1.5	3/4	3/4	9/8	2	1	iii7	c	i		iii7	iii		7					mm7	1	1	-3, -6, -2, -5		-3	-3
11	11	159/4	159/4	3.0	0	0	9/8	2	1	I.iiiM7(#13#11#9)	c	I		iiiM7(#13#11#9)	iii	M	7	#13#11#9				mM7	1	0	4, 1, 5, 9	7, 10, 6	4	4
11	11	171/4	171/4	1.5	3/4	3/4	9/8	2	1	II+7	c	I		II+7	II	+	7					+7	1	0	2, 6, 10, 0		2	2
12	12	177/4	177/4	3.0	0	0	9/8	2	1	iiiM7	c	I		iiiM7	iii	M	7					mM7	1	0	4, 1, 5, 9		4	4
12	12	189/4	189/4	1.5	3/4	3/4	9/8	2	1	II+7	c	I		II+7	II	+	7					+7	1	0	2, 6, 10, 0		2	2
13	13	195/4	195/4	1.0	0	0	9/8	2	1	iii6}	c	I		iii6	iii		6				}	m	1	0	1, 5, 4		4	1
13	13	199/4	199/4	2.0	1/4	1/4	9/8	2	1	III(+#76#4){	c	I		III(+#76#4)	III			+#76#4			{	M	1	0	4, 8, 10, 0	9	4	4
13	13	207/4	207/4	1.5	3/4	3/4	9/8	2	1	i.#i6	c	i		#i6	#i		6					m	1	1	4, 8, 7		7	4
14	14	213/4	213/4	3.0	0	0	9/8	2	1	i6	c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
14	14	225/4	225/4	3.0	3/4	3/4	9/8	2	1	#iii6	c	i		#iii6	#iii		6					m	1	1	1, 5, 4		4	1
15	15	237/4	237/4	3.0	3/8	3/8	9/8	2	1	V6	c	i		V6	V		6					M	1	1	5, 2, 1		1	5
16	16	249/4	249/4	2.5	0	0	6/8	2	1	#v(+#22)	c	i		#v(+#22)	#v			+#22				m	1	1	-4, 5, 9	3	8	-4
16	16	259/4	259/4	2.0	5/8	5/8	6/8	2	2	bII+6	c	i		bII+6	bII	+	6					+	1	1	-1, 3, -5		-5	-1
17	17	267/4	267/4	1.5	3/8	3/8	5/8	2	1	ii64(9)	c	i		ii64(9)	ii		64	9				m	1	1	3, 2, -1	-3	2	3
18	18	273/4	273/4	1.75	1/8	1/8	4/8	2	1	iiiM2	c	i		iiiM2	iii	M	2					mM7	1	1	2, -3, -6, -2		-3	2
19	19	70	70	0.75	1/16	1/16	4/8	2	2	#iii	c	i		#iii	#iii							m	1	1	4, 1, 5		4	4
19	19	283/4	283/4	6.0	1/4	1/4	4/8	2	2	#iv}	c	i		#iv	#iv						}	m	1	1	6, 3, 7		6	6
22	22	307/4	307/4	4.6875	0	0	6/8	2	1	IV{	c	i		IV	IV						{	M	1	1	-1, 3, 0		-1	-1
23	23	1303/16	1303/16	2.0	0	0	5/8	2	1	#vii7(9)	c	i		#vii7(9)	#vii		7	9				mm7	1	1	5, 2, 6, 3	0	5	5
23	23	1335/16	1335/16	1.25	1/2	1/2	5/8	2	3	#vi[#I7(#10#9)/#IV	c	i	#vi	#I7(#10#9)/#IV	#I		7	#10#9	#IV			Mm7	1	1	13, 17, 14, 11	24, 15	13	13
24	24	1355/16	1355/16	0.5	3/16	3/16	5/8	2	3	II7(#9)/#IV	c	i	#vi	II7(#9)/#IV	II		7	#9	#IV			Mm7	1	1	8, 12, 9, 6	17	8	8
24	24	1363/16	1363/16	0.25	5/16	5/16	5/8	2	3	III7(#9)/#IV	c	i	#vi	III7(#9)/#IV	III		7	#9	#IV			Mm7	1	1	10, 14, 11, 8	12	10	10
24	24	1367/16	1367/16	0.25	3/8	3/8	5/8	2	3	IV7(9)/#IV	c	i	#vi	IV7(9)/#IV	IV		7	9	#IV			Mm7	1	1	5, 9, 6, 3	7	5	5
24	24	1371/16	1371/16	1.5	7/16	7/16	5/8	2	1	#I7(#10#9)/#IV	c	i	#vi	#I7(#10#9)/#IV	#I		7	#10#9	#IV			Mm7	1	1	13, 17, 14, 11	24, 15	13	13
25	25	1395/16	1395/16	0.5	3/16	3/16	6/8	2	1	II7(#9)/#IV	c	i	#vi	II7(#9)/#IV	II		7	#9	#IV			Mm7	1	1	8, 12, 9, 6	17	8	8
25	25	1403/16	1403/16	0.25	5/16	5/16	6/8	2	1	III7(#9)/#IV	c	i	#vi	III7(#9)/#IV	III		7	#9	#IV			Mm7	1	1	10, 14, 11, 8	12	10	10
25	25	1407/16	1407/16	0.5	3/8	3/8	6/8	2	1	IV7(9)/#IV	c	i	#vi	IV7(9)/#IV	IV		7	9	#IV			Mm7	1	1	5, 9, 6, 3	7	5	5
25	25	1415/16	1415/16	0.25	1/2	1/2	6/8	2	3	V7(9)	c	i	#vi	V7(9)	V		7	9				Mm7	1	1	1, 5, 2, -1	-4	1	1
25	25	1419/16	1419/16	0.75	9/16	9/16	6/8	2	1	#I7(#10#9)/#IV]}	c	i	#vi	#I7(#10#9)/#IV	#I		7	#10#9	#IV		}	Mm7	1	1	13, 17, 14, 11	24, 15	13	13
26	26	1431/16	1431/16	3.0	0	0	9/8	2	1	IM65{	c	i		IM65	I	M	65				{	MM7	1	1	4, 1, 5, 0		0	4
