mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	1.0	0	0	3/4	2	1	d.i{	d	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	1	1.0	1/4	1/4	3/4	2	1	v	d	i		v	v							m	1	1	1, -2, 2		1	1
1	1	2	0.5	1/2	1/2	3/4	2	1	III	d	i		III	III							M	1	1	-3, 1, -2		-3	-3
1	1	5/2	0.5	5/8	5/8	3/4	2	1	iv	d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
2	2	3	0.5	0	0	3/4	2	1	v	d	i		v	v							m	1	1	1, -2, 2		1	1
2	2	7/2	0.5	1/8	1/8	3/4	2	1	VII	d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
2	2	4	2.0	1/4	1/4	3/4	2	1	i|PAC	d	i		i	i					PAC		m	1	1	0, -3, 1		0	0
2	2	5	0.0	1/2	1/2	3/4	2	1	}	d	i									}		1	1				
3	3	6	1.0	0	0	3/4	2	1	i7{	d	i		i7	i		7				{	mm7	1	1	0, -3, 1, -2		0	0
3	3	7	1.0	1/4	1/4	3/4	2	1	v7	d	i		v7	v		7					mm7	1	1	1, -2, 2, -1		1	1
3	3	8	0.5	1/2	1/2	3/4	2	1	IIIM7(9)	d	i		IIIM7(9)	III	M	7	9				MM7	1	1	-3, 1, -2, 2	-1	-3	-3
3	3	17/2	0.5	5/8	5/8	3/4	2	1	iv7	d	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
4	4	9	0.5	0	0	3/4	2	1	v7	d	i		v7	v		7					mm7	1	1	1, -2, 2, -1		1	1
4	4	19/2	0.5	1/8	1/8	3/4	2	1	VII7(9)	d	i		VII7(9)	VII		7	9				Mm7	1	1	-2, 2, -1, -4	0	-2	-2
4	4	10	2.0	1/4	1/4	3/4	2	1	i7|PAC	d	i		i7	i		7			PAC		mm7	1	1	0, -3, 1, -2		0	0
4	4	11	0.0	1/2	1/2	3/4	2	1	}	d	i									}		1	1				
5	5	12	1.0	0	0	3/4	2	1	iv43{	d	i		iv43	iv		43				{	mm7	1	1	0, -3, -1, -4		-1	0
5	5	13	1.0	1/4	1/4	3/4	2	1	v6	d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
5	5	14	1.0	1/2	1/2	3/4	2	1	IV7	d	i		IV7	IV		7					Mm7	1	1	-1, 3, 0, -3		-1	-1
6	6	15	1.0	0	0	3/4	2	1	ii%65	d	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
6	6	16	2.0	1/4	1/4	3/4	2	1	VIM65|DC	d	i		VIM65	VI	M	65			DC		MM7	1	1	0, -3, 1, -4		-4	0
7	7	18	1.0	0	0	3/4	2	2	iv65	d	i		iv65	iv		65					mm7	1	1	-4, 0, -3, -1		-1	-4
7	7	19	1.0	1/4	1/4	3/4	2	2	v	d	i		v	v							m	1	1	1, -2, 2		1	1
7	7	20	0.5	1/2	1/2	3/4	2	2	IIIM7	d	i		IIIM7	III	M	7					MM7	1	1	-3, 1, -2, 2		-3	-3
7	7	41/2	0.5	5/8	5/8	3/4	2	2	i7	d	i		i7	i		7					mm7	1	1	0, -3, 1, -2		0	0
8	8	21	1.0	0	0	3/4	2	1	IV7	d	i		IV7	IV		7					Mm7	1	1	-1, 3, 0, -3		-1	-1
8	8	22	0.5	1/4	1/4	3/4	2	2	i7(#4)	d	i		i7(#4)	i		7	#4				mm7	1	1	0, -3, 6, -2		0	0
8	8	45/2	0.5	3/8	3/8	3/4	2	2	i7(#3)	d	i		i7(#3)	i		7	#3				mm7	1	1	0, 4, 1, -2		0	0
