mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	1.75	0	0	3/4	2	1	B.i{		B	I		i		i						{	m	0	0	0, -3, 1		0	0
1	1	7/4	7/4	1.25	7/16	7/16	3/4	2	1	ii7		B	I		ii7		ii		7					mm7	0	0	2, -1, 3, 0		2	2
2	2	3	3	3.0	0	0	3/4	2	1	biv		B	I		biv		biv							m	0	0	-8, -11, -7		-8	-8
3	3	6	6	3.0	0	0	3/4	2	1	ii7		B	I		ii7		ii		7					mm7	0	0	2, -1, 3, 0		2	2
4	4	9	9	3.0	0	0	3/4	2	1	biv(+4)		B	I		biv(+4)		biv			+4				m	0	0	-8, -11, -7	5	-8	-8
5	5	12	12	1.0	0	0	3/4	2	1	V/V		B	I		V/V		V				V			M	0	0	2, 6, 3		2	2
5	5	13	13	1.0	1/4	1/4	3/4	2	1	V		B	I		V		V							M	0	0	1, 5, 2		1	1
5	5	14	14	1.0	1/2	1/2	3/4	2	1	i		B	I		i		i							m	0	0	0, -3, 1		0	0
6	6	15	15	3.0	0	0	3/4	2	1	V(9)	v(9)|HC	B	I		V(9)		V			9				M	0	0	1, 5, 2	3	1	1
7	7	18	18	3.0	0	0	3/4	2	1	v		B	I		v		v							m	0	0	1, -2, 2		1	1
8	8	21	21	3.0	0	0	3/4	2	1	V(#11)}		B	I		V(#11)		V			#11			}	M	0	0	1, 5, 2	7	1	1
9	9	24	24	3.0	0	0	3/4	2	1	VM43{		B	I		VM43		V	M	43				{	MM7	0	0	2, 6, 1, 5		1	2
10	10	27	27	3.0	0	0	3/4	2	1	bII		B	I		bII		bII							M	0	0	-5, -1, -4		-5	-5
11	11	30	30	3.0	0	0	3/4	2	1	VM43		B	I		VM43		V	M	43					MM7	0	0	2, 6, 1, 5		1	2
12	12	33	33	3.0	0	0	3/4	2	1	bIII64		B	I		bIII64		bIII		64					M	0	0	-2, -3, 1		-3	-2
13	13	36	36	6.0	0	0	3/4	2	1	i7(^4)/bV		B	I		i7(^4)/bV		i		7	^4	bV			mm7	0	0	-6, -9, -7, -8		-6	-6
14	14	39	39	0.0	0	0	3/4	2	1	}		B	I										}		0	0				
15	15	42	42	1.75	0	0	3/4	2	1	i{		B	I		i		i						{	m	0	0	0, -3, 1		0	0
15	15	175/4	175/4	1.25	7/16	7/16	3/4	2	1	ii7		B	I		ii7		ii		7					mm7	0	0	2, -1, 3, 0		2	2
16	16	45	45	3.0	0	0	3/4	2	1	bIV(+4)		B	I		bIV(+4)		bIV			+4				M	0	0	-8, -4, -7	5	-8	-8
17	17	48	48	1.75	0	0	3/4	2	1	i		B	I		i		i							m	0	0	0, -3, 1		0	0
17	17	199/4	199/4	1.25	7/16	7/16	3/4	2	1	ii7		B	I		ii7		ii		7					mm7	0	0	2, -1, 3, 0		2	2
18	18	51	51	3.0	0	0	3/4	2	1	ii%7/V		B	I		ii%7/V		ii	%	7		V			%7	0	0	3, 0, -3, 1		3	3
19	19	54	54	1.0	0	0	3/4	2	1	I7		B	I		I7		I		7					Mm7	0	0	0, 4, 1, -2		0	0
19	19	55	55	1.0	1/4	1/4	3/4	2	1	bIII7		B	I		bIII7		bIII		7					Mm7	0	0	-3, 1, -2, -5		-3	-3
19	19	56	56	1.0	1/2	1/2	3/4	2	1	bV7		B	I		bV7		bV		7					Mm7	0	0	-6, -2, -5, -8		-6	-6
20	20	57	57	1.0	0	0	3/4	2	1	bVII7		B	I		bVII7		bVII		7					Mm7	0	0	-2, 2, -1, -4		-2	-2
20	20	58	58	1.0	1/4	1/4	3/4	2	1	bII.I7		B	bII		I7		I		7					Mm7	0	0	0, 4, 1, -2		0	0
20	20	59	59	1.0	1/2	1/2	3/4	2	1	bIII7		B	bII		bIII7		bIII		7					Mm7	0	0	-3, 1, -2, -5		-3	-3
21	21	60	60	3.0	0	0	3/4	2	1	III(+#4#2)		B	bII		III(+#4#2)		III			+#4#2				M	0	0	4, 6, 5	10	4	4
22	22	63	63	3.0	0	0	3/4	2	1	#i(+#6#4)		B	bII		#i(+#6#4)		#i			+#6#4				m	0	0	7, 4, 6	10	7	7
23	23	66	66	3.0	0	0	3/4	2	1	V(b9)|HC		B	bII		V(b9)		V			b9		HC		M	0	0	1, 5, 2	-4	1	1
24	24	69	69	3.0	0	0	3/4	2	1	V(#9)}		B	bII		V(#9)		V			#9			}	M	0	0	1, 5, 2	10	1	1
25	25	72	72	3.0	0	0	3/4	2	1	bIII(b9){		B	bII		bIII(b9)		bIII			b9			{	M	0	0	-3, 1, -2	-8	-3	-3
26	26	75	75	6.0	0	0	3/4	2	1	viM65		B	bII		viM65		vi	M	65					mM7	0	0	0, 4, 8, 3		3	0
28	28	81	81	3.0	0	0	3/4	2	1	#I(+#6#4#2)		B	bII		#I(+#6#4#2)		#I			+#6#4#2				M	0	0	7, 9, 6	10	7	7
29	29	84	84	3.0	0	0	3/4	2	1	I.IM43		B	I		IM43		I	M	43					MM7	0	0	1, 5, 0, 4		0	1
30	30	87	87	3.0	0	0	3/4	2	1	bVI64		B	I		bVI64		bVI		64					M	0	0	-3, -4, 0		-4	-3
31	31	90	90	3.0	0	0	3/4	2	1	vi%43		B	I		vi%43		vi	%	43					%7	0	0	-3, 1, 3, 0		3	-3
32	32	93	93	3.0	0	0	3/4	2	1	IV64		B	I		IV64		IV		64					M	0	0	0, -1, 3		-1	0
33	33	96	96	3.0	0	0	3/4	2	1	io7(+b4^bb3)		B	I		io7(+b4^bb3)		i	o	7	+b4^bb3				o7	0	0	0, -17, -6, -9	-8	0	0
34	34	99	99	3.0	0	0	3/4	2	1	bV(4)		B	I		bV(4)		bV			4				M	0	0	-6, 0, -5		-6	-6
35	35	102	102	3.0	0	0	3/4	2	1	bI.II(+b6b2)		B	bI		II(+b6b2)		II			+b6b2				M	0	0	-3, 6, 3	-2	2	-3
