mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2/4	2	1		b.i7(11){	b	i		i7(11)		i		7	11			{	mm7	1	1	0, -3, 1, -2	-1	0	0
1	1	1/4	1/4	2/4	2	1		iii7(13)	b	i		iii7(13)		iii		7	13				mm7	1	1	-3, -6, -2, -5	0	-3	-3
2	2	0	0	2/4	2	1		I64(#13)	b	i		I64(#13)		I		64	#13				M	1	1	1, 0, 4	3	0	1
3	3	0	0	2/4	2	1		i7(11)	b	i		i7(11)		i		7	11				mm7	1	1	0, -3, 1, -2	-1	0	0
3	3	1/4	1/4	2/4	2	1		iii7(13)	b	i		iii7(13)		iii		7	13				mm7	1	1	-3, -6, -2, -5	0	-3	-3
4	4	0	0	2/4	2	1		I64(#13)	b	i		I64(#13)		I		64	#13				M	1	1	1, 0, 4	3	0	1
5	5	0	0	2/4	2	1		i7(11)	b	i		i7(11)		i		7	11				mm7	1	1	0, -3, 1, -2	-1	0	0
5	5	1/4	1/4	2/4	2	1		v7(134)	b	i		v7(134)		v		7	134				mm7	1	1	1, 0, 2, -1	-3	1	1
6	6	0	0	2/4	2	1		III(139)	b	i		III(139)		III			139				M	1	1	-3, 1, -2	0, -1	-3	-3
6	6	1/4	1/4	2/4	2	1		i(4)	b	i		i(4)		i			4				m	1	1	0, -1, 1		0	0
7	7	0	0	2/4	2	1		VI(9)	b	i		VI(9)		VI			9				M	1	1	-4, 0, -3	-2	-4	-4
7	7	1/4	1/4	2/4	2	1		v65(11)	b	i		v65(11)		v		65	11				mm7	1	1	-2, 2, -1, 1	0	1	-2
8	8	0	0	2/4	2	1		VI6(4)	b	i		VI6(4)		VI		6	4				M	1	1	2, -3, -4		-4	2
8	8	1/4	1/4	2/4	2	1		III(139)	b	i		III(139)		III			139				M	1	1	-3, 1, -2	0, -1	-3	-3
9	9	0	0	2/4	2	1		#iii7(11)	b	i		#iii7(11)		#iii		7	11				mm7	1	1	4, 1, 5, 2	-4	4	4
10	10	0	0	2/4	2	1		VI6(4)	b	i		VI6(4)		VI		6	4				M	1	1	2, -3, -4		-4	2
10	10	1/4	1/4	2/4	2	1		III(139)	b	i		III(139)		III			139				M	1	1	-3, 1, -2	0, -1	-3	-3
11	11	0	0	2/4	2	1		#iii7(11)	b	i		#iii7(11)		#iii		7	11				mm7	1	1	4, 1, 5, 2	-4	4	4
12	12	0	0	2/4	2	1		VI6(4)	b	i		VI6(4)		VI		6	4				M	1	1	2, -3, -4		-4	2
12	12	1/4	1/4	2/4	2	1		III(139)	b	i		III(139)		III			139				M	1	1	-3, 1, -2	0, -1	-3	-3
13	13	0	0	2/4	2	1		#iii7(11)	b	i		#iii7(11)		#iii		7	11				mm7	1	1	4, 1, 5, 2	-4	4	4
14	14	0	0	2/4	2	1		VI6(4)	b	i		VI6(4)		VI		6	4				M	1	1	2, -3, -4		-4	2
14	14	1/4	1/4	2/4	2	1		#iii7(11)	b	i		#iii7(11)		#iii		7	11				mm7	1	1	4, 1, 5, 2	-4	4	4
15	15	0	0	2/4	2	1		I(139)	b	i		I(139)		I			139				M	1	1	0, 4, 1	-4, 2	0	0
15	15	1/4	1/4	2/4	2	1		VI(139)	b	i		VI(139)		VI			139				M	1	1	-4, 0, -3	-1, -2	-4	-4
