mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1	3.0	1/4	1/4	4/4	2	1	eb.i{	eb	i		i	i						{	m	1	1	0, -3, 1		0	0
2	2	4	4	4.0	0	0	4/4	2	1	iM7(#11)	eb	i		iM7(#11)	i	M	7	#11				mM7	1	1	0, -3, 1, 5	6	0	0
3	3	8	8	4.0	0	0	4/4	2	1	i7	eb	i		i7	i		7					mm7	1	1	0, -3, 1, -2		0	0
4	4	12	12	4.0	0	0	4/4	2	1	iM7(13#10)	eb	i		iM7(13#10)	i	M	7	13#10				mM7	1	1	0, -3, 1, 5	-4, 4	0	0
5	5	16	16	4.0	0	0	4/4	2	1	i(11b9)	eb	i		i(11b9)	i			11b9				m	1	1	0, -3, 1	-1, -5	0	0
6	6	20	20	2.0	0	0	4/4	2	1	iM7	eb	i		iM7	i	M	7					mM7	1	1	0, -3, 1, 5		0	0
6	6	22	22	2.0	1/2	1/2	4/4	2	1	i7(#13)	eb	i		i7(#13)	i		7	#13				mm7	1	1	0, -3, 1, -2	3	0	0
7	7	24	24	4.0	0	0	4/4	2	1	i(1311)	eb	i		i(1311)	i			1311				m	1	1	0, -3, 1	-4, -1	0	0
8	8	28	28	4.0	0	0	4/4	2	1	i(13#11)	eb	i		i(13#11)	i			13#11				m	1	1	0, -3, 1	-4, 6	0	0
9	9	32	32	2.0	0	0	4/4	2	1	i7(13#11)	eb	i		i7(13#11)	i		7	13#11				mm7	1	1	0, -3, 1, -2	-4, 6	0	0
9	9	34	34	2.0	1/2	1/2	4/4	2	1	i7(11)	eb	i		i7(11)	i		7	11				mm7	1	1	0, -3, 1, -2	-1	0	0
10	10	36	36	2.0	0	0	4/4	2	1	#iv.i(#13)	eb	#iv		i(#13)	i			#13				m	1	1	0, -3, 1	3	0	0
10	10	38	38	2.0	1/2	1/2	4/4	2	1	i(13b9)}	eb	#iv		i(13b9)	i			13b9			}	m	1	1	0, -3, 1	-4, -5	0	0
10	10	79/2	79/2	0.0	7/8	7/8	4/4	2	1	{	eb	#iv									{		1	1				
