mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/8	2	1		D.I{	D	I		I		I						{	M	0	0	0, 4, 1		0	0
2	2	0	0	3/8	2	1		bVI+(#13)	D	I		bVI+(#13)		bVI	+		#13				+	0	0	-4, 0, 4	6	-4	-4
3	3	0	0	3/8	2	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
4	4	0	0	3/8	2	1		bVI+(#13)	D	I		bVI+(#13)		bVI	+		#13				+	0	0	-4, 0, 4	6	-4	-4
5	5	0	0	3/8	2	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
6	6	0	0	3/8	2	1		bVI+(#13)	D	I		bVI+(#13)		bVI	+		#13				+	0	0	-4, 0, 4	6	-4	-4
7	7	0	0	3/8	2	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
8	8	0	0	3/8	2	1		bVI+(#13)	D	I		bVI+(#13)		bVI	+		#13				+	0	0	-4, 0, 4	6	-4	-4
9	9	0	0	3/8	2	1		IM7	D	I		IM7		I	M	7					MM7	0	0	0, 4, 1, 5		0	0
10	10	0	0	3/8	2	1		bVI+(#1311)	D	I		bVI+(#1311)		bVI	+		#1311				+	0	0	-4, 0, 4	6, 2	-4	-4
11	11	0	0	3/8	2	1		IM7	D	I		IM7		I	M	7					MM7	0	0	0, 4, 1, 5		0	0
12	12	0	0	3/8	2	1		bVI+(#1311)	D	I		bVI+(#1311)		bVI	+		#1311				+	0	0	-4, 0, 4	6, 2	-4	-4
13	13	0	0	3/8	2	1		IVM65(13)	D	I		IVM65(13)		IV	M	65	13				MM7	0	0	3, 0, 4, -1	2	-1	3
14	14	0	0	3/8	2	1		V(#13#9)/vi	D	I		V(#13#9)/vi		V			#13#9	vi			M	0	0	4, 8, 5	7, 6	4	4
15	15	0	0	3/8	2	1		IVM65	D	I		IVM65		IV	M	65					MM7	0	0	3, 0, 4, -1		-1	3
16	16	0	0	3/8	2	1		V(#13#9)/vi	D	I		V(#13#9)/vi		V			#13#9	vi			M	0	0	4, 8, 5	7, 6	4	4
17	17	0	0	3/4	2	1		V7(b6)/bII	D	I		V7(b6)/bII		V		7	b6	bII			Mm7	0	0	-4, 0, -8, -6		-4	-4
17	17	1/4	1/4	3/4	2	1		V7/bII	D	I		V7/bII		V		7		bII			Mm7	0	0	-4, 0, -3, -6		-4	-4
18	18	0	0	3/8	2	1		Fr65(9)/IV|EC	D	I		Fr65(9)/IV	Fr	V		65	9b5	V/IV	EC		Fr	0	0	5, -5, -1, 1	3	1	5
29	29	0	0	3/8	2	1		bVII.I}{	D	bVII		I		I						}{	M	0	0	0, 4, 1		0	0
30	30	0	0	3/8	2	1		I64	D	bVII		I64		I		64					M	0	0	1, 0, 4		0	1
31	31	0	0	3/8	2	1		I	D	bVII		I		I							M	0	0	0, 4, 1		0	0
32	32	0	0	3/8	2	1		I64	D	bVII		I64		I		64					M	0	0	1, 0, 4		0	1
33	33	0	0	3/8	2	1		I	D	bVII		I		I							M	0	0	0, 4, 1		0	0
34	34	0	0	3/8	2	1		I64	D	bVII		I64		I		64					M	0	0	1, 0, 4		0	1
35	35	0	0	3/8	2	1		vi7	D	bVII		vi7		vi		7					mm7	0	0	3, 0, 4, 1		3	3
36	36	0	0	3/8	2	1		IM7	D	bVII		IM7		I	M	7					MM7	0	0	0, 4, 1, 5		0	0
37	37	0	0	3/8	2	1		bIII+	D	bVII		bIII+		bIII	+						+	0	0	-3, 1, 5		-3	-3
38	38	0	0	3/8	2	1		vi7(9)	D	bVII		vi7(9)		vi		7	9				mm7	0	0	3, 0, 4, 1	5	3	3
39	39	0	0	3/8	2	1		bIII+	D	bVII		bIII+		bIII	+						+	0	0	-3, 1, 5		-3	-3
