mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	8.0	0	0	2/2	2	1	Db.V(+9)	Db	I		V(+9)	V			+9				M	0	0	1, 5, 2	3	1	1
3	3	8	2.0	0	0	2/2	2	1	VM7(b109){	Db	I		VM7(b109)	V	M	7	b109			{	MM7	0	0	1, 5, 2, 6	-2, 3	1	1
3	3	10	2.0	1/2	1/2	2/2	2	1	V7(+9)	Db	I		V7(+9)	V		7	+9				Mm7	0	0	1, 5, 2, -1	3	1	1
4	4	12	2.0	0	0	2/2	2	1	I6(+6)	Db	I		I6(+6)	I		6	+6				M	0	0	4, 1, 0	3	0	4
4	4	14	1.5	1/2	1/2	2/2	2	1	ii(#74b2)	Db	I		ii(#74b2)	ii			#74b2				m	0	0	-3, 1, 3	7	2	-3
4	4	31/2	0.5	7/8	7/8	2/2	2	1	ii(4)	Db	I		ii(4)	ii			4				m	0	0	2, 1, 3		2	2
5	5	16	2.0	0	0	2/2	2	1	I(+6b2)	Db	I		I(+6b2)	I			+6b2				M	0	0	-5, 4, 1	3	0	-5
5	5	18	2.0	1/2	1/2	2/2	2	1	I(+9+6)	Db	I		I(+9+6)	I			+9+6				M	0	0	0, 4, 1	2, 3	0	0
6	6	20	2.0	0	0	2/2	2	1	I(+6b2)	Db	I		I(+6b2)	I			+6b2				M	0	0	-5, 4, 1	3	0	-5
6	6	22	2.0	1/2	1/2	2/2	2	1	I(+6)	Db	I		I(+6)	I			+6				M	0	0	0, 4, 1	3	0	0
7	7	24	1.0	0	0	2/2	2	1	#iv6(#10)	Db	I		#iv6(#10)	#iv		6	#10				m	0	0	3, 7, 6	10	6	3
7	7	25	1.5	1/4	1/4	2/2	2	1	I+64	Db	I		I+64	I	+	64					+	0	0	8, 0, 4		0	8
7	7	53/2	1.5	5/8	5/8	2/2	2	1	IV+6	Db	I		IV+6	IV	+	6					+	0	0	3, 7, -1		-1	3
8	8	28	1.0	0	0	2/2	2	1	ii	Db	I		ii	ii							m	0	0	2, -1, 3		2	2
8	8	29	1.0	1/4	1/4	2/2	2	1	ii6(b9)	Db	I		ii6(b9)	ii		6	b9				m	0	0	-1, 3, 2	-3	2	-1
8	8	30	1.0	1/2	1/2	2/2	2	1	V43/iii	Db	I		V43/iii	V		43		iii			Mm7	0	0	6, 3, 5, 9		5	6
8	8	31	1.0	3/4	3/4	2/2	2	1	ii6(b9)	Db	I		ii6(b9)	ii		6	b9				m	0	0	-1, 3, 2	-3	2	-1
9	9	32	2.0	0	0	2/2	2	1	V43/iii	Db	I		V43/iii	V		43		iii			Mm7	0	0	6, 3, 5, 9		5	6
9	9	34	2.0	1/2	1/2	2/2	2	1	IV64(13)	Db	I		IV64(13)	IV		64	13				M	0	0	0, -1, 3	2	-1	0
10	10	36	2.0	0	0	3/2	2	1	#V+6(+##11)|HC}{	Db	I		#V+6(+##11)	#V	+	6	+##11		HC	}{	+	0	0	12, 16, 8	14	8	12
10	10	38	2.0	1/2	1/2	3/2	2	1	vi7(b9)	Db	I		vi7(b9)	vi		7	b9				mm7	0	0	3, 0, 4, 1	-2	3	3
10	10	40	2.0	1	1	3/2	2	1	ii65(b9)	Db	I		ii65(b9)	ii		65	b9				mm7	0	0	-1, 3, 0, 2	-3	2	-1
11	11	42	4.0	0	0	2/2	2	1	V64(+#13)/iii	Db	I		V64(+#13)/iii	V		64	+#13	iii			M	0	0	6, 5, 9	8	5	6
12	12	46	1.0	0	0	2/2	2	1	ii6(+13)	Db	I		ii6(+13)	ii		6	+13				m	0	0	-1, 3, 2	5	2	-1
12	12	47	3.0	1/4	1/4	2/2	2	1	V64(+#13)/iii	Db	I		V64(+#13)/iii	V		64	+#13	iii			M	0	0	6, 5, 9	8	5	6
13	13	50	1.0	0	0	2/2	2	1	V43(+9)/ii	Db	I		V43(+9)/ii	V		43	+9	ii			Mm7	0	0	4, 1, 3, 7	-2	3	4
13	13	51	1.0	1/4	1/4	2/2	2	1	V64(+#13)/iii	Db	I		V64(+#13)/iii	V		64	+#13	iii			M	0	0	6, 5, 9	8	5	6
13	13	52	1.0	1/2	1/2	2/2	2	1	i6(+14+13)	Db	I		i6(+14+13)	i		6	+14+13				m	0	0	-3, 1, 0	5, 3	0	-3
13	13	53	1.0	3/4	3/4	2/2	2	1	bii6	Db	I		bii6	bii		6					m	0	0	-8, -4, -5		-5	-8
14	14	54	1.0	0	0	2/2	2	1	i6(+14+13)	Db	I		i6(+14+13)	i		6	+14+13				m	0	0	-3, 1, 0	5, 3	0	-3
14	14	55	1.0	1/4	1/4	2/2	2	1	bii6	Db	I		bii6	bii		6					m	0	0	-8, -4, -5		-5	-8
14	14	56	1.0	1/2	1/2	2/2	2	1	i6(+14+13)	Db	I		i6(+14+13)	i		6	+14+13				m	0	0	-3, 1, 0	5, 3	0	-3
14	14	57	1.0	3/4	3/4	2/2	2	1	bii6	Db	I		bii6	bii		6					m	0	0	-8, -4, -5		-5	-8
15	15	58	2.0	0	0	2/2	2	1	V7(+9b6)/#III	Db	I		V7(+9b6)/#III	V		7	+9b6	#III			Mm7	0	0	12, 16, 8, 10	14	12	12
15	15	60	2.0	1/2	1/2	2/2	2	1	IVM7(+13+#9)/#II	Db	I		IVM7(+13+#9)/#II	IV	M	7	+13+#9	#II			MM7	0	0	8, 12, 9, 13	11, 17	8	8
