mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0							Andante𝅘𝅥=126	126.0	Andante𝅘𝅥	126.0	1.0			
1	1	0	0	0.0	0	0	Dynamic	3/4	1	1	0				p										
1	1	0	0	0.2	0	0	Chord	3/4	1	1	1/20	1/16	4/5	0									0		
1	1	1/5	1/5	0.0	1/20	1/20	StaffText	3/4	1	1	0						<i>sempre leggiero e legato</i>						0		
1	1	1/5	1/5	0.2	1/20	1/20	Chord	3/4	1	1	1/20	1/16	4/5	1									0		
1	1	2/5	2/5	0.2	1/10	1/10	Chord	3/4	1	1	1/20	1/16	4/5	2									0		
1	1	3/5	3/5	0.2	3/20	3/20	Chord	3/4	1	1	1/20	1/16	4/5	3									0		
1	1	4/5	4/5	0.2	1/5	1/5	Chord	3/4	1	1	1/20	1/16	4/5	4									0		
1	1	1	1	0.2	1/4	1/4	Chord	3/4	1	1	1/20	1/16	4/5	5									0		
1	1	6/5	6/5	0.2	3/10	3/10	Chord	3/4	1	1	1/20	1/16	4/5	6									0		
1	1	7/5	7/5	0.2	7/20	7/20	Chord	3/4	1	1	1/20	1/16	4/5	7									0		
1	1	8/5	8/5	0.2	2/5	2/5	Chord	3/4	1	1	1/20	1/16	4/5	8									0		
1	1	9/5	9/5	0.2	9/20	9/20	Chord	3/4	1	1	1/20	1/16	4/5	9									0		
1	1	2	2	0.2	1/2	1/2	Chord	3/4	1	1	1/20	1/16	4/5	10									0		
1	1	11/5	11/5	0.2	11/20	11/20	Chord	3/4	1	1	1/20	1/16	4/5	11									0		
1	1	12/5	12/5	0.2	3/5	3/5	Chord	3/4	1	1	1/20	1/16	4/5	12									0		
1	1	13/5	13/5	0.2	13/20	13/20	Chord	3/4	1	1	1/20	1/16	4/5	13									0		
1	1	14/5	14/5	0.2	7/10	7/10	Chord	3/4	1	1	1/20	1/16	4/5	14									0		
2	2	3	3	0.2	0	0	Chord	3/4	1	1	1/20	1/16	4/5	15									0		
2	2	16/5	16/5	0.2	1/20	1/20	Chord	3/4	1	1	1/20	1/16	4/5	16									0		
2	2	17/5	17/5	0.2	1/10	1/10	Chord	3/4	1	1	1/20	1/16	4/5	17									0		
2	2	18/5	18/5	0.2	3/20	3/20	Chord	3/4	1	1	1/20	1/16	4/5	18									0		
2	2	19/5	19/5	0.2	1/5	1/5	Chord	3/4	1	1	1/20	1/16	4/5	19									0		
2	2	4	4	0.2	1/4	1/4	Chord	3/4	1	1	1/20	1/16	4/5	20									0		
2	2	21/5	21/5	0.2	3/10	3/10	Chord	3/4	1	1	1/20	1/16	4/5	21									0		
2	2	22/5	22/5	0.2	7/20	7/20	Chord	3/4	1	1	1/20	1/16	4/5	22									0		
2	2	23/5	23/5	0.2	2/5	2/5	Chord	3/4	1	1	1/20	1/16	4/5	23									0		
2	2	24/5	24/5	0.2	9/20	9/20	Chord	3/4	1	1	1/20	1/16	4/5	24									0		
2	2	5	5	0.2	1/2	1/2	Chord	3/4	1	1	1/20	1/16	4/5	25									0		
