mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	TextLine	decrescendo_hairpin	crescendo_hairpin	Trill:trill
3	3	8	8	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	18										2				
3	3	25/3	25/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	19										2				
3	3	26/3	26/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	20										2				
3	3	6	6	1.75	0	0	Chord	3/4	2	1	7/16		1/4	7/4	21		articAccentAbove								3				
3	3	31/4	31/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	22										3				
3	3	8	8	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	23										3				
3	3	25/3	25/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	24										3				
3	3	26/3	26/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	25										3				
4	4	9	9	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	26		articMarcatoAbove								2				
4	4	11	11	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	27										2				
4	4	45/4	45/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	28														
4	4	9	9	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	29		articMarcatoAbove								3				
4	4	11	11	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	30										3				
4	4	45/4	45/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	31														
5	5	12	12	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	32										4				
5	5	49/4	49/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	33														
5	5	13	13	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	34										5				
5	5	53/4	53/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	35														
5	5	14	14	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	36										6				
5	5	57/4	57/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	37														
5	5	12	12	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	38										7				
5	5	49/4	49/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	39														
5	5	13	13	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	40										8				
5	5	53/4	53/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	41														
5	5	14	14	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	42										9				
5	5	57/4	57/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	43														
6	6	15	15	1.75	0	0	Chord	3/4	1	1	7/16		1/4	7/4	44		articMarcatoAbove								10				
6	6	67/4	67/4	0.125	7/16	7/16	Chord	3/4	1	1	1/32		1/32	1	45										10				
6	6	135/8	135/8	0.125	15/32	15/32	Chord	3/4	1	1	1/32		1/32	1	46										10				
6	6	17	17	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	47		articStaccatoAbove												
6	6	15	15	1.75	0	0	Chord	3/4	2	1	7/16		1/4	7/4	48		articMarcatoAbove								11				
6	6	67/4	67/4	0.125	7/16	7/16	Chord	3/4	2	1	1/32		1/32	1	49										11				
6	6	135/8	135/8	0.125	15/32	15/32	Chord	3/4	2	1	1/32		1/32	1	50										11				
6	6	17	17	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	51		articStaccatoAbove												
7	7	18	18	1.75	0	0	Chord	3/4	1	1	7/16		1/4	7/4	52		articMarcatoAbove								12				
7	7	79/4	79/4	0.125	7/16	7/16	Chord	3/4	1	1	1/32		1/32	1	53										12				
7	7	159/8	159/8	0.125	15/32	15/32	Chord	3/4	1	1	1/32		1/32	1	54										12				
7	7	20	20	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	55		articAccentAbove								12				
7	7	81/4	81/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	56														
7	7	18	18	1.75	0	0	Chord	3/4	2	1	7/16		1/4	7/4	57		articMarcatoAbove								13				
7	7	79/4	79/4	0.125	7/16	7/16	Chord	3/4	2	1	1/32		1/32	1	58										13				
7	7	159/8	159/8	0.125	15/32	15/32	Chord	3/4	2	1	1/32		1/32	1	59										13				
7	7	20	20	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	60		articAccentAbove								13				
7	7	81/4	81/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	61														
8	8	21	21	0.0	0	0	Spanner	3/4	1	1	0																0		
8	8	21	21	1.75	0	0	Chord	3/4	1	1	7/16		1/4	7/4	62		articMarcatoAbove								14		0		
8	8	91/4	91/4	0.125	7/16	7/16	Chord	3/4	1	1	1/32		1/32	1	63										14		0		
8	8	183/8	183/8	0.125	15/32	15/32	Chord	3/4	1	1	1/32		1/32	1	64										14		0		
8	8	23	23	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	65		articAccentAbove								14		0		
8	8	93/4	93/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	66												0		
8	8	47/2	47/2	0.0	5/8	5/8	Spanner	3/4	1	1	0																		
8	8	21	21	1.75	0	0	Chord	3/4	2	1	7/16		1/4	7/4	67		articMarcatoAbove								15				
8	8	91/4	91/4	0.125	7/16	7/16	Chord	3/4	2	1	1/32		1/32	1	68										15				
8	8	183/8	183/8	0.125	15/32	15/32	Chord	3/4	2	1	1/32		1/32	1	69										15				
8	8	23	23	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	70		articAccentAbove								15				
8	8	93/4	93/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	71														
9	9	24	24	0.0	0	0	StaffText	3/4	1	1	0							<i>leggiero</i>											
9	9	24	24	0.125	0	0	Chord	3/4	1	1	1/32		1/32	1	72		articAccentAbove								16				
9	9	193/8	193/8	0.125	1/32	1/32	Chord	3/4	1	1	1/32		1/32	1	73										16				
9	9	97/4	97/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	74														
9	9	25	25	0.125	1/4	1/4	Chord	3/4	1	1	1/32		1/32	1	75		articAccentAbove								17				
9	9	201/8	201/8	0.125	9/32	9/32	Chord	3/4	1	1	1/32		1/32	1	76										17				
9	9	101/4	101/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	77														
9	9	26	26	0.125	1/2	1/2	Chord	3/4	1	1	1/32		1/32	1	78		articAccentAbove								18				
9	9	209/8	209/8	0.125	17/32	17/32	Chord	3/4	1	1	1/32		1/32	1	79										18				
9	9	105/4	105/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	80														
9	9	24	24	0.125	0	0	Chord	3/4	2	1	1/32		1/32	1	81		articAccentAbove								19				
9	9	193/8	193/8	0.125	1/32	1/32	Chord	3/4	2	1	1/32		1/32	1	82										19				
9	9	97/4	97/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	83														
9	9	25	25	0.125	1/4	1/4	Chord	3/4	2	1	1/32		1/32	1	84		articAccentAbove								20				
9	9	201/8	201/8	0.125	9/32	9/32	Chord	3/4	2	1	1/32		1/32	1	85										20				
9	9	101/4	101/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	86														
9	9	26	26	0.125	1/2	1/2	Chord	3/4	2	1	1/32		1/32	1	87		articAccentAbove								21				
9	9	209/8	209/8	0.125	17/32	17/32	Chord	3/4	2	1	1/32		1/32	1	88										21				
9	9	105/4	105/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	89														
10	10	27	27	1.75	0	0	Chord	3/4	1	1	7/16		1/4	7/4	90		articMarcatoAbove								22				
10	10	115/4	115/4	0.125	7/16	7/16	Chord	3/4	1	1	1/32		1/32	1	91										22				
10	10	231/8	231/8	0.125	15/32	15/32	Chord	3/4	1	1	1/32		1/32	1	92										22				
10	10	29	29	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	93		articStaccatoAbove												
10	10	27	27	1.75	0	0	Chord	3/4	2	1	7/16		1/4	7/4	94		articMarcatoAbove								23				
10	10	115/4	115/4	0.125	7/16	7/16	Chord	3/4	2	1	1/32		1/32	1	95										23				
10	10	231/8	231/8	0.125	15/32	15/32	Chord	3/4	2	1	1/32		1/32	1	96										23				
10	10	29	29	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	97		articStaccatoAbove												
11	11	30	30	0.125	0	0	Chord	3/4	1	1	1/32		1/32	1	98		articAccentAbove								24				
11	11	241/8	241/8	0.125	1/32	1/32	Chord	3/4	1	1	1/32		1/32	1	99										24				
11	11	121/4	121/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	100														
11	11	31	31	0.125	1/4	1/4	Chord	3/4	1	1	1/32		1/32	1	101		articAccentAbove								25				
11	11	249/8	249/8	0.125	9/32	9/32	Chord	3/4	1	1	1/32		1/32	1	102										25				
11	11	125/4	125/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	103														
11	11	32	32	0.125	1/2	1/2	Chord	3/4	1	1	1/32		1/32	1	104		articAccentAbove								26				
11	11	257/8	257/8	0.125	17/32	17/32	Chord	3/4	1	1	1/32		1/32	1	105										26				
11	11	129/4	129/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	106														
11	11	30	30	0.125	0	0	Chord	3/4	2	1	1/32		1/32	1	107		articAccentAbove								27				
11	11	241/8	241/8	0.125	1/32	1/32	Chord	3/4	2	1	1/32		1/32	1	108										27				
11	11	121/4	121/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	109														
11	11	31	31	0.125	1/4	1/4	Chord	3/4	2	1	1/32		1/32	1	110		articAccentAbove								28				
11	11	249/8	249/8	0.125	9/32	9/32	Chord	3/4	2	1	1/32		1/32	1	111										28				
11	11	125/4	125/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	112														
11	11	32	32	0.125	1/2	1/2	Chord	3/4	2	1	1/32		1/32	1	113		articAccentAbove								29				
11	11	257/8	257/8	0.125	17/32	17/32	Chord	3/4	2	1	1/32		1/32	1	114										29				
11	11	129/4	129/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	115														
12	12	33	33	1.75	0	0	Chord	3/4	1	1	7/16		1/4	7/4	116		articMarcatoAbove								30				
12	12	139/4	139/4	0.125	7/16	7/16	Chord	3/4	1	1	1/32		1/32	1	117										30				
12	12	279/8	279/8	0.125	15/32	15/32	Chord	3/4	1	1	1/32		1/32	1	118										30				
12	12	35	35	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	119		articStaccatoAbove												
12	12	33	33	1.75	0	0	Chord	3/4	2	1	7/16		1/4	7/4	120		articMarcatoAbove								31				
12	12	139/4	139/4	0.125	7/16	7/16	Chord	3/4	2	1	1/32		1/32	1	121										31				
12	12	279/8	279/8	0.125	15/32	15/32	Chord	3/4	2	1	1/32		1/32	1	122										31				
12	12	35	35	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	123		articStaccatoAbove												
13	13	36	36	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""12""/><b>Molto sostenuto </b>(𝅘𝅥 = 𝅗𝅥)"											
13	13	36	36	0.0	0	0	Dynamic	3/4	1	1	0					f													
13	13	36	36	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	124										32				
13	13	37	37	0.0	1/4	1/4	StaffText	3/4	1	1	0							<i>pesante</i>							32				
13	13	37	37	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	125										32				
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	126										32				
13	13	36	36	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	127										33				
13	13	37	37	1.5	1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	128										33				
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	129										33				
14	14	39	39	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	130														
14	14	39	39	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	131														
15	15	42	42	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""12""/><b>Tempo I</b>"											
15	15	42	42	0.0	0	0	Dynamic	3/4	1	1	0					p													
15	15	42	42	1.75	0	0	Chord	3/4	1	1	7/16		1/4	7/4	132		articAccentAbove								34				
15	15	175/4	175/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	133										34				
15	15	44	44	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	134										34				
15	15	133/3	133/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	135										34				
15	15	134/3	134/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	136										34				
15	15	42	42	1.75	0	0	Chord	3/4	2	1	7/16		1/4	7/4	137		articAccentAbove								35				
15	15	175/4	175/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	138										35				
15	15	44	44	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	139										35				
15	15	133/3	133/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	140										35				
15	15	134/3	134/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	141										35				
16	16	45	45	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	142		articMarcatoAbove								34				
16	16	47	47	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	143										34				
16	16	189/4	189/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	144														
16	16	45	45	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	145		articMarcatoAbove								35				
16	16	47	47	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	146										35				
16	16	189/4	189/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	147														
17	17	48	48	1.75	0	0	Chord	3/4	1	1	7/16		1/4	7/4	148		articAccentAbove								36				
17	17	199/4	199/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	149										36				
17	17	50	50	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	150										36				
17	17	151/3	151/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	151										36				
17	17	152/3	152/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	152										36				
17	17	48	48	1.75	0	0	Chord	3/4	2	1	7/16		1/4	7/4	153		articAccentAbove								37				
17	17	199/4	199/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	154										37				
17	17	50	50	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	155										37				
17	17	151/3	151/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	156										37				
17	17	152/3	152/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	157										37				
18	18	51	51	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	158		articMarcatoAbove								36				
18	18	53	53	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	159										36				
18	18	213/4	213/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	160														
18	18	51	51	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	161		articMarcatoAbove								37				
18	18	53	53	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	162										37				
18	18	213/4	213/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	163														
19	19	54	54	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	164										38				
19	19	217/4	217/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	165														
19	19	55	55	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	166										39				
19	19	221/4	221/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	167														
19	19	56	56	0.0	1/2	1/2	StaffText	3/4	1	1	0							<i>cresc.</i>											
19	19	56	56	0.0	1/2	1/2	Spanner	3/4	1	1	0																	0	
19	19	56	56	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	168										40			0	
19	19	225/4	225/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	169													0	
19	19	54	54	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	170										41				
19	19	217/4	217/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	171														
19	19	55	55	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	172										42				
19	19	221/4	221/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	173														
19	19	56	56	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	174										43				
19	19	225/4	225/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	175														
20	20	57	57	0.0	0	0	Spanner	3/4	1	1	0																		
20	20	57	57	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	176										44				
20	20	229/4	229/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	177														
20	20	58	58	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	178										45				
20	20	233/4	233/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	179														
20	20	59	59	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	180										46				
20	20	237/4	237/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	181														
20	20	57	57	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	182										47				
20	20	229/4	229/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	183														
20	20	58	58	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	184										48				
20	20	233/4	233/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	185														
20	20	59	59	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	186										49				
20	20	237/4	237/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	187														
21	21	60	60	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	188										50				
21	21	241/4	241/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	189														
21	21	61	61	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	190										51				
21	21	245/4	245/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	191														
21	21	62	62	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	192										52				
21	21	249/4	249/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	193														
21	21	60	60	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	194										53				
21	21	241/4	241/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	195														
21	21	61	61	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	196										54				
21	21	245/4	245/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	197														
21	21	62	62	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	198										55				
21	21	249/4	249/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	199														
22	22	63	63	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	200										56				
22	22	253/4	253/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	201														
22	22	64	64	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	202										57				
22	22	257/4	257/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	203														
22	22	65	65	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	204										58				
22	22	261/4	261/4	0.0	9/16	9/16	Dynamic	3/4	1	1	0					f													
22	22	261/4	261/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	205														
22	22	63	63	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	206										59				
22	22	253/4	253/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	207														
22	22	64	64	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	208										60				
22	22	257/4	257/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	209														
22	22	65	65	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	210										61				
22	22	261/4	261/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	211														
23	23	66	66	0.0	0	0	Dynamic	3/4	1	1	0					mf													
23	23	66	66	0.0	0	0	Tempo	3/4	1	1	0										52.0			1.0					
23	23	66	66	0.0	0	0	Tempo	3/4	1	1	0									𝅗𝅥.=62	186.0	𝅗𝅥.	62.0	0.0					
23	23	66	66	1.75	0	0	Chord	3/4	1	1	7/16		1/4	7/4	212		articAccentAbove								62				
23	23	271/4	271/4	0.125	7/16	7/16	Chord	3/4	1	1	1/32		1/32	1	213										62				
23	23	543/8	543/8	0.125	15/32	15/32	Chord	3/4	1	1	1/32		1/32	1	214										62				
23	23	68	68	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	215		articMarcatoAbove												
23	23	66	66	1.75	0	0	Chord	3/4	2	1	7/16		1/4	7/4	216		articAccentBelow								63				
23	23	271/4	271/4	0.125	7/16	7/16	Chord	3/4	2	1	1/32		1/32	1	217										63				
23	23	543/8	543/8	0.125	15/32	15/32	Chord	3/4	2	1	1/32		1/32	1	218										63				
23	23	68	68	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	219		articMarcatoAbove												
24	24	69	69	1.75	0	0	Chord	3/4	1	1	7/16		1/4	7/4	220		articAccentAbove								64				
24	24	283/4	283/4	0.125	7/16	7/16	Chord	3/4	1	1	1/32		1/32	1	221										64				
24	24	567/8	567/8	0.125	15/32	15/32	Chord	3/4	1	1	1/32		1/32	1	222										64				
24	24	71	71	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	223		articMarcatoAbove								64				
24	24	285/4	285/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	224														
24	24	69	69	1.75	0	0	Chord	3/4	2	1	7/16		1/4	7/4	225		articAccentBelow								65				
24	24	283/4	283/4	0.125	7/16	7/16	Chord	3/4	2	1	1/32		1/32	1	226										65				
24	24	567/8	567/8	0.125	15/32	15/32	Chord	3/4	2	1	1/32		1/32	1	227										65				
24	24	71	71	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	228		articMarcatoAbove								65				
24	24	285/4	285/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	229														
25	25	72	72	1.75	0	0	Chord	3/4	1	1	7/16		1/4	7/4	230		articAccentAbove								66				
25	25	295/4	295/4	0.125	7/16	7/16	Chord	3/4	1	1	1/32		1/32	1	231										66				
25	25	591/8	591/8	0.125	15/32	15/32	Chord	3/4	1	1	1/32		1/32	1	232										66				
25	25	74	74	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	233		articMarcatoAbove												
25	25	72	72	1.75	0	0	Chord	3/4	2	1	7/16		1/4	7/4	234		articAccentBelow								67				
25	25	295/4	295/4	0.125	7/16	7/16	Chord	3/4	2	1	1/32		1/32	1	235										67				
25	25	591/8	591/8	0.125	15/32	15/32	Chord	3/4	2	1	1/32		1/32	1	236										67				
25	25	74	74	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	237		articMarcatoAbove												
26	26	75	75	1.75	0	0	Chord	3/4	1	1	7/16		1/4	7/4	238		articAccentAbove								68				
26	26	307/4	307/4	0.125	7/16	7/16	Chord	3/4	1	1	1/32		1/32	1	239										68				
26	26	615/8	615/8	0.125	15/32	15/32	Chord	3/4	1	1	1/32		1/32	1	240										68				
26	26	77	77	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	241		articAccentAbove								68				
26	26	309/4	309/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	242														
26	26	75	75	1.75	0	0	Chord	3/4	2	1	7/16		1/4	7/4	243		articAccentBelow								69				
26	26	307/4	307/4	0.125	7/16	7/16	Chord	3/4	2	1	1/32		1/32	1	244										69				
26	26	615/8	615/8	0.125	15/32	15/32	Chord	3/4	2	1	1/32		1/32	1	245										69				
26	26	77	77	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	246		articAccentBelow								69				
26	26	309/4	309/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	247														
27	27	78	78	0.0	0	0	StaffText	3/4	1	1	0							<i>cresc.</i>											
27	27	78	78	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	248		articMarcatoAbove								70				
27	27	313/4	313/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	249														
27	27	79	79	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	250		articMarcatoAbove								71				
