mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	2/4	1	1	0								Andantesostenuto𝅘𝅥=54-60	54.0			0.0			
1	1	0	0	0.0	0	0	Dynamic	2/4	1	1	0					p										
1	1	0	0	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	0		articTenutoAbove							0		
1	1	1/2	1/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	1		articTenutoAbove							0		
1	1	1	1	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	2		articTenutoAbove							0		
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	3		articTenutoAbove							0		
1	1	0	0	0.0	0	0	Chord	2/4	2	1	0	acciaccatura	1/8	1	4		articTenutoAbove									
1	1	0	0	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	5									1		
1	1	1/2	1/2	0.0	1/8	1/8	Chord	2/4	2	1	0	acciaccatura	1/8	1	6		articTenutoAbove							1		
1	1	1/2	1/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	7									1		
1	1	1	1	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	8		articTenutoAbove							1		
1	1	1	1	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	9									1		
1	1	3/2	3/2	0.0	3/8	3/8	Chord	2/4	2	1	0	acciaccatura	1/8	1	10		articTenutoAbove							1		
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	11									1		
2	2	2	2	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	12									0		
2	2	3	3	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	13											
2	2	2	2	0.0	0	0	Chord	2/4	2	1	0	acciaccatura	1/8	1	14		articTenutoAbove							1		
2	2	2	2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	15									1		
