mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	TextLine
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0							Moltosostenuto𝅘𝅥=66	66.0	Moltosostenuto𝅘𝅥	66.0	0.0				
1	1	1	1	0.0	1/4	1/4	Dynamic	4/4	1	1	0				mf											
1	1	1	1	0.0	1/4	1/4	Spanner	4/4	1	1	0													0		
1	1	1	1	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	0		articTenutoBelow								0		
1	1	2	2	0.0	1/2	1/2	StaffText	4/4	1	1	0						<i>espress.</i>							0		
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	1		articTenutoBelow								0		
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	2		articTenutoBelow								0		
2	2	4	4	0.0	0	0	Spanner	4/4	1	1	0															
2	2	4	4	4.0	0	0	Chord	4/4	1	1	1	1	1	3		articMarcatoAbove										
2	2	6	6	0.0	1/2	1/2	Dynamic	4/4	2	1	0				p											
2	2	6	6	0.0	1/2	1/2	StaffText	4/4	2	1	0						<i>espress.</i>									
2	2	6	6	0.0	1/2	1/2	Spanner	4/4	2	1	0														0	
2	2	6	6	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	4		articTenutoStaccatoBelow							0		0	
2	2	13/2	13/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	5		articTenutoStaccatoBelow							0		0	
2	2	7	7	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	6		articTenutoStaccatoBelow							0		0	
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	7		articTenutoStaccatoBelow							0		0	
3	3	8	8	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	8												
3	3	9	9	0.0	1/4	1/4	Spanner	4/4	1	1	0													1		
3	3	9	9	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	9		articTenutoBelow								1		
3	3	10	10	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	10		articTenutoBelow								1		
3	3	11	11	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	11		articTenutoBelow								1		
3	3	8	8	0.0	0	0	Dynamic	4/4	2	1	0				other-dynamics											
3	3	8	8	0.0	0	0	Spanner	4/4	2	1	0															
3	3	8	8	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	12		articTenutoBelow										
4	4	12	12	0.0	0	0	Spanner	4/4	1	1	0															
4	4	12	12	4.0	0	0	Chord	4/4	1	1	1	1	1	13		articMarcatoAbove										
4	4	14	14	0.0	1/2	1/2	Spanner	4/4	2	1	0														1	
4	4	14	14	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	14		articTenutoStaccatoBelow							1		1	
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	15		articTenutoStaccatoBelow							1		1	
4	4	15	15	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	16		articTenutoStaccatoBelow							1		1	
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	17		articTenutoStaccatoBelow							1		1	
5	5	16	16	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	18												
5	5	17	17	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	19		articTenutoBelow							2			
5	5	18	18	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	20		articTenutoBelow							2			
5	5	19	19	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	21									2			
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	22									2			
5	5	16	16	0.0	0	0	Spanner	4/4	2	1	0															
5	5	16	16	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	23		articTenutoBelow										
6	6	20	20	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	24		articMarcatoAbove										
6	6	22	22	0.0	1/2	1/2	StaffText	4/4	1	1	0						<i>sonore</i>									
6	6	22	22	0.0	1/2	1/2	Spanner	4/4	1	1	0													2		
6	6	22	22	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	25									3	2		
6	6	45/2	45/2	1.0	5/8	5/8	Chord	4/4	1	1	1/4	1/4	1	26									3	2		
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	27									3	2		
6	6	20	20	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	28		articTenutoStaccatoBelow							4			
6	6	41/2	41/2	0.0	1/8	1/8	Spanner	4/4	2	1	0												4		2	
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	29		articTenutoStaccatoBelow							4		2	
