mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	TextLine
6	6	21	21	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	30		articTenutoStaccatoBelow							4		2	
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	31		articTenutoStaccatoBelow							4		2	
6	6	22	22	0.0	1/2	1/2	Spanner	4/4	2	1	0															
6	6	22	22	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	32												
7	7	24	24	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	33									3	2		
7	7	49/2	49/2	1.0	1/8	1/8	Chord	4/4	1	1	1/4	1/4	1	34									3	2		
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	35									3	2		
7	7	26	26	0.0	1/2	1/2	Spanner	4/4	1	1	0												3			
7	7	26	26	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	36									3			
7	7	53/2	53/2	0.0	5/8	5/8	Spanner	4/4	1	1	0												3		3	
7	7	53/2	53/2	1.0	5/8	5/8	Chord	4/4	1	1	1/4	1/4	1	37									3		3	
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	38									3		3	
8	8	28	28	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	39									3		3	
8	8	57/2	57/2	1.0	1/8	1/8	Chord	4/4	1	1	1/4	1/4	1	40									3		3	
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	41											3	
8	8	30	30	0.0	1/2	1/2	Spanner	4/4	1	1	0															
8	8	30	30	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	42									5			
8	8	121/4	121/4	0.75	9/16	9/16	Chord	4/4	1	1	3/16	1/8	3/2	43												
8	8	31	31	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	44		articMarcatoAbove										
9	9	32	32	4.0	0	0	Chord	4/4	1	1	1	1	1	45												
9	9	32	32	0.0	0	0	Spanner	4/4	2	1	0														4	
9	9	34	34	0.0	1/2	1/2	Spanner	4/4	2	1	0															
9	9	34	34	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	46		articTenutoStaccatoAbove							6			
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	47		articTenutoStaccatoAbove							6			
9	9	35	35	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	48		articTenutoStaccatoAbove							6			
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	49		articTenutoStaccatoAbove							6			
9	9	32	32	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	50		articTenutoStaccatoBelow							7			
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	51		articTenutoStaccatoBelow							7			
9	9	33	33	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	52		articTenutoStaccatoBelow							7			
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	53		articTenutoStaccatoBelow							7			
9	9	34	34	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	54		articTenutoBelow										
10	10	36	36	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	55												
10	10	37	37	0.0	1/4	1/4	Spanner	4/4	1	1	0													3		
10	10	37	37	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	56									8	3		
10	10	38	38	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	57									8	3		
10	10	39	39	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	58									8	3		
10	10	79/2	79/2	0.0	7/8	7/8	Spanner	4/4	1	1	0															
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	59												
10	10	36	36	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	60		articTenutoBelow										
11	11	40	40	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	61		articAccentBelow							9			
11	11	161/4	161/4	0.75	1/16	1/16	Chord	4/4	1	1	3/16	1/8	3/2	62												
11	11	41	41	3.0	1/4	1/4	Chord	4/4	1	1	3/4	1/2	3/2	63		articMarcatoAbove										
11	11	40	40	0.0	0	0	Spanner	4/4	2	1	0														5	
11	11	42	42	0.0	1/2	1/2	Spanner	4/4	2	1	0															
11	11	42	42	0.0	1/2	1/2	Spanner	4/4	2	1	0														6	
11	11	42	42	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	64		articTenutoStaccatoAbove							10		6	
11	11	85/2	85/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	65		articTenutoStaccatoAbove							10		6	
11	11	43	43	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	66		articTenutoStaccatoAbove							10		6	
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	67		articTenutoStaccatoAbove							10		6	
11	11	40	40	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	68		articTenutoStaccatoBelow							11		6	
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	69		articTenutoStaccatoBelow							11		6	
11	11	41	41	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	70		articTenutoStaccatoBelow							11		6	
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	71		articTenutoStaccatoBelow							11		6	
11	11	42	42	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	72		articTenutoBelow									6	
12	12	44	44	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	73												
12	12	45	45	0.0	1/4	1/4	StaffText	4/4	1	1	0						<i>molto cresc.</i>									
12	12	45	45	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	74		articTenutoAbove										
12	12	46	46	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	75												
12	12	93/2	93/2	1.0	5/8	5/8	Chord	4/4	1	1	1/4	1/4	1	76									12			
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	77												
12	12	45	45	1.0	1/4	1/4	Chord	4/4	1	3	1/4	1/4	1	78		articTenutoBelow										
12	12	46	46	0.5	1/2	1/2	Chord	4/4	1	3	1/8	1/8	1	79												
12	12	93/2	93/2	1.0	5/8	5/8	Chord	4/4	1	3	1/4	1/4	1	80									13			
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	1	3	1/8	1/8	1	81												
12	12	44	44	0.0	0	0	Spanner	4/4	2	1	0															
12	12	44	44	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	82		articTenutoBelow										
13	13	48	48	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	83									14			
13	13	49	49	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	84												
13	13	99/2	99/2	0.0	3/8	3/8	Spanner	4/4	1	1	0														7	
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	85									15		7	
13	13	50	50	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	86									15		7	
13	13	51	51	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	87											7	
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	88									16		7	
13	13	48	48	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	89									17		7	
13	13	49	49	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	90											7	
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	91									18		7	
13	13	50	50	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	92									18		7	
13	13	51	51	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	93											7	
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	94									19		7	
14	14	52	52	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	95									16		7	
14	14	53	53	0.0	1/4	1/4	Spanner	4/4	1	1	0															
14	14	53	53	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	96												
14	14	107/2	107/2	0.0	3/8	3/8	Spanner	4/4	1	1	0													4		
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	97										4		
14	14	54	54	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	98									20	4		
14	14	217/4	217/4	0.0	9/16	9/16	Spanner	4/4	1	1	0															
14	14	217/4	217/4	0.75	9/16	9/16	Chord	4/4	1	1	3/16	1/8	3/2	99												
14	14	55	55	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	100		articMarcatoAbove										
14	14	52	52	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	101									19			
14	14	53	53	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	102												
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	103												
14	14	54	54	0.25	1/2	1/2	Chord	4/4	1	2	1/16	1/16	1	104									21			
14	14	217/4	217/4	0.75	9/16	9/16	Chord	4/4	1	2	3/16	1/8	3/2	105												
14	14	55	55	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	106												
15	15	56	56	4.0	0	0	Chord	4/4	1	1	1	1	1	107												
15	15	56	56	3.0	0	0	Chord	4/4	1	2	3/4	1/2	3/2	108												
15	15	56	56	0.0	0	0	Spanner	4/4	2	1	0														8	
15	15	119/2	119/2	0.0	7/8	7/8	Spanner	4/4	2	1	0															
15	15	56	56	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	109		articTenutoStaccatoBelow										
15	15	113/2	113/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	110		articTenutoStaccatoBelow										
15	15	57	57	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	111		articTenutoStaccatoBelow										
15	15	115/2	115/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	112		articTenutoStaccatoBelow										
15	15	58	58	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	113		articTenutoStaccatoAbove										
15	15	117/2	117/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	114		articTenutoStaccatoAbove										
15	15	59	59	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	115		articTenutoStaccatoAbove										
15	15	119/2	119/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	116		articTenutoStaccatoAbove										
16	16	60	60	0.0	0	0	Spanner	4/4	1	1	0													5		
16	16	60	60	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	117									22	5		
16	16	241/4	241/4	0.75	1/16	1/16	Chord	4/4	1	1	3/16	1/8	3/2	118										5		
16	16	61	61	0.0	1/4	1/4	Spanner	4/4	1	1	0															
16	16	61	61	3.0	1/4	1/4	Chord	4/4	1	1	3/4	1/2	3/2	119		articMarcatoAbove										
16	16	62	62	0.0	1/2	1/2	Spanner	4/4	2	1	0														9	
16	16	62	62	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	120		articTenutoStaccatoBelow							23		9	
16	16	125/2	125/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	121		articTenutoStaccatoBelow							23		9	
16	16	63	63	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	122		articTenutoStaccatoBelow							23		9	
16	16	127/2	127/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	123		articTenutoStaccatoBelow							23		9	
17	17	64	64	0.0	0	0	Dynamic	4/4	1	1	0				p											
17	17	64	64	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	124									24			
17	17	257/4	257/4	0.75	1/16	1/16	Chord	4/4	1	1	3/16	1/8	3/2	125												
17	17	65	65	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	126		articAccentBelow										
17	17	67	67	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	127		articMarcatoAbove										
17	17	64	64	0.0	0	0	Dynamic	4/4	2	1	0				other-dynamics											
17	17	64	64	0.0	0	0	Spanner	4/4	2	1	0															
17	17	66	66	0.0	1/2	1/2	Dynamic	4/4	2	1	0				pp											
17	17	66	66	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	128		articTenutoStaccatoAbove							25			
17	17	133/2	133/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	129		articTenutoStaccatoAbove							25			
17	17	67	67	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	130		articTenutoStaccatoAbove							25			
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	131		articTenutoStaccatoAbove							25			
17	17	64	64	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	132		articTenutoStaccatoBelow							26			
17	17	129/2	129/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	133		articTenutoStaccatoBelow							26			
17	17	65	65	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	134		articTenutoStaccatoBelow							26			
17	17	131/2	131/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	135		articTenutoStaccatoBelow							26			
17	17	66	66	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	136												
18	18	68	68	0.0	0	0	StaffText	4/4	1	1	0						<i>ritardando</i>									
18	18	68	68	4.0	0	0	Chord	4/4	1	1	1	1	1	137												
18	18	68	68	0.0	0	0	Spanner	4/4	2	1	0															0
18	18	68	68	0.0	0	0	Spanner	4/4	2	1	0															0, 1
18	18	68	68	0.0	0	0	Spanner	4/4	2	1	0														10	0, 1
18	18	68	68	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	138		articTenutoStaccatoAbove							27		10	0, 1
18	18	137/2	137/2	0.0	1/8	1/8	Spanner	4/4	2	1	0												27		10	
18	18	137/2	137/2	0.0	1/8	1/8	Spanner	4/4	2	1	0												27		10	
18	18	137/2	137/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	139		articTenutoStaccatoAbove							27		10	
18	18	69	69	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	140		articTenutoStaccatoAbove							27		10	
18	18	139/2	139/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	141		articTenutoStaccatoAbove							27		10	
18	18	70	70	0.0	1/2	1/2	Spanner	4/4	2	1	0															
18	18	70	70	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	142												
18	18	68	68	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	143												
