mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill	crescendo_hairpin	decrescendo_hairpin	Ottava:8va
17	17	51/2	51/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	67		articStaccatoAbove											
17	17	26	26	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	68		articStaccatoAbove											
17	17	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	69		articStaccatoAbove											
17	17	24	24	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	70		articTenutoBelow											
17	17	25	25	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	71		articStaccatoAbove											
18	18	27	27	0.0	0	0	Dynamic	3/8	1	1	0				sf												
18	18	27	27	1.5	0	0	Chord	3/8	1	1	3/8	1/4	3/2	72									3				
18	18	27	27	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	73													
18	18	55/2	55/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	74													
18	18	28	28	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	75													
19	19	57/2	57/2	1.5	0	0	Chord	3/8	1	1	3/8	1/4	3/2	76									3				
19	19	57/2	57/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	77													
19	19	29	29	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	78													
19	19	59/2	59/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	79													
20	20	30	30	1.5	0	0	Chord	3/8	1	1	3/8	1/4	3/2	80									3				
20	20	30	30	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	81													
20	20	61/2	61/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	82													
20	20	31	31	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	83													
21	21	63/2	63/2	1.5	0	0	Chord	3/8	1	1	3/8	1/4	3/2	84									3				
21	21	63/2	63/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	85													
21	21	32	32	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	86													
21	21	65/2	65/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	87													
