mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill	crescendo_hairpin	decrescendo_hairpin	Ottava:8va
54	54	81	81	0.5	0	0	Chord	3/8	1	2	1/8	1/8	1	250													
55	55	83	83	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	251													
55	55	167/2	167/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	252													
55	55	165/2	165/2	0.5	0	0	Chord	3/8	1	2	1/8	1/8	1	253													
56	56	169/2	169/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	254													
56	56	85	85	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	255													
56	56	84	84	0.5	0	0	Chord	3/8	1	2	1/8	1/8	1	256													
57	57	86	86	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	257													
57	57	173/2	173/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	258													
57	57	171/2	171/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	259		articAccentAbove											
58	58	175/2	175/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	260													
58	58	88	88	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	261													
58	58	87	87	0.5	0	0	Chord	3/8	1	2	1/8	1/8	1	262													
59	59	177/2	177/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	263													
59	59	89	89	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	264													
59	59	179/2	179/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	265													
60	60	90	90	0.0	0	0	StaffText	3/8	1	1	0						<i>cresc. molto</i>										
60	60	90	90	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	266													
60	60	181/2	181/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	267													
60	60	91	91	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	268													
61	61	183/2	183/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	269													
61	61	92	92	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	270													
61	61	185/2	185/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	271													
62	62	93	93	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	272													
62	62	187/2	187/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	273													
62	62	94	94	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	274													
63	63	189/2	189/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	275													
63	63	95	95	0.0	1/8	1/8	StaffText	3/8	1	1	0						<i>dim.</i>										
63	63	95	95	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	276													
63	63	191/2	191/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	277													
64	64	96	96	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	278													
64	64	193/2	193/2	0.0	1/8	1/8	StaffText	3/8	1	1	0						<i>ritard.</i>										
64	64	193/2	193/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	279													
64	64	97	97	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	280													
64	64	96	96	0.0	0	0	Spanner	3/8	2	1	0															2	
65	65	195/2	195/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	281												2	
65	65	98	98	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	282												2	
65	65	197/2	197/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	283												2	
66	66	199/2	199/2	0.0	1/8	1/8	Spanner	3/8	1	1	0														3		
66	66	199/2	199/2	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24	1/16	2/3	284									17		3		
66	66	299/3	299/3	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24	1/16	2/3	285									17		3		
