mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	2/4	1	1	0									Allegrettomoltorubato𝅗𝅥=56	112.0	Allegrettomoltorubato𝅗𝅥	56.0	0.0			
1	1	0	0	0.0	0	0	Dynamic	2/4	1	1	0					p											
1	1	0	0	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	0		articStaccatoBelow										
1	1	1/2	1/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	1		articStaccatoBelow										
1	1	1	1	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	2		articStaccatoBelow										
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	3		articStaccatoBelow										
1	1	0	0	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	4		articStaccatoBelow										
1	1	1	1	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	5		articStaccatoAbove										
2	2	2	2	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	6		articTenutoBelow										
2	2	2	2	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	7		articTenutoAbove										
3	3	4	4	0.0	0	0	Tempo	2/4	1	1	0										112.0			1.0			
3	3	4	4	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	8		articStaccatoBelow										
3	3	9/2	9/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	9		articStaccatoBelow										
3	3	5	5	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	10		articStaccatoBelow										
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	11		articStaccatoBelow										
3	3	4	4	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	12		articStaccatoBelow										
3	3	5	5	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	13		articStaccatoAbove										
4	4	6	6	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	14		articTenutoBelow										
4	4	6	6	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	15		articTenutoAbove										
5	5	8	8	0.0	0	0	StaffText	2/4	1	1	0							<i>accel. molto</i>									
5	5	8	8	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	16		articStaccatoBelow										
5	5	17/2	17/2	0.0	1/8	1/8	Tempo	2/4	1	1	0										112.0			1.0			
5	5	17/2	17/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	17		articStaccatoBelow										
5	5	9	9	0.0	1/4	1/4	Spanner	2/4	1	1	0															0	
5	5	9	9	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	18		articStaccatoBelow									0	
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	19		articStaccatoBelow									0	
5	5	9	9	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	20		articStaccatoAbove										
6	6	10	10	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	21		articStaccatoBelow									0	
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	22		articStaccatoBelow									0	
6	6	11	11	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	23		articStaccatoBelow									0	
6	6	23/2	23/2	0.0	3/8	3/8	Spanner	2/4	1	1	0																
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	24		articStaccatoBelow										
6	6	10	10	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	25		articStaccatoAbove										
6	6	11	11	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	26		articStaccatoBelow										
7	7	12	12	0.0	0	0	Tempo	2/4	1	1	0									𝅗𝅥=69	138.0	𝅗𝅥	69.0	1.0			
7	7	12	12	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	27		articStaccatoAbove										
7	7	25/2	25/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	28		articStaccatoAbove										
7	7	13	13	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	29		articStaccatoAbove										
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	30		articStaccatoAbove										
7	7	12	12	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	31		articStaccatoBelow										
7	7	13	13	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	32		articStaccatoBelow										
8	8	14	14	0.0	0	0	StaffText	2/4	1	1	0							<i>poco rit.</i>									
8	8	14	14	0.0	0	0	Spanner	2/4	1	1	0																0
8	8	14	14	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	33		articStaccatoBelow										0
8	8	29/2	29/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	34		articStaccatoBelow										0
8	8	15	15	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	35		articStaccatoBelow										0
8	8	31/2	31/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	36		articStaccatoBelow										0
8	8	14	14	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	37		articStaccatoBelow										
8	8	15	15	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	38		articStaccatoAbove										
9	9	16	16	0.0	0	0	Tempo	2/4	1	1	0									𝅗𝅥=56	112.0	𝅗𝅥	56.0	1.0			
9	9	16	16	0.0	0	0	Tempo	2/4	1	1	0										112.0			1.0			
9	9	16	16	0.0	0	0	Spanner	2/4	1	1	0																
9	9	16	16	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	39		articTenutoBelow										
9	9	16	16	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	40		articTenutoAbove										
10	10	18	18	0.0	0	0	Spanner	2/4	1	1	0																1
