mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	Ottava:8va
8	8	29/2	29/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	39												
8	8	15	15	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	40												
8	8	31/2	31/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	41												
8	8	14	14	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	42		articTenutoAbove										
8	8	15	15	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	43		articStaccatoAbove										
8	8	31/2	31/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	44		articStaccatoAbove										
9	9	16	16	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	45												
9	9	33/2	33/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	46												
9	9	17	17	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	47												
9	9	35/2	35/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	48												
9	9	16	16	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	49		articStaccatoAbove										
9	9	33/2	33/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	50		articStaccatoAbove										
9	9	17	17	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	51		articTenutoAbove										
10	10	18	18	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	52												
10	10	37/2	37/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	53												
10	10	19	19	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	54												
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	55												
10	10	18	18	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	56		articTenutoAbove										
10	10	19	19	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	57		articTenutoAbove										
11	11	20	20	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	58												
11	11	41/2	41/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	59												
11	11	21	21	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	60												
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	61												
11	11	20	20	2.0	0	0	Chord	2/4	2	1	1/2	1/2	1	62		articAccentAbove										
12	12	22	22	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	63												
12	12	45/2	45/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	64												
12	12	23	23	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	65												
12	12	47/2	47/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	66												
12	12	22	22	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	67		articTenutoAbove										
12	12	23	23	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	68		articStaccatoAbove										
12	12	47/2	47/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	69		articStaccatoAbove										
13	13	24	24	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	70												
13	13	49/2	49/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	71												
13	13	25	25	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	72												
13	13	51/2	51/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	73												
13	13	24	24	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	74		articStaccatoAbove										
13	13	49/2	49/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	75		articStaccatoAbove										
13	13	25	25	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	76		articStaccatoAbove										
13	13	51/2	51/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	77		articStaccatoAbove										
14	14	26	26	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	78												
14	14	53/2	53/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	79												
14	14	27	27	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	80												
14	14	55/2	55/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	81												
14	14	26	26	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	82		articStaccatoAbove										
14	14	53/2	53/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	83		articStaccatoAbove										
14	14	27	27	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	84		articTenutoAbove										
15	15	28	28	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	85												
15	15	57/2	57/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	86												
15	15	29	29	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	87												
15	15	59/2	59/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	88												
15	15	28	28	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	89		articTenutoAbove										
15	15	29	29	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	90		articStaccatoAbove										
15	15	59/2	59/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	91		articStaccatoAbove										
16	16	30	30	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	92												
16	16	61/2	61/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	93												
16	16	31	31	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	94												
16	16	63/2	63/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	95												
16	16	30	30	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	96		articStaccatoAbove										
16	16	61/2	61/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	97		articStaccatoAbove										
16	16	31	31	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	98												
17	17	32	32	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	99												
17	17	65/2	65/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	100												
17	17	33	33	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	101												
17	17	67/2	67/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	102												
17	17	32	32	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	103		articTenutoAbove										
17	17	33	33	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	104		articTenutoAbove										
18	18	34	34	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	105												
18	18	69/2	69/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	106												
18	18	35	35	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	107												
18	18	71/2	71/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	108												
18	18	34	34	2.0	0	0	Chord	2/4	2	1	1/2	1/2	1	109		articAccentAbove										
19	19	36	36	0.0	0	0	Spanner	2/4	1	1	0														0	
19	19	36	36	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	110											0	
19	19	73/2	73/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	111											0	
19	19	37	37	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	112											0	
19	19	75/2	75/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	113											0	
19	19	36	36	2.0	0	0	Chord	2/4	2	1	1/2	1/2	1	114												
20	20	38	38	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	115											0	
20	20	77/2	77/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	116											0	
20	20	39	39	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	117											0	
20	20	79/2	79/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	118											0	
21	21	40	40	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	119											0	
21	21	81/2	81/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	120											0	
21	21	41	41	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	121											0	
21	21	83/2	83/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	122											0	
22	22	42	42	0.0	0	0	Spanner	2/4	1	1	0															
22	22	42	42	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	123		articAccentAbove										
22	22	85/2	85/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	124												
22	22	43	43	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	125												
22	22	87/2	87/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	126												
23	23	44	44	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	127												
23	23	89/2	89/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	128												
23	23	45	45	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	129												
23	23	91/2	91/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	130												
24	24	46	46	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	131		articAccentBelow										
24	24	93/2	93/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	132												
24	24	47	47	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	133												
24	24	95/2	95/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	134												
25	25	48	48	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	135												
25	25	97/2	97/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	136												
25	25	49	49	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	137												
25	25	99/2	99/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	138												
26	26	50	50	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	139		articAccentAbove										
26	26	101/2	101/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	140												
26	26	51	51	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	141												
26	26	103/2	103/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	142												
27	27	52	52	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	143												
27	27	105/2	105/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	144												
27	27	53	53	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	145												
27	27	107/2	107/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	146												
28	28	54	54	0.0	0	0	Dynamic	2/4	1	1	0				sf											
28	28	54	54	0.0	0	0	StaffText	2/4	1	1	0						<i>poco marcato</i>									
28	28	54	54	2.0	0	0	Chord	2/4	1	1	1/2	1/2	1	147												
28	28	54	54	0.0	0	0	Dynamic	2/4	2	1	0				mf											
28	28	54	54	0.0	0	0	Dynamic	2/4	2	1	0				p											
28	28	54	54	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	148												
28	28	109/2	109/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	149												
28	28	55	55	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	150												
28	28	111/2	111/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	151												
29	29	56	56	2.0	0	0	Chord	2/4	1	1	1/2	1/2	1	152												
29	29	56	56	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	153												
29	29	113/2	113/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	154												
29	29	57	57	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	155												
29	29	115/2	115/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	156												
30	30	58	58	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	157												
30	30	59	59	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	158		articStaccatoAbove										
30	30	119/2	119/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	159		articStaccatoAbove										
30	30	58	58	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	160												
30	30	117/2	117/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	161												
30	30	59	59	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	162												
30	30	119/2	119/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	163												
31	31	60	60	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	164		articStaccatoAbove										
31	31	121/2	121/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	165		articStaccatoAbove										
31	31	61	61	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	166		articStaccatoAbove										
31	31	123/2	123/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	167		articStaccatoAbove										
31	31	60	60	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	168		articMarcatoAbove										
31	31	121/2	121/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	169												
31	31	61	61	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	170												
31	31	123/2	123/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	171												
32	32	62	62	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	172		articStaccatoAbove										
32	32	125/2	125/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	173		articStaccatoAbove										
32	32	63	63	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	174		articTenutoAbove										
32	32	62	62	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	175												
32	32	125/2	125/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	176												
32	32	63	63	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	177												
32	32	127/2	127/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	178												
33	33	64	64	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	179		articTenutoAbove										
33	33	65	65	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	180		articStaccatoAbove										
33	33	131/2	131/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	181		articStaccatoAbove										
33	33	64	64	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	182		articMarcatoAbove										
33	33	129/2	129/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	183												
33	33	65	65	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	184												
33	33	131/2	131/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	185												
34	34	66	66	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	186		articStaccatoAbove										
34	34	133/2	133/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	187		articStaccatoAbove										
34	34	67	67	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	188		articTenutoAbove										
34	34	66	66	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	189												
34	34	133/2	133/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	190												
34	34	67	67	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	191												
34	34	135/2	135/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	192												
35	35	68	68	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	193		articTenutoAbove										
35	35	69	69	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	194		articTenutoAbove										
35	35	68	68	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	195												
35	35	137/2	137/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	196												
35	35	69	69	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	197												
35	35	139/2	139/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	198												
36	36	70	70	2.0	0	0	Chord	2/4	1	1	1/2	1/2	1	199		articMarcatoAbove										
36	36	70	70	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	200												
36	36	141/2	141/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	201												
36	36	71	71	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	202		articMarcatoAbove										
36	36	143/2	143/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	203												
37	37	72	72	2.0	0	0	Chord	2/4	1	1	1/2	1/2	1	204												
37	37	72	72	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	205												
37	37	145/2	145/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	206												
37	37	73	73	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	207		articMarcatoAbove										
37	37	147/2	147/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	208												
38	38	74	74	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	209		articTenutoAbove										
38	38	75	75	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	210		articStaccatoAbove										
38	38	151/2	151/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	211		articStaccatoAbove										
38	38	74	74	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	212												
38	38	149/2	149/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	213												
38	38	75	75	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	214												
38	38	151/2	151/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	215												
39	39	76	76	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	216		articStaccatoAbove										
39	39	153/2	153/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	217		articStaccatoAbove										
39	39	77	77	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	218		articStaccatoAbove										
39	39	155/2	155/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	219		articStaccatoAbove										
39	39	76	76	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	220												
39	39	153/2	153/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	221												
39	39	77	77	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	222												
39	39	155/2	155/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	223												
40	40	78	78	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	224		articStaccatoAbove										
40	40	157/2	157/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	225		articStaccatoAbove										
40	40	79	79	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	226		articTenutoAbove										
40	40	78	78	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	227												
40	40	157/2	157/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	228												
40	40	79	79	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	229												
40	40	159/2	159/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	230												
41	41	80	80	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	231		articTenutoBelow										
41	41	81	81	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	232		articStaccatoBelow										
41	41	163/2	163/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	233		articStaccatoBelow										
41	41	80	80	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	234		articMarcatoAbove										
41	41	161/2	161/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	235												
41	41	81	81	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	236												
41	41	163/2	163/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	237												
42	42	82	82	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	238		articStaccatoBelow										
42	42	165/2	165/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	239		articStaccatoBelow										
42	42	83	83	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	240		articTenutoAbove										
42	42	82	82	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	241												
42	42	165/2	165/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	242												
42	42	83	83	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	243												
42	42	167/2	167/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	244												
43	43	84	84	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	245		articTenutoAbove										
43	43	85	85	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	246		articTenutoAbove										
43	43	84	84	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	247												
43	43	169/2	169/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	248												
43	43	85	85	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	249												
43	43	171/2	171/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	250												
44	44	86	86	2.0	0	0	Chord	2/4	1	1	1/2	1/2	1	251		articMarcatoAbove										
44	44	86	86	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	252												
44	44	173/2	173/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	253												
44	44	87	87	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	254												
44	44	175/2	175/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	255												
45	45	88	88	0.0	0	0	Spanner	2/4	1	1	0														1	
45	45	88	88	2.0	0	0	Chord	2/4	1	1	1/2	1/2	1	256											1	
45	45	88	88	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	257												
45	45	177/2	177/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	258												
45	45	89	89	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	259												
45	45	179/2	179/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	260												
46	46	181/2	181/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	261											1	
46	46	91	91	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	262											1	
46	46	183/2	183/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	263											1	
46	46	90	90	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	264												
47	47	92	92	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	265											1	
47	47	185/2	185/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	266											1	
47	47	93	93	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	267											1	
47	47	187/2	187/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	268											1	
48	48	94	94	0.0	0	0	Dynamic	2/4	1	1	0				mf											
48	48	94	94	0.0	0	0	Spanner	2/4	1	1	0															
48	48	94	94	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	269		articAccentAbove										
