mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	Ottava:8va
1	1	0	0	0.0	0	0	Tempo	2/4	1	1	0							Vivo𝅗𝅥=84	168.0	Vivo𝅗𝅥	84.0	1.0				
1	1	0	0	0.0	0	0	Dynamic	2/4	1	1	0				p											
1	1	0	0	0.0	0	0	StaffText	2/4	1	1	0						<i>leggiero</i>									
1	1	0	0	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	0												
1	1	1/2	1/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	1												
1	1	1	1	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	2												
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	3												
2	2	2	2	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	4												
2	2	5/2	5/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	5												
2	2	3	3	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	6												
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	7												
3	3	4	4	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	8												
3	3	9/2	9/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	9												
3	3	5	5	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	10												
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	11												
4	4	6	6	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	12												
4	4	13/2	13/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	13												
4	4	7	7	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	14												
4	4	15/2	15/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	15												
5	5	8	8	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	16												
5	5	17/2	17/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	17												
5	5	9	9	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	18												
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	19												
5	5	8	8	0.0	0	0	Dynamic	2/4	2	1	0				p											
5	5	8	8	0.0	0	0	StaffText	2/4	2	1	0						<i>poco marc.</i>									
5	5	8	8	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	20		articTenutoAbove										
5	5	9	9	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	21		articStaccatoAbove										
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	22		articStaccatoAbove										
6	6	10	10	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	23												
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	24												
6	6	11	11	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	25												
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	26												
6	6	10	10	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	27		articStaccatoAbove										
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	28		articStaccatoAbove										
6	6	11	11	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	29		articStaccatoAbove										
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	30		articStaccatoAbove										
7	7	12	12	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	31												
7	7	25/2	25/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	32												
7	7	13	13	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	33												
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	34												
7	7	12	12	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	35		articStaccatoAbove										
7	7	25/2	25/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	36		articStaccatoAbove										
7	7	13	13	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	37		articTenutoAbove										
8	8	14	14	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	38												
