mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	decrescendo_hairpin	crescendo_hairpin	TextLine
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0							Grave𝅘𝅥=69	69.0	Grave𝅘𝅥	69.0	1.0			
1	1	0	0	0.0	0	0	Dynamic	3/4	1	1	0				ff										
1	1	0	0	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	0											
1	1	1	1	0.0	1/4	1/4	StaffText	3/4	1	1	0						<i>legatissimo</i>								
1	1	1	1	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	1											
1	1	2	2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	2											
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	3											
1	1	0	0	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	4											
1	1	1	1	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	5											
1	1	2	2	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	6											
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	7											
2	2	3	3	0.0	0	0	Spanner	3/4	1	1	0													0	
2	2	3	3	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	8										0	
2	2	7/2	7/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	9										0	
2	2	4	4	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	10										0	
2	2	5	5	0.0	1/2	1/2	Spanner	3/4	1	1	0														
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	11											
2	2	3	3	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	12											
2	2	7/2	7/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	13											
2	2	4	4	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	14											
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	15											
3	3	6	6	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	16											
3	3	7	7	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	17											
3	3	8	8	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	18											
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	19											
3	3	6	6	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	20											
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	21											
3	3	8	8	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	22											
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	23											
4	4	9	9	0.0	0	0	Spanner	3/4	1	1	0													1	
4	4	9	9	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	24										1	
4	4	19/2	19/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	25										1	
4	4	10	10	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	26										1	
4	4	11	11	0.0	1/2	1/2	Spanner	3/4	1	1	0														
4	4	11	11	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	27											
4	4	9	9	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	28											
4	4	19/2	19/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	29											
4	4	10	10	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	30											
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	31											
5	5	12	12	0.0	0	0	Dynamic	3/4	1	1	0				p										
5	5	12	12	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	32											
5	5	13	13	0.0	1/4	1/4	StaffText	3/4	1	1	0						<i>poco cresc.</i>								
5	5	13	13	0.0	1/4	1/4	Spanner	3/4	1	1	0													2	
5	5	13	13	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	33										2	
5	5	14	14	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	34										2	
5	5	29/2	29/2	0.0	5/8	5/8	Spanner	3/4	1	1	0														
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	35											
5	5	14	14	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	36											
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	37											
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	38											
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	39											
6	6	15	15	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	40											
6	6	31/2	31/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	41											
6	6	16	16	0.0	1/4	1/4	Spanner	3/4	1	1	0												0		
6	6	16	16	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	42									0		
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	43									0		
6	6	15	15	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	44									0		
6	6	16	16	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	45									0		
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	46									0		
6	6	15	15	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	47											
6	6	16	16	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	48											
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	49											
7	7	18	18	0.0	0	0	Dynamic	3/4	1	1	0				p										
7	7	18	18	0.0	0	0	StaffText	3/4	1	1	0						<i>cresc. molto</i>								
7	7	18	18	0.0	0	0	Spanner	3/4	1	1	0														
7	7	18	18	0.0	0	0	Spanner	3/4	1	1	0													3	
7	7	18	18	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	50										3	
7	7	19	19	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	51										3	
7	7	20	20	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	52										3	
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	53										3	
7	7	18	18	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	54											
7	7	19	19	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	55											
