mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Ottava:8va	decrescendo_hairpin	crescendo_hairpin	TextLine
1	1	0	0	0.0	0	0	Tempo	6/8	1	1	0								10.0			0.0					
1	1	0	0	0.0	0	0	StaffText	6/8	1	1	0						"<font size=""12""/><b>Rubato</b>"										
1	1	2	2	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	0													
1	1	2157/1024	2157/1024	0.0	2157/4096	2157/4096	StaffText	6/8	1	1	0						<i>sostenuto accel.</i>										
1	1	1095/512	1095/512	0.0	1095/2048	1095/2048	Dynamic	6/8	1	1	0				p												
1	1	5/2	5/2	0.0	5/8	5/8	StaffText	6/8	1	1	0						<i>molto espress.</i>										
1	1	5/2	5/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	1													
1	1	3	3	0.5	3/4	3/4	Chord	6/8	1	1	1/8	1/8	1	2													
1	1	7/2	7/2	0.25	7/8	7/8	Chord	6/8	1	1	1/16	1/16	1	3													
1	1	15/4	15/4	0.25	15/16	15/16	Chord	6/8	1	1	1/16	1/16	1	4													
1	1	4	4	0.25	1	1	Chord	6/8	1	1	1/16	1/16	1	5													
1	1	17/4	17/4	0.25	17/16	17/16	Chord	6/8	1	1	1/16	1/16	1	6													
1	1	9/2	9/2	0.0	9/8	9/8	Spanner	6/8	1	1	0															0	
1	1	9/2	9/2	0.25	9/8	9/8	Chord	6/8	1	1	1/16	1/16	1	7												0	
1	1	19/4	19/4	0.25	19/16	19/16	Chord	6/8	1	1	1/16	1/16	1	8												0	
1	1	5	5	0.25	5/4	5/4	Chord	6/8	1	1	1/16	1/16	1	9												0	
1	1	21/4	21/4	0.125	21/16	21/16	Chord	6/8	1	1	1/32	1/32	1	10												0	
1	1	43/8	43/8	0.125	43/32	43/32	Chord	6/8	1	1	1/32	1/32	1	11												0	
1	1	11/2	11/2	0.125	11/8	11/8	Chord	6/8	1	1	1/32	1/32	1	12												0	
1	1	45/8	45/8	0.125	45/32	45/32	Chord	6/8	1	1	1/32	1/32	1	13												0	
1	1	23/4	23/4	0.125	23/16	23/16	Chord	6/8	1	1	1/32	1/32	1	14												0	
1	1	47/8	47/8	0.125	47/32	47/32	Chord	6/8	1	1	1/32	1/32	1	15												0	
1	1	6	6	0.125	3/2	3/2	Chord	6/8	1	1	1/32	1/32	1	16												0	
1	1	49/8	49/8	0.0625	49/32	49/32	Chord	6/8	1	1	1/64	1/64	1	17												0	
1	1	99/16	99/16	0.0625	99/64	99/64	Chord	6/8	1	1	1/64	1/64	1	18												0	
1	1	25/4	25/4	0.0625	25/16	25/16	Chord	6/8	1	1	1/64	1/64	1	19												0	
1	1	101/16	101/16	0.0625	101/64	101/64	Chord	6/8	1	1	1/64	1/64	1	20												0	
1	1	51/8	51/8	0.0625	51/32	51/32	Chord	6/8	1	1	1/64	1/64	1	21												0	
1	1	103/16	103/16	0.0625	103/64	103/64	Chord	6/8	1	1	1/64	1/64	1	22												0	
1	1	13/2	13/2	0.03125	13/8	13/8	Chord	6/8	1	1	1/128	1/128	1	23												0	
1	1	209/32	209/32	0.03125	209/128	209/128	Chord	6/8	1	1	1/128	1/128	1	24												0	
1	1	105/16	105/16	0.03125	105/64	105/64	Chord	6/8	1	1	1/128	1/128	1	25												0	
1	1	211/32	211/32	0.0	211/128	211/128	Spanner	6/8	1	1	0																
1	1	0	0	4.0	0	0	Chord	6/8	2	1	1	1	1	26		articAccentBelow											
2	2	53/8	53/8	0.0	0	0	Tempo	6/8	1	1	0							𝅘𝅥𝅮=72	36.0	𝅘𝅥𝅮	72.0	0.0					
2	2	53/8	53/8	0.0	0	0	Spanner	6/8	1	1	0														0		
2	2	53/8	53/8	0.75	0	0	Chord	6/8	1	1	3/16	1/8	3/2	27									0		0		
2	2	59/8	59/8	0.25	3/16	3/16	Chord	6/8	1	1	1/16	1/16	1	28									0		0		
2	2	61/8	61/8	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	29		articAccentBelow							0		0		
2	2	65/8	65/8	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	30									0		0		
2	2	73/8	73/8	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	31											0		
2	2	53/8	53/8	0.0	0	0	Dynamic	6/8	2	1	0				p												
2	2	53/8	53/8	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	32													
2	2	65/8	65/8	1.5	3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	33									1				
3	3	77/8	77/8	0.0	0	0	Spanner	5/8	1	1	0																
3	3	77/8	77/8	1.5	0	0	Chord	5/8	1	1	3/8	1/4	3/2	34		articAccentAbove							2				
3	3	89/8	89/8	1.0	3/8	3/8	Chord	5/8	1	1	1/4	1/4	1	35									2				
3	3	77/8	77/8	1.5	0	0	Chord	5/8	1	2	3/8	1/4	3/2	36													
3	3	89/8	89/8	0.5	3/8	3/8	Chord	5/8	1	2	1/8	1/8	1	37													
3	3	93/8	93/8	0.5	1/2	1/2	Chord	5/8	1	2	1/8	1/8	1	38													
3	3	77/8	77/8	0.0	0	0	Dynamic	5/8	2	1	0				pp												
3	3	77/8	77/8	0.75	0	0	Chord	5/8	2	1	3/16	1/8	3/2	39													
3	3	83/8	83/8	0.0	3/16	3/16	Spanner	5/8	2	1	0															1	
3	3	83/8	83/8	0.05	3/16	3/16	Chord	5/8	2	1	1/80	1/32	2/5	40									3			1	
3	3	417/40	417/40	0.05	1/5	1/5	Chord	5/8	2	1	1/80	1/32	2/5	41									3			1	
3	3	419/40	419/40	0.05	17/80	17/80	Chord	5/8	2	1	1/80	1/32	2/5	42									3			1	
3	3	421/40	421/40	0.05	9/40	9/40	Chord	5/8	2	1	1/80	1/32	2/5	43									3			1	
3	3	423/40	423/40	0.05	19/80	19/80	Chord	5/8	2	1	1/80	1/32	2/5	44									3			1	
3	3	85/8	85/8	0.0	1/4	1/4	Spanner	5/8	2	1	0																
3	3	85/8	85/8	0.5	1/4	1/4	Chord	5/8	2	1	1/8	1/8	1	45		articAccentBelow											
3	3	89/8	89/8	0.25	3/8	3/8	Chord	5/8	2	1	1/16	1/16	1	46													
3	3	91/8	91/8	0.05	7/16	7/16	Chord	5/8	2	1	1/80	1/32	2/5	47									4				
3	3	457/40	457/40	0.05	9/20	9/20	Chord	5/8	2	1	1/80	1/32	2/5	48									4				
3	3	459/40	459/40	0.05	37/80	37/80	Chord	5/8	2	1	1/80	1/32	2/5	49									4				
3	3	461/40	461/40	0.05	19/40	19/40	Chord	5/8	2	1	1/80	1/32	2/5	50									4				
3	3	463/40	463/40	0.05	39/80	39/80	Chord	5/8	2	1	1/80	1/32	2/5	51									4				
3	3	93/8	93/8	0.5	1/2	1/2	Chord	5/8	2	1	1/8	1/8	1	52		articAccentBelow											
4	4	97/8	97/8	0.0	0	0	Spanner	3/8	1	1	0												2		1		
4	4	97/8	97/8	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	53									2		1		
4	4	103/8	103/8	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	54									2		1		
4	4	105/8	105/8	0.0	1/4	1/4	Dynamic	3/8	1	1	0				ppp												
4	4	105/8	105/8	0.0	1/4	1/4	Spanner	3/8	1	1	0																
4	4	105/8	105/8	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	55													
4	4	97/8	97/8	1.5	0	0	Chord	3/8	1	2	3/8	1/4	3/2	56													
4	4	97/8	97/8	1.5	0	0	Chord	3/8	2	1	3/8	1/4	3/2	57													
5	5	125/8	125/8	0.0	1/2	1/2	StaffText	3/8	1	1	0						<i>sostenuto accel.</i>										
5	5	125/8	125/8	0.0	1/2	1/2	Dynamic	3/8	1	1	0				p												
5	5	125/8	125/8	0.5	1/2	1/2	Chord	3/8	1	1	1/8	1/8	1	58													
5	5	129/8	129/8	0.0	5/8	5/8	StaffText	3/8	1	1	0						<i>molto espress.</i>										
5	5	129/8	129/8	0.5	5/8	5/8	Chord	3/8	1	1	1/8	1/8	1	59													
5	5	133/8	133/8	0.5	3/4	3/4	Chord	3/8	1	1	1/8	1/8	1	60													
5	5	137/8	137/8	0.5	7/8	7/8	Chord	3/8	1	1	1/8	1/8	1	61													
5	5	141/8	141/8	0.25	1	1	Chord	3/8	1	1	1/16	1/16	1	62													
5	5	143/8	143/8	0.25	17/16	17/16	Chord	3/8	1	1	1/16	1/16	1	63													
5	5	145/8	145/8	0.25	9/8	9/8	Chord	3/8	1	1	1/16	1/16	1	64													
5	5	147/8	147/8	0.25	19/16	19/16	Chord	3/8	1	1	1/16	1/16	1	65													
5	5	149/8	149/8	0.25	5/4	5/4	Chord	3/8	1	1	1/16	1/16	1	66													
5	5	151/8	151/8	0.25	21/16	21/16	Chord	3/8	1	1	1/16	1/16	1	67													
5	5	153/8	153/8	0.0	11/8	11/8	Spanner	3/8	1	1	0															2	
5	5	153/8	153/8	0.125	11/8	11/8	Chord	3/8	1	1	1/32	1/32	1	68												2	
5	5	77/4	77/4	0.125	45/32	45/32	Chord	3/8	1	1	1/32	1/32	1	69												2	
5	5	155/8	155/8	0.125	23/16	23/16	Chord	3/8	1	1	1/32	1/32	1	70												2	
5	5	39/2	39/2	0.125	47/32	47/32	Chord	3/8	1	1	1/32	1/32	1	71												2	
5	5	157/8	157/8	0.125	3/2	3/2	Chord	3/8	1	1	1/32	1/32	1	72												2	
5	5	79/4	79/4	0.125	49/32	49/32	Chord	3/8	1	1	1/32	1/32	1	73												2	
5	5	159/8	159/8	0.0625	25/16	25/16	Chord	3/8	1	1	1/64	1/64	1	74												2	
5	5	319/16	319/16	0.0625	101/64	101/64	Chord	3/8	1	1	1/64	1/64	1	75												2	
5	5	20	20	0.0625	51/32	51/32	Chord	3/8	1	1	1/64	1/64	1	76												2	
5	5	321/16	321/16	0.03125	103/64	103/64	Chord	3/8	1	1	1/128	1/128	1	77												2	
5	5	643/32	643/32	0.03125	207/128	207/128	Chord	3/8	1	1	1/128	1/128	1	78												2	
5	5	161/8	161/8	0.03125	13/8	13/8	Chord	3/8	1	1	1/128	1/128	1	79												2	
5	5	645/32	645/32	0.03125	209/128	209/128	Chord	3/8	1	1	1/128	1/128	1	80												2	
5	5	323/16	323/16	0.03125	105/64	105/64	Chord	3/8	1	1	1/128	1/128	1	81												2	
5	5	647/32	647/32	0.0	211/128	211/128	Spanner	3/8	1	1	0																
5	5	109/8	109/8	4.0	0	0	Chord	3/8	2	1	1	1	1	82		articMarcatoBelow											
6	6	81/4	81/4	0.0	0	0	Tempo	9/8	1	1	0							𝅘𝅥𝅮=92	46.0	𝅘𝅥𝅮	92.0	1.0					
6	6	81/4	81/4	0.0	0	0	Dynamic	9/8	1	1	0				mf												
6	6	81/4	81/4	0.75	0	0	Chord	9/8	1	1	3/16	1/8	3/2	83													
6	6	21	21	0.0	3/16	3/16	Spanner	9/8	1	1	0														2		
6	6	21	21	0.25	3/16	3/16	Chord	9/8	1	1	1/16	1/16	1	84									5		2		
6	6	85/4	85/4	0.5	1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	85		articAccentAbove							5		2		
6	6	87/4	87/4	0.75	3/8	3/8	Chord	9/8	1	1	3/16	1/8	3/2	86									5		2		
6	6	45/2	45/2	0.25	9/16	9/16	Chord	9/8	1	1	1/16	1/16	1	87									5		2		
6	6	91/4	91/4	0.5	5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	88		articAccentBelow							5		2		
6	6	93/4	93/4	0.0	3/4	3/4	Spanner	9/8	1	1	0																
6	6	93/4	93/4	1.0	3/4	3/4	Chord	9/8	1	1	1/4	1/4	1	89													
6	6	97/4	97/4	0.5	1	1	Chord	9/8	1	1	1/8	1/8	1	90									6				
6	6	81/4	81/4	1.5	0	0	Chord	9/8	2	1	3/8	1/4	3/2	91													
6	6	87/4	87/4	1.5	3/8	3/8	Chord	9/8	2	1	3/8	1/4	3/2	92													
6	6	93/4	93/4	1.5	3/4	3/4	Chord	9/8	2	1	3/8	1/4	3/2	93													
6	6	93/4	93/4	1.0	3/4	3/4	Chord	9/8	2	3	1/4	1/4	1	94													
6	6	97/4	97/4	0.5	1	1	Chord	9/8	2	3	1/8	1/8	1	95									7				
7	7	99/4	99/4	0.0	0	0	Tempo	9/8	1	1	0							𝅘𝅥𝅮=80	40.0	𝅘𝅥𝅮	80.0	1.0	6				
7	7	99/4	99/4	1.0	0	0	Chord	9/8	1	1	1/4	1/4	1	96									6				
7	7	103/4	103/4	0.5	1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	97													
7	7	99/4	99/4	1.5	0	0	Chord	9/8	1	3	3/8	1/4	3/2	98													
7	7	99/4	99/4	1.5	0	0	Chord	9/8	2	1	3/8	1/4	3/2	99													
7	7	105/4	105/4	1.0	3/8	3/8	Chord	9/8	2	1	1/4	1/4	1	100		articAccentBelow							8				
7	7	109/4	109/4	0.25	5/8	5/8	Chord	9/8	2	1	1/16	1/16	1	101									8				
7	7	55/2	55/2	0.0625	11/16	11/16	Chord	9/8	2	1	1/64	1/64	1	102									8				
7	7	441/16	441/16	0.0625	45/64	45/64	Chord	9/8	2	1	1/64	1/64	1	103									8				
7	7	221/8	221/8	0.041666666666666664	23/32	23/32	Chord	9/8	2	1	1/96	1/64	2/3	104									8				
7	7	83/3	83/3	0.041666666666666664	35/48	35/48	Chord	9/8	2	1	1/96	1/64	2/3	105									8				
7	7	665/24	665/24	0.041666666666666664	71/96	71/96	Chord	9/8	2	1	1/96	1/64	2/3	106													
7	7	111/4	111/4	0.0	3/4	3/4	Dynamic	9/8	2	1	0				pp												
7	7	111/4	111/4	1.0	3/4	3/4	Chord	9/8	2	1	1/4	1/4	1	107									9				
7	7	115/4	115/4	0.16666666666666666	1	1	Chord	9/8	2	1	1/24	1/16	2/3	108									9				
7	7	347/12	347/12	0.16666666666666666	25/24	25/24	Chord	9/8	2	1	1/24	1/16	2/3	109		articStaccatoAbove							9				
7	7	349/12	349/12	0.16666666666666666	13/12	13/12	Chord	9/8	2	1	1/24	1/16	2/3	110		articStaccatoAbove							9				
8	8	117/4	117/4	0.0	0	0	StaffText	3/8	2	1	0						<i>calando</i>						9				
8	8	117/4	117/4	0.0	0	0	Spanner	3/8	2	1	0												9		3		
8	8	117/4	117/4	0.125	0	0	Chord	3/8	2	1	1/32	1/32	1	111									9		3		
8	8	235/8	235/8	0.125	1/32	1/32	Chord	3/8	2	1	1/32	1/32	1	112									9		3		
8	8	59/2	59/2	0.125	1/16	1/16	Chord	3/8	2	1	1/32	1/32	1	113									9		3		
8	8	237/8	237/8	0.125	3/32	3/32	Chord	3/8	2	1	1/32	1/32	1	114											3		
8	8	119/4	119/4	0.0	1/8	1/8	Spanner	3/8	2	1	0																
9	9	123/4	123/4	0.0	0	0	Tempo	9/8	1	1	0							Pocopiùmosso𝅘𝅥𝅮=50	25.0	Pocopiùmosso𝅘𝅥𝅮	50.0	1.0					
9	9	133/4	133/4	0.0	5/8	5/8	Dynamic	9/8	1	1	0				mf												
9	9	133/4	133/4	0.07142857142857142	5/8	5/8	Chord	9/8	1	1	1/56	1/64	8/7	115									10				
9	9	933/28	933/28	0.0	9/14	9/14	Spanner	9/8	1	1	0												10			3	
9	9	933/28	933/28	0.07142857142857142	9/14	9/14	Chord	9/8	1	1	1/56	1/64	8/7	116									10			3	
9	9	935/28	935/28	0.07142857142857142	37/56	37/56	Chord	9/8	1	1	1/56	1/64	8/7	117									10			3	
9	9	937/28	937/28	0.07142857142857142	19/28	19/28	Chord	9/8	1	1	1/56	1/64	8/7	118									10			3	
9	9	939/28	939/28	0.07142857142857142	39/56	39/56	Chord	9/8	1	1	1/56	1/64	8/7	119									10			3	
