mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0							Lentofunebre𝅘𝅥=60-72	60.0			0.0			
1	1	1	1	0.0	1/4	1/4	Dynamic	4/4	2	1	0				pp										
1	1	1	1	0.25	1/4	1/4	Chord	4/4	2	1	1/16	1/16	1	0		articAccentBelow									
1	1	5/4	5/4	0.75	5/16	5/16	Chord	4/4	2	1	3/16	1/8	3/2	1											
1	1	2	2	0.25	1/2	1/2	Chord	4/4	2	1	1/16	1/16	1	2		articAccentBelow									
1	1	9/4	9/4	0.75	9/16	9/16	Chord	4/4	2	1	3/16	1/8	3/2	3											
1	1	3	3	0.25	3/4	3/4	Chord	4/4	2	1	1/16	1/16	1	4		articAccentBelow									
1	1	13/4	13/4	0.75	13/16	13/16	Chord	4/4	2	1	3/16	1/8	3/2	5											
2	2	5	5	0.0	1/4	1/4	StaffText	4/4	1	1	0						<i>molto espress.</i>								
2	2	5	5	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	6									0		
2	2	6	6	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	7									0		
2	2	7	7	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	8									0		
2	2	4	4	0.25	0	0	Chord	4/4	2	1	1/16	1/16	1	9		articAccentBelow									
2	2	17/4	17/4	0.75	1/16	1/16	Chord	4/4	2	1	3/16	1/8	3/2	10											
2	2	6	6	0.25	1/2	1/2	Chord	4/4	2	1	1/16	1/16	1	11		articAccentBelow									
2	2	25/4	25/4	0.75	9/16	9/16	Chord	4/4	2	1	3/16	1/8	3/2	12											
3	3	8	8	0.0	0	0	Spanner	4/4	1	1	0												0	0	
3	3	8	8	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	13									0	0	
3	3	10	10	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	14										0	
3	3	11	11	0.0	3/4	3/4	Spanner	4/4	1	1	0														
3	3	9	9	0.25	1/4	1/4	Chord	4/4	2	1	1/16	1/16	1	15		articAccentBelow									
3	3	37/4	37/4	0.75	5/16	5/16	Chord	4/4	2	1	3/16	1/8	3/2	16											
3	3	10	10	0.25	1/2	1/2	Chord	4/4	2	1	1/16	1/16	1	17		articAccentBelow									
3	3	41/4	41/4	0.75	9/16	9/16	Chord	4/4	2	1	3/16	1/8	3/2	18											
3	3	11	11	0.25	3/4	3/4	Chord	4/4	2	1	1/16	1/16	1	19		articAccentBelow									
3	3	45/4	45/4	0.75	13/16	13/16	Chord	4/4	2	1	3/16	1/8	3/2	20											
4	4	12	12	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	21									1		
4	4	14	14	0.0	1/2	1/2	Spanner	4/4	1	1	0												1		0
4	4	14	14	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	22									1		0
4	4	15	15	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	23									1		0
4	4	12	12	0.25	0	0	Chord	4/4	2	1	1/16	1/16	1	24		articAccentBelow									
4	4	49/4	49/4	0.75	1/16	1/16	Chord	4/4	2	1	3/16	1/8	3/2	25											
4	4	14	14	0.25	1/2	1/2	Chord	4/4	2	1	1/16	1/16	1	26		articAccentBelow									
4	4	57/4	57/4	0.75	9/16	9/16	Chord	4/4	2	1	3/16	1/8	3/2	27											
5	5	16	16	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	28									1		0
5	5	17	17	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	29									1		0
5	5	19	19	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	30									1		0
5	5	17	17	0.25	1/4	1/4	Chord	4/4	2	1	1/16	1/16	1	31		articAccentBelow									
5	5	69/4	69/4	0.75	5/16	5/16	Chord	4/4	2	1	3/16	1/8	3/2	32											
5	5	18	18	0.25	1/2	1/2	Chord	4/4	2	1	1/16	1/16	1	33		articAccentBelow									
5	5	73/4	73/4	0.75	9/16	9/16	Chord	4/4	2	1	3/16	1/8	3/2	34											
5	5	19	19	0.25	3/4	3/4	Chord	4/4	2	1	1/16	1/16	1	35		articAccentBelow									
5	5	77/4	77/4	0.75	13/16	13/16	Chord	4/4	2	1	3/16	1/8	3/2	36											
6	6	20	20	0.0	0	0	Spanner	4/4	1	1	0												1		
6	6	20	20	0.0	0	0	Spanner	4/4	1	1	0												1	1	
6	6	20	20	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	37									1	1	
6	6	22	22	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	38									1	1	
6	6	23	23	0.0	3/4	3/4	Spanner	4/4	1	1	0														
6	6	23	23	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	39											
6	6	21	21	0.25	1/4	1/4	Chord	4/4	2	1	1/16	1/16	1	40		articAccentBelow									
6	6	85/4	85/4	0.75	5/16	5/16	Chord	4/4	2	1	3/16	1/8	3/2	41											
6	6	22	22	0.25	1/2	1/2	Chord	4/4	2	1	1/16	1/16	1	42		articAccentBelow									
6	6	89/4	89/4	0.75	9/16	9/16	Chord	4/4	2	1	3/16	1/8	3/2	43											
6	6	23	23	0.25	3/4	3/4	Chord	4/4	2	1	1/16	1/16	1	44		articAccentBelow									
6	6	93/4	93/4	0.75	13/16	13/16	Chord	4/4	2	1	3/16	1/8	3/2	45											
7	7	25	25	0.0	1/4	1/4	Spanner	4/4	1	1	0														1
7	7	25	25	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	46									2		1
7	7	26	26	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	47									2		1
7	7	27	27	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	48									2		1
7	7	24	24	0.25	0	0	Chord	4/4	2	1	1/16	1/16	1	49		articAccentBelow									
7	7	97/4	97/4	0.75	1/16	1/16	Chord	4/4	2	1	3/16	1/8	3/2	50											
7	7	26	26	0.25	1/2	1/2	Chord	4/4	2	1	1/16	1/16	1	51		articAccentBelow									
7	7	105/4	105/4	0.75	9/16	9/16	Chord	4/4	2	1	3/16	1/8	3/2	52											
8	8	28	28	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	53									2		1
8	8	31	31	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	54											1
8	8	29	29	0.25	1/4	1/4	Chord	4/4	2	1	1/16	1/16	1	55		articAccentBelow									
8	8	117/4	117/4	0.75	5/16	5/16	Chord	4/4	2	1	3/16	1/8	3/2	56											
8	8	30	30	0.25	1/2	1/2	Chord	4/4	2	1	1/16	1/16	1	57		articAccentBelow									
8	8	121/4	121/4	0.75	9/16	9/16	Chord	4/4	2	1	3/16	1/8	3/2	58											
8	8	31	31	0.25	3/4	3/4	Chord	4/4	2	1	1/16	1/16	1	59		articAccentBelow									
8	8	125/4	125/4	0.75	13/16	13/16	Chord	4/4	2	1	3/16	1/8	3/2	60											
9	9	32	32	0.0	0	0	Spanner	4/4	1	1	0														
9	9	32	32	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	61									3		
9	9	65/2	65/2	1.0	1/8	1/8	Chord	4/4	1	1	1/4	1/4	1	62									3		
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	63											
9	9	34	34	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	64									4		
9	9	69/2	69/2	1.0	5/8	5/8	Chord	4/4	1	1	1/4	1/4	1	65									4		
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	66									4		
9	9	32	32	0.25	0	0	Chord	4/4	2	1	1/16	1/16	1	67		articAccentBelow									
9	9	129/4	129/4	0.75	1/16	1/16	Chord	4/4	2	1	3/16	1/8	3/2	68											
9	9	34	34	0.25	1/2	1/2	Chord	4/4	2	1	1/16	1/16	1	69		articAccentBelow									
9	9	137/4	137/4	0.75	9/16	9/16	Chord	4/4	2	1	3/16	1/8	3/2	70											
10	10	36	36	0.0	0	0	Spanner	4/4	1	1	0												4	2	
10	10	36	36	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	71									4	2	
10	10	38	38	0.0	1/2	1/2	Spanner	4/4	1	1	0														
10	10	38	38	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	72											
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	73									5		
10	10	40	40	0.0	1	1	StaffText	4/4	1	1	0						"<font size=""12""/><i>più </i>"						5		
10	10	40	40	0.0	1	1	Dynamic	4/4	1	1	0				p								5		
10	10	40	40	0.0	1	1	Spanner	4/4	1	1	0												5	3	
10	10	37	37	0.25	1/4	1/4	Chord	4/4	2	1	1/16	1/16	1	74											
10	10	149/4	149/4	0.75	5/16	5/16	Chord	4/4	2	1	3/16	1/8	3/2	75											
10	10	38	38	0.25	1/2	1/2	Chord	4/4	2	1	1/16	1/16	1	76											
10	10	153/4	153/4	0.75	9/16	9/16	Chord	4/4	2	1	3/16	1/8	3/2	77											
10	10	39	39	0.25	3/4	3/4	Chord	4/4	2	1	1/16	1/16	1	78											
