mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/2	2	1	F.I(b9){					F	I		I(b9)		I			b9			{	M	0	0	-1, 3, 0	-6	-1	-1	1	4	0.2	0.125	1.875	0.0625
1	1	1/2	1/2	2/2	2	1	viio7(#0)					F	I		viio7(#0)		vii	o	7	#0				o7	0	0	4, 1, -2, -5		4	4	1	9	0.1	0.375	1.125	0.25
1	1	7/8	7/8	2/2	2	1	viio7(9)					F	I		viio7(9)		vii	o	7	9				o7	0	0	4, 1, -2, -5	-1	4	4	0	4	0.0	0.0	0.5	0.0
2	2	0	0	2/2	2	1	I(b9)					F	I		I(b9)		I			b9				M	0	0	-1, 3, 0	-6	-1	-1	1	4	0.2	0.125	1.875	0.0625
2	2	1/2	1/2	2/2	2	1	viio7(#0)					F	I		viio7(#0)		vii	o	7	#0				o7	0	0	4, 1, -2, -5		4	4	1	9	0.1	0.375	1.125	0.25
2	2	7/8	7/8	2/2	2	1	viio7(9)					F	I		viio7(9)		vii	o	7	9				o7	0	0	4, 1, -2, -5	-1	4	4	0	4	0.0	0.0	0.5	0.0
3	3	0	0	2/2	2	1	I(b9)	-0.329029	3.23891	/		F	I		I(b9)		I			b9				M	0	0	-1, 3, 0	-6	-1	-1	0	4	0.0	0.0	0.875	0.0
3	3	1/8	1/8	2/2	2	1	viio7(#0)					F	I		viio7(#0)		vii	o	7	#0				o7	0	0	4, 1, -2, -5		4	4	1	3	0.25	0.25	0.375	0.4
3	3	3/8	3/8	2/2	2	1	viio7(9)	0	3.71935	/		F	I		viio7(9)		vii	o	7	9				o7	0	0	4, 1, -2, -5	-1	4	4	0	4	0.0	0.0	0.5	0.0
3	3	1/2	1/2	2/2	2	1	I(b9)					F	I		I(b9)		I			b9				M	0	0	-1, 3, 0	-6	-1	-1	0	4	0.0	0.0	0.875	0.0
3	3	5/8	5/8	2/2	2	1	#viio7(#0)/vi	-0.219353	3.17097	/		F	I		#viio7(#0)/vi		#vii	o	7	#0	vi			o7	0	0	7, 4, 1, -2		7	7	1	3	0.25	0.25	0.375	0.4
3	3	7/8	7/8	2/2	2	1	#viio7(9)/vi					F	I		#viio7(9)/vi		#vii	o	7	9	vi			o7	0	0	7, 4, 1, -2	2	7	7	0	4	0.0	0.0	0.5	0.0
4	4	0	0	2/2	2	1	I(b9)/vi					F	I		I(b9)/vi		I			b9	vi			M	0	0	2, 6, 3	-3	2	2	0	4	0.0	0.0	0.875	0.0
4	4	1/8	1/8	2/2	2	1	#viio7(^#7)/v					F	I		#viio7(^#7)/v		#vii	o	7	^#7	v			o7	0	0	5, 2, -1, 3		5	5	1	3	0.25	0.125	0.5	0.2
4	4	3/8	3/8	2/2	2	1	iv7(9)				IV7(9)	F	I		iv7(9)		iv		7	9				mm7	0	0	-2, -5, -1, -4	0	-2	-2	0	4	0.0	0.0	0.5	0.0
4	4	1/2	1/2	2/2	2	1	#vii%2/vi					F	I		#vii%2/vi		#vii	%	2		vi			%7	0	0	5, 7, 4, 1		7	5	0	4	0.0	0.0	0.875	0.0
4	4	5/8	5/8	2/2	2	1	#viio7(#0)/ii					F	I		#viio7(#0)/ii		#vii	o	7	#0	ii			o7	0	0	6, 3, 0, -3		6	6	1	3	0.25	0.25	0.375	0.4
4	4	7/8	7/8	2/2	2	1	#viio7(9)/ii					F	I		#viio7(9)/ii		#vii	o	7	9	ii			o7	0	0	6, 3, 0, -3	1	6	6	0	4	0.0	0.0	0.5	0.0
5	5	0	0	2/2	2	1	I(b9)/ii|IAC}					F	I		I(b9)/ii		I			b9	ii	IAC	}	M	0	0	1, 5, 2	-4	1	1	0	4	0.0	0.0	1.0	0.0
5	5	1/2	1/2	2/2	2	1	iiM7{					F	I		iiM7		ii	M	7				{	mM7	0	0	1, -2, 2, 6		1	1	0	4	0.0	0.0	1.0	0.0
5	5	3/4	3/4	2/2	2	1	ivM7					F	I		ivM7		iv	M	7					mM7	0	0	-2, -5, -1, 3		-2	-2	1	3	0.25	0.25	0.75	0.25
6	6	0	0	2/2	2	1	#vM7				V+(#1)	F	I		#vM7		#v	M	7					mM7	0	0	7, 4, 8, 12		7	7	1	3	0.25	0.25	0.75	0.25
6	6	1/4	1/4	2/2	2	1	IV+6					F	I		IV+6		IV	+	6					+	0	0	2, 6, -2		-2	2	1	4	0.2	0.125	0.875	0.125
6	6	1/2	1/2	2/2	2	1	I+(#11)					F	I		I+(#11)		I	+		#11				+	0	0	-1, 3, 7	5	-1	-1	0	4	0.0	0.0	0.875	0.0
6	6	5/8	5/8	2/2	2	1	iiiM7					F	I		iiiM7		iii	M	7					mM7	0	0	3, 0, 4, 8		3	3	2	3	0.4	0.375	0.75	0.3333333333333333
7	7	0	0	2/2	2	1	vM7					F	I		vM7		v	M	7					mM7	0	0	0, -3, 1, 5		0	0	0	4	0.0	0.0	0.875	0.0
7	7	1/8	1/8	2/2	2	1	II+2					F	I		II+2		II	+	2					+7	0	0	-1, 1, 5, 9		1	-1	2	3	0.4	0.375	0.75	0.3333333333333333
7	7	1/2	1/2	2/2	2	1	iiM7					F	I		iiM7		ii	M	7					mM7	0	0	1, -2, 2, 6		1	1	0	4	0.0	0.0	0.875	0.0
7	7	5/8	5/8	2/2	2	1	bVIM2					F	I		bVIM2		bVI	M	2					MM7	0	0	0, -5, -1, -4		-5	0	0	5	0.0	0.0	1.125	0.0
