mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	B.i{		B	I		i		i						{	m	0	0	5, 2, 6		5	5	0	2	0.0	0.0	0.875	0.0
1	1	7/16	7/16	3/4	2	1	ii7		B	I		ii7		ii		7					mm7	0	0	7, 4, 8, 5		7	7	2	6	0.25	0.16666666666666666	0.4583333333333333	0.26666666666666666
2	2	0	0	3/4	2	1	biv		B	I		biv		biv							m	0	0	-3, -6, -2		-3	-3	0	6	0.0	0.0	1.25	0.0
3	3	0	0	3/4	2	1	ii7		B	I		ii7		ii		7					mm7	0	0	7, 4, 8, 5		7	7	2	8	0.2	0.16666666666666666	1.3333333333333333	0.1111111111111111
4	4	0	0	3/4	2	1	biv(+4)		B	I		biv(+4)		biv			+4				m	0	0	-3, -6, -2	10	-3	-3	2	4	0.3333333333333333	0.125	1.125	0.1
5	5	0	0	3/4	2	1	V/V		B	I		V/V		V				V			M	0	0	7, 11, 8		7	7	0	4	0.0	0.0	0.25	0.0
5	5	1/4	1/4	3/4	2	1	V		B	I		V		V							M	0	0	6, 10, 7		6	6	0	4	0.0	0.0	0.25	0.0
5	5	1/2	1/2	3/4	2	1	i		B	I		i		i							m	0	0	5, 2, 6		5	5	0	4	0.0	0.0	0.25	0.0
6	6	0	0	3/4	2	1	V(9)	v(9)|HC	B	I		V(9)		V			9				M	0	0	6, 10, 7	8	6	6	2	6	0.25	0.0625	1.1875	0.05
7	7	0	0	3/4	2	1	v		B	I		v		v							m	0	0	6, 3, 7		6	6	4	6	0.4	0.1875	1.0625	0.15
