mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	d.i{	d	i		i	i						{	m	1	1	2, -1, 3		2.0	2.0	0	5	0.0	0.0	1.25	0.0
1	1	1/4	1/4	3/4	2	1	v	d	i		v	v							m	1	1	3, 0, 4		3.0	3.0	0	5	0.0	0.0	1.25	0.0
1	1	1/2	1/2	3/4	2	1	III	d	i		III	III							M	1	1	-1, 3, 0		-1.0	-1.0	0	5	0.0	0.0	0.625	0.0
1	1	5/8	5/8	3/4	2	1	iv	d	i		iv	iv							m	1	1	1, -2, 2		1.0	1.0	0	5	0.0	0.0	0.625	0.0
2	2	0	0	3/4	2	1	v	d	i		v	v							m	1	1	3, 0, 4		3.0	3.0	0	5	0.0	0.0	0.625	0.0
2	2	1/8	1/8	3/4	2	1	VII	d	i		VII	VII							M	1	1	0, 4, 1		0.0	0.0	0	5	0.0	0.0	0.625	0.0
2	2	1/4	1/4	3/4	2	1	i|PAC	d	i		i	i					PAC		m	1	1	2, -1, 3		2.0	2.0	0	9	0.0	0.0	2.25	0.0
3	3	0	0	3/4	2	1	i7{	d	i		i7	i		7				{	mm7	1	1	2, -1, 3, 0		2.0	2.0	0	8	0.0	0.0	2.0	0.0
3	3	1/4	1/4	3/4	2	1	v7	d	i		v7	v		7					mm7	1	1	3, 0, 4, 1		3.0	3.0	0	8	0.0	0.0	2.0	0.0
3	3	1/2	1/2	3/4	2	1	IIIM7(9)	d	i		IIIM7(9)	III	M	7	9				MM7	1	1	-1, 3, 0, 4	1	-1.0	-1.0	0	8	0.0	0.0	1.0	0.0
3	3	5/8	5/8	3/4	2	1	iv7	d	i		iv7	iv		7					mm7	1	1	1, -2, 2, -1		1.0	1.0	0	8	0.0	0.0	1.0	0.0
4	4	0	0	3/4	2	1	v7	d	i		v7	v		7					mm7	1	1	3, 0, 4, 1		3.0	3.0	0	8	0.0	0.0	1.0	0.0
4	4	1/8	1/8	3/4	2	1	VII7(9)	d	i		VII7(9)	VII		7	9				Mm7	1	1	0, 4, 1, -2	2	0.0	0.0	0	7	0.0	0.0	0.875	0.0
4	4	1/4	1/4	3/4	2	1	i7|PAC	d	i		i7	i		7			PAC		mm7	1	1	2, -1, 3, 0		2.0	2.0	0	13	0.0	0.0	3.25	0.0
5	5	0	0	3/4	2	1	iv43{	d	i		iv43	iv		43				{	mm7	1	1	2, -1, 1, -2		1.0	2.0	0	4	0.0	0.0	1.0	0.0
5	5	1/4	1/4	3/4	2	1	v6	d	i		v6	v		6					m	1	1	0, 4, 3		3.0	0.0	0	4	0.0	0.0	1.0	0.0
5	5	1/2	1/2	3/4	2	1	IV7	d	i		IV7	IV		7					Mm7	1	1	1, 5, 2, -1		1.0	1.0	0	5	0.0	0.0	1.0	0.0
6	6	0	0	3/4	2	1	ii%65	d	i		ii%65	ii	%	65					%7	1	1	1, -2, 2, 4		4.0	1.0	1	4	0.2	0.125	0.875	0.125
6	6	1/4	1/4	3/4	2	1	VIM65|DC	d	i		VIM65	VI	M	65			DC		MM7	1	1	2, -1, 3, -2		-2.0	2.0	0	8	0.0	0.0	2.0	0.0
7	7	0	0	3/4	2	2	iv65	d	i		iv65	iv		65					mm7	1	1	-2, 2, -1, 1		1.0	-2.0	0	4	0.0	0.0	1.0	0.0
7	7	1/4	1/4	3/4	2	2	v	d	i		v	v							m	1	1	3, 0, 4		3.0	3.0	0	4	0.0	0.0	1.0	0.0
7	7	1/2	1/2	3/4	2	2	IIIM7	d	i		IIIM7	III	M	7					MM7	1	1	-1, 3, 0, 4		-1.0	-1.0	0	6	0.0	0.0	0.75	0.0
7	7	5/8	5/8	3/4	2	2	i7	d	i		i7	i		7					mm7	1	1	2, -1, 3, 0		2.0	2.0	0	8	0.0	0.0	1.0	0.0
8	8	0	0	3/4	2	1	IV7	d	i		IV7	IV		7					Mm7	1	1	1, 5, 2, -1		1.0	1.0	5	9	0.35714285714285715	0.875	2.0	0.30434782608695654
8	8	3/8	3/8	3/4	2	2	i7(#3)	d	i		i7(#3)	i		7	#3				mm7	1	1	2, 6, 3, 0		2.0	2.0	0	1	0.0	0.0	0.125	0.0
8	8	1/2	1/2	3/4	2	1	i7|PC}	d	i		i7	i		7			PC	}	mm7	1	1	2, -1, 3, 0		2.0	2.0						
8	8	1/4	1/4	3/4	2	2	i7(#4)	d	i		i7(#4)	i		7	#4				mm7	1	1	2, -1, 8, 0		2.0	2.0	4	9	0.3076923076923077	0.875	2.125	0.2916666666666667
9	9	0	0	3/4	2	1	iv43{	d	i		iv43	iv		43				{	mm7	1	1	2, -1, 1, -2		1.0	2.0	0	4	0.0	0.0	1.0	0.0
9	9	1/4	1/4	3/4	2	1	v6	d	i		v6	v		6					m	1	1	0, 4, 3		3.0	0.0	0	4	0.0	0.0	1.0	0.0
9	9	1/2	1/2	3/4	2	1	IV7	d	i		IV7	IV		7					Mm7	1	1	1, 5, 2, -1		1.0	1.0	0	5	0.0	0.0	1.0	0.0
10	10	0	0	3/4	2	1	ii%65	d	i		ii%65	ii	%	65					%7	1	1	1, -2, 2, 4		4.0	1.0	1	4	0.2	0.125	0.875	0.125
10	10	1/4	1/4	3/4	2	1	VIM65|DC	d	i		VIM65	VI	M	65			DC		MM7	1	1	2, -1, 3, -2		-2.0	2.0	0	8	0.0	0.0	2.0	0.0
11	11	0	0	3/4	2	1	iv65	d	i		iv65	iv		65					mm7	1	1	-2, 2, -1, 1		1.0	-2.0	0	4	0.0	0.0	1.0	0.0
11	11	1/4	1/4	3/4	2	1	v	d	i		v	v							m	1	1	3, 0, 4		3.0	3.0	0	4	0.0	0.0	1.0	0.0
11	11	1/2	1/2	3/4	2	1	IIIM7	d	i		IIIM7	III	M	7					MM7	1	1	-1, 3, 0, 4		-1.0	-1.0	0	6	0.0	0.0	0.75	0.0
