mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/8	2	1	D.I{					D	I		I		I						{	M	0	0	2, 6, 3		2	2	0	5	0.0	0.0	0.625	0.0
2	2	0	0	3/8	2	1	bVI+(#13)					D	I		bVI+(#13)		bVI	+		#13				+	0	0	-2, 2, 6	8	-2	-2	0	5	0.0	0.0	0.625	0.0
3	3	0	0	3/8	2	1	I					D	I		I		I							M	0	0	2, 6, 3		2	2	0	5	0.0	0.0	0.625	0.0
4	4	0	0	3/8	2	1	bVI+(#13)					D	I		bVI+(#13)		bVI	+		#13				+	0	0	-2, 2, 6	8	-2	-2	0	5	0.0	0.0	0.625	0.0
5	5	0	0	3/8	2	1	I					D	I		I		I							M	0	0	2, 6, 3		2	2	0	5	0.0	0.0	0.625	0.0
6	6	0	0	3/8	2	1	bVI+(#13)					D	I		bVI+(#13)		bVI	+		#13				+	0	0	-2, 2, 6	8	-2	-2	0	5	0.0	0.0	0.625	0.0
7	7	0	0	3/8	2	1	I					D	I		I		I							M	0	0	2, 6, 3		2	2	0	5	0.0	0.0	0.625	0.0
8	8	0	0	3/8	2	1	bVI+(#13)					D	I		bVI+(#13)		bVI	+		#13				+	0	0	-2, 2, 6	8	-2	-2	0	5	0.0	0.0	0.625	0.0
9	9	0	0	3/8	2	1	IM7					D	I		IM7		I	M	7					MM7	0	0	2, 6, 3, 7		2	2	0	9	0.0	0.0	1.0	0.0
10	10	0	0	3/8	2	1	bVI+(#1311)					D	I		bVI+(#1311)		bVI	+		#1311				+	0	0	-2, 2, 6	8, 4	-2	-2	1	5	0.16666666666666666	0.375	0.625	0.375
