mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	2	1	c#.i(b5){	c#	i		i(b5)	i			b5			{	m	1	1	7, 4, 1		7	7	4	4	0.5	0.625	1.625	0.2777777777777778
3	3	0	0	4/4	2	1	V6(^4)	c#	i		V6(^4)	V		6	^4				M	1	1	12, 7, 8		8	12	3	2	0.6	0.75	0.5	0.6
4	4	0	0	4/4	2	1	i(b5)	c#	i		i(b5)	i			b5				m	1	1	7, 4, 1		7	7	3	2	0.6	0.375	1.125	0.25
5	5	0	0	4/4	2	1	V65	c#	i		V65	V		65					Mm7	1	1	12, 9, 6, 8		8	12	3	3	0.5	0.625	0.625	0.5
6	6	0	0	4/4	2	1	biv(+b4)	c#	i		biv(+b4)	biv			+b4				m	1	1	-1, -4, 0	-2	-1	-1	2	3	0.4	0.625	0.375	0.625
6	6	1/2	1/2	4/4	2	1	biv(+#5#4)	c#	i		biv(+#5#4)	biv			+#5#4				m	1	1	-1, -4, 12	7	-1	-1	2	2	0.5	0.25	0.5	0.3333333333333333
7	7	0	0	4/4	2	1	iv(4)	c#	i		iv(4)	iv			4				m	1	1	6, 5, 7		6	6	2	4	0.3333333333333333	0.25	0.75	0.25
8	8	0	0	4/4	2	1	III.IVM7	c#	III		IVM7	IV	M	7					MM7	1	0	3, 7, 4, 8		3	3	1	2	0.3333333333333333	0.125	0.375	0.25
8	8	1/2	1/2	4/4	2	1	I|PC}	c#	III		I	I					PC	}	M	1	0	4, 8, 5		4	4	0	3	0.0	0.0	0.5	0.0
9	9	0	0	4/4	2	2	io65{	c#	III		io65	i	o	65				{	o7	1	0	1, -2, -5, 4		4	1	4	6	0.4	0.5	1.75	0.2222222222222222
10	10	0	0	4/4	2	1	bVI(#5)	c#	III		bVI(#5)	bVI			#5				M	1	0	0, 4, 8		0	0	0	3	0.0	0.0	0.75	0.0
10	10	1/2	1/2	4/4	2	1	V(9)	c#	III		V(9)	V			9				M	1	0	5, 9, 6	7	5	5	0	3	0.0	0.0	0.5	0.0
11	11	0	0	4/4	2	1	io65	c#	III		io65	i	o	65					o7	1	0	1, -2, -5, 4		4	1	5	7	0.4166666666666667	0.5625	1.6875	0.25
12	12	0	0	4/4	2	1	iv6	c#	III		iv6	iv		6					m	1	0	0, 4, 3		3	0	0	4	0.0	0.0	1.0	0.0
12	12	1/2	1/2	4/4	2	1	V(9)	c#	III		V(9)	V			9				M	1	0	5, 9, 6	7	5	5	0	6	0.0	0.0	1.0	0.0
13	13	0	0	4/4	2	1	I(9)	c#	III		I(9)	I			9				M	1	0	4, 8, 5	6	4	4	0	6	0.0	0.0	1.0	0.0
13	13	1/2	1/2	4/4	2	1	vi(9)	c#	III		vi(9)	vi			9				m	1	0	7, 4, 8	9	7	7	0	6	0.0	0.0	1.0	0.0
14	14	0	0	4/4	2	1	IV(9)	c#	III		IV(9)	IV			9				M	1	0	3, 7, 4	5	3	3	0	6	0.0	0.0	1.0	0.0
14	14	1/2	1/2	4/4	2	1	vi(4)	c#	III		vi(4)	vi			4				m	1	0	7, 6, 8		7	7	0	6	0.0	0.0	1.0	0.0
15	15	0	0	4/4	2	2	i.v	c#	i		v	v							m	1	1	8, 5, 9		8	8	2	2	0.5	0.25	1.75	0.125
15	15	1/4	1/4	4/4	2	2	bI.i6	c#	bI		i6	i		6					m	1	0	-3, 1, 0		0	-3	1	1	0.5	0.125	0.125	0.5
15	15	1/2	1/2	4/4	2	2	I	c#	bI		I	I							M	1	0	0, 4, 1		0	0	1	1	0.5	0.125	0.125	0.5
15	15	3/4	3/4	4/4	2	2	bVIM7	c#	bI		bVIM7	bVI	M	7					MM7	1	0	-4, 0, -3, 1		-4	-4	3	2	0.6	1.0	0.25	0.8
16	16	1/2	1/2	4/4	2	1	i(b13)	c#	bI		i(b13)	i			b13				m	1	0	0, -3, 1	-4	0	0						
16	16	0	0	4/4	2	2	i(4)/#i	c#	bI		i(4)/#i	i			4	#i			m	1	0	7, 6, 8		7	7	4	3	0.5714285714285714	0.5	1.0	0.3333333333333333
17	17	0	0	4/4	2	2	vi6(+b9b8)	c#	bI		vi6(+b9b8)	vi		6	+b9b8				m	1	0	0, 4, 3	-2	3	0	3	4	0.42857142857142855	0.4375	0.8125	0.35
17	17	1/2	1/2	4/4	2	2	V(6)	c#	bI		V(6)	V			6				M	1	0	1, 5, 4		1	1	3	3	0.5	0.375	0.5	0.42857142857142855
18	18	0	0	4/4	2	2	I(b10)|IAC}	c#	bI		I(b10)	I			b10		IAC	}	M	1	0	0, 4, 1	-3	0	0	2	5	0.2857142857142857	0.25	2.0	0.1111111111111111
