mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
3	3	0	0	3/4	2	1	e.V64(+6){	e	i		V64(+6)	V		64	+6			{	M	1	1	6, 5, 9	1	5	6	9	7	0.5625	0.45	1.05	0.3
4	4	0	0	3/4	2	1	i	e	i		i	i							m	1	1	4, 1, 5		4	4	3	3	0.5	0.15	0.35	0.3
4	4	1/4	1/4	3/4	2	1	V6(6)	e	i		V6(6)	V		6	6				M	1	1	9, 1, 5		5	9	3	3	0.5	0.15	0.35	0.3
4	4	1/2	1/2	3/4	2	1	V(6)	e	i		V(6)	V			6				M	1	1	5, 9, 1		5	5	3	3	0.5	0.15	0.35	0.3
5	5	0	0	3/4	2	1	VIM7|DC	e	i		VIM7	VI	M	7			DC		MM7	1	1	0, 4, 1, 5		0	0	18	14	0.5625	0.9	2.1	0.3
7	7	0	0	3/4	2	1	V64(+6)	e	i		V64(+6)	V		64	+6				M	1	1	6, 5, 9	1	5	6	9	7	0.5625	0.45	1.05	0.3
8	8	0	0	3/4	2	1	i	e	i		i	i							m	1	1	4, 1, 5		4	4	3	3	0.5	0.15	0.35	0.3
8	8	1/4	1/4	3/4	2	1	V6(6)	e	i		V6(6)	V		6	6				M	1	1	9, 1, 5		5	9	4	5	0.4444444444444444	0.2	0.575	0.2580645161290323
8	8	5/8	5/8	3/4	2	1	V7(^b7)	e	i		V7(^b7)	V		7	^b7				Mm7	1	1	5, 9, 6, -4		5	5	1	2	0.3333333333333333	0.05	0.175	0.22222222222222227
9	9	0	0	3/4	2	1	VIM7|DC	e	i		VIM7	VI	M	7			DC		MM7	1	1	0, 4, 1, 5		0	0	18	14	0.5625	0.9	2.1	0.3
11	11	0	0	3/4	2	1	V64(+6)	e	i		V64(+6)	V		64	+6				M	1	1	6, 5, 9	1	5	6	9	7	0.5625	0.45	1.05	0.3
12	12	0	0	3/4	2	1	i	e	i		i	i							m	1	1	4, 1, 5		4	4	3	3	0.5	0.15	0.35	0.3
12	12	1/4	1/4	3/4	2	1	VIM43	e	i		VIM43	VI	M	43					MM7	1	1	1, 5, 0, 4		0	1	4	5	0.4444444444444444	0.2	0.575	0.2580645161290323
12	12	5/8	5/8	3/4	2	1	iio7/V	e	i		iio7/V	ii	o	7		V			o7	1	1	7, 4, 1, -2		7	7	2	1	0.6666666666666666	0.1	0.125	0.4444444444444445
13	13	0	0	3/4	2	1	V6(6)	e	i		V6(6)	V		6	6				M	1	1	9, 1, 5		5	9	9	7	0.5625	0.45	1.05	0.3
14	14	0	0	3/4	2	1	i|IAC}	e	i		i	i					IAC	}	m	1	1	4, 1, 5		4	4	9	7	0.5625	0.45	0.8	0.36
15	15	0	0	3/4	2	1	V2/VI{	e	i		V2/VI	V		2		VI		{	Mm7	1	1	-1, 1, 5, 2		1	-1	12	10	0.5454545454545454	0.6	1.4	0.3
16	16	1/4	1/4	3/4	2	1	i	e	i		i	i							m	1	1	4, 1, 5		4	4	3	3	0.5	0.15	0.35	0.3
16	16	1/2	1/2	3/4	2	1	iio/bII	e	i		iio/bII	ii	o			bII			o	1	1	1, -2, -5		1	1	3	3	0.5	0.15	0.35	0.3
17	17	0	0	3/4	2	1	bIII+/VI	e	i		bIII+/VI	bIII	+			VI			+	1	1	-3, 1, 5		-3	-3	9	7	0.5625	0.45	1.05	0.3
18	18	0	0	3/4	2	1	VII(64)	e	i		VII(64)	VII			64				M	1	1	2, 1, 5		2	2	6	5	0.5454545454545454	0.3	0.7	0.3
18	18	1/2	1/2	3/4	2	1	i|IAC}	e	i		i	i					IAC	}	m	1	1	4, 1, 5		4	4	3	3	0.5	0.15	0.225	0.39999999999999997
19	19	0	0	3/4	2	1	V64(+6){	e	i		V64(+6)	V		64	+6			{	M	1	1	6, 5, 9	1	5	6	9	7	0.5625	0.45	1.05	0.3
20	20	0	0	3/4	2	1	i	e	i		i	i							m	1	1	4, 1, 5		4	4	3	3	0.5	0.15	0.35	0.3
20	20	1/4	1/4	3/4	2	1	V6(6)	e	i		V6(6)	V		6	6				M	1	1	9, 1, 5		5	9	4	5	0.4444444444444444	0.2	0.575	0.2580645161290323
20	20	5/8	5/8	3/4	2	1	V7(^b7)	e	i		V7(^b7)	V		7	^b7				Mm7	1	1	5, 9, 6, -4		5	5	1	2	0.3333333333333333	0.05	0.175	0.22222222222222227
21	21	0	0	3/4	2	1	V64(+6)	e	i		V64(+6)	V		64	+6				M	1	1	6, 5, 9	1	5	6	9	7	0.5625	0.45	1.05	0.3
22	22	0	0	3/4	2	1	i	e	i		i	i							m	1	1	4, 1, 5		4	4	3	3	0.5	0.15	0.35	0.3
22	22	1/4	1/4	3/4	2	1	V6(6)	e	i		V6(6)	V		6	6				M	1	1	9, 1, 5		5	9	3	3	0.5	0.15	0.35	0.3
22	22	1/2	1/2	3/4	2	1	iv7(9)	e	i		iv7(9)	iv		7	9				mm7	1	1	3, 0, 4, 1	5	3	3	1	3	0.25	0.05	0.225	0.18181818181818182
22	22	5/8	5/8	3/4	2	1	V7(^b7)	e	i		V7(^b7)	V		7	^b7				Mm7	1	1	5, 9, 6, -4		5	5	1	2	0.3333333333333333	0.05	0.175	0.22222222222222227
23	23	0	0	3/4	2	1	VIM7|DC}	e	i		VIM7	VI	M	7			DC	}	MM7	1	1	0, 4, 1, 5		0	0	12	11	0.5217391304347826	0.7833333333333333	2.216666666666667	0.2611111111111111
