mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/4	2	1	b.i7(11){	b	i		i7(11)		i		7	11			{	mm7	1	1	5, 2, 6, 3	4	5	5	2	5	0.2857142857142857	0.25	0.625	0.2857142857142857
1	1	1/4	1/4	2/4	2	1	iii7(13)	b	i		iii7(13)		iii		7	13				mm7	1	1	2, -1, 3, 0	5	2	2	2	5	0.2857142857142857	0.25	0.625	0.2857142857142857
2	2	0	0	2/4	2	1	bvii2	b	i		bvii2		bvii		2					mm7	1	1	-6, -4, -7, -3		-4	-6	0	4	0.0	0.0	2.0	0.0
3	3	0	0	2/4	2	1	i7(11)	b	i		i7(11)		i		7	11				mm7	1	1	5, 2, 6, 3	4	5	5	2	5	0.2857142857142857	0.25	0.625	0.2857142857142857
3	3	1/4	1/4	2/4	2	1	iii7(13)	b	i		iii7(13)		iii		7	13				mm7	1	1	2, -1, 3, 0	5	2	2	2	5	0.2857142857142857	0.25	0.625	0.2857142857142857
4	4	0	0	2/4	2	1	bvii2	b	i		bvii2		bvii		2					mm7	1	1	-6, -4, -7, -3		-4	-6	0	4	0.0	0.0	2.0	0.0
5	5	0	0	2/4	2	1	i7(11)	b	i		i7(11)		i		7	11				mm7	1	1	5, 2, 6, 3	4	5	5	0	6	0.0	0.0	0.75	0.0
5	5	1/4	1/4	2/4	2	1	v7(134)	b	i		v7(134)		v		7	134				mm7	1	1	6, 5, 7, 4	2	6	6	2	5	0.2857142857142857	0.25	0.625	0.2857142857142857
6	6	0	0	2/4	2	1	III(139)	b	i		III(139)		III			139				M	1	1	2, 6, 3	5, 4	2	2	0	7	0.0	0.0	0.875	0.0
6	6	1/4	1/4	2/4	2	1	i(4)	b	i		i(4)		i			4				m	1	1	5, 4, 6		5	5	4	3	0.5714285714285714	0.5	0.375	0.5714285714285714
7	7	0	0	2/4	2	1	VI(9)	b	i		VI(9)		VI			9				M	1	1	1, 5, 2	3	1	1	2	5	0.2857142857142857	0.25	0.625	0.2857142857142857
7	7	1/4	1/4	2/4	2	1	v65(11)	b	i		v65(11)		v		65	11				mm7	1	1	3, 7, 4, 6	5	6	3	2	5	0.2857142857142857	0.25	0.625	0.2857142857142857
8	8	0	0	2/4	2	1	VI65(+4)	b	i		VI65(+4)		VI		65	+4				Mm7	1	1	5, 2, -1, 1	7	1	5	2	5	0.2857142857142857	0.25	0.625	0.2857142857142857
8	8	1/4	1/4	2/4	2	1	III(139)	b	i		III(139)		III			139				M	1	1	2, 6, 3	5, 4	2	2	1	6	0.14285714285714285	0.125	0.75	0.14285714285714285
9	9	0	0	2/4	2	1	biv7(^b4)	b	i		biv7(^b4)		biv		7	^b4				mm7	1	1	-3, -6, -4, -5		-3	-3	0	4	0.0	0.0	2.0	0.0
10	10	0	0	2/4	2	1	VI65(+4)	b	i		VI65(+4)		VI		65	+4				Mm7	1	1	5, 2, -1, 1	7	1	5	2	5	0.2857142857142857	0.25	0.625	0.2857142857142857
10	10	1/4	1/4	2/4	2	1	III(139)	b	i		III(139)		III			139				M	1	1	2, 6, 3	5, 4	2	2	1	6	0.14285714285714285	0.125	0.75	0.14285714285714285
11	11	0	0	2/4	2	1	biv7(^b4)	b	i		biv7(^b4)		biv		7	^b4				mm7	1	1	-3, -6, -4, -5		-3	-3	0	4	0.0	0.0	2.0	0.0
12	12	0	0	2/4	2	1	VI65(+4)	b	i		VI65(+4)		VI		65	+4				Mm7	1	1	5, 2, -1, 1	7	1	5	2	5	0.2857142857142857	0.25	0.625	0.2857142857142857
12	12	1/4	1/4	2/4	2	1	III(139)	b	i		III(139)		III			139				M	1	1	2, 6, 3	5, 4	2	2	1	6	0.14285714285714285	0.125	0.75	0.14285714285714285
