mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/2	2	1	b.Fr43/iv{					b	i		Fr43/iv	Fr	V		43	b5	V/iv		{	Fr	1	1	0, 4, 6, 10		6	0	1	3	0.25	0.25	0.75	0.25
2	2	0	0	2/2	2	1	I					b	i		I		I							M	1	1	5, 9, 6		5	5	0	3	0.0	0.0	2.25	0.0
2	2	1/4	1/4	2/2	2	1	I(#4)					b	i		I(#4)		I			#4				M	1	1	5, 9, 11		5	5	0	1	0.0	0.0	0.25	0.0
2	2	1/2	1/2	2/2	2	1	i					b	i		i		i							m	1	1	5, 2, 6		5	5	0	1	0.0	0.0	0.5	0.0
3	3	0	0	2/2	2	1	Fr43/iv					b	i		Fr43/iv	Fr	V		43	b5	V/iv			Fr	1	1	0, 4, 6, 10		6	0	1	3	0.25	0.25	0.75	0.25
4	4	0	0	2/2	2	1	I					b	i		I		I							M	1	1	5, 9, 6		5	5	0	3	0.0	0.0	1.25	0.0
4	4	1/4	1/4	2/2	2	1	I(#4)					b	i		I(#4)		I			#4				M	1	1	5, 9, 11		5	5	0	1	0.0	0.0	0.25	0.0
4	4	1/2	1/2	2/2	2	1	III					b	i		III		III							M	1	1	2, 6, 3		2	2	0	3	0.0	0.0	1.5	0.0
5	5	0	0	2/2	2	1	VI64					b	i		VI64		VI		64					M	1	1	2, 1, 5		1	2	1	3	0.25	0.25	1.25	0.16666666666666666
5	5	1/2	1/2	2/2	2	1	v64					b	i		v64		v		64					m	1	1	7, 6, 3		6	7	0	3	0.0	0.0	1.5	0.0
6	6	0	0	2/2	2	1	I64/bV					b	i		I64/bV		I		64		bV			M	1	1	0, -1, 3		-1	0	1	3	0.25	0.25	1.25	0.16666666666666666
