mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/4	2	1	g.i65	g	i		i65	i		65					mm7	1	1	-2, 2, -1, 1		1.0	-2.0	0	64	0.0	0.0	8.0	0.0
5	5	0	0	2/4	2	1	i7{	g	i		i7	i		7				{	mm7	1	1	1, -2, 2, -1		1.0	1.0	9	218	0.039647577092511016	1.25	28.75	0.041666666666666664
17	17	0	0	2/4	2	1	ii%65(10)	g	i		ii%65(10)	ii	%	65	10				%7	1	1	0, -3, 1, 3	0	3.0	0.0	1	8	0.1111111111111111	0.25	1.0	0.2
17	17	1/4	1/4	2/4	2	1	ii%65	g	i		ii%65	ii	%	65					%7	1	1	0, -3, 1, 3		3.0	0.0	0	9	0.0	0.0	1.25	0.0
18	18	0	0	2/4	2	1	i7|PC}	g	i		i7	i		7			PC	}	mm7	1	1	1, -2, 2, -1		1.0	1.0	2	160	0.012345679012345678	0.25	20.75	0.011904761904761904
28	28	0	0	2/4	2	1	VII.V65{	g	VII		V65	V		65				{	Mm7	1	0	4, 1, -2, 0		0.0	4.0	0	41	0.0	0.0	6.0	0.0
31	31	0	0	2/4	2	1	I(4)	g	VII		I(4)	I			4				M	1	0	-1, -2, 0		-1.0	-1.0	4	27	0.12903225806451613	0.5	3.5	0.125
33	33	0	0	2/4	2	1	IVM2(9)	g	VII		IVM2(9)	IV	M	2	9				MM7	1	0	3, -2, 2, -1	0	-2.0	3.0	2	49	0.0392156862745098	0.375	6.875	0.05172413793103448
36	36	1/4	1/4	2/4	2	1	V43(9)	g	VII		V43(9)	V		43	9				Mm7	1	0	1, -2, 0, 4	2	0.0	1.0	0	13	0.0	0.0	2.0	0.0
37	37	1/4	1/4	2/4	2	1	I(4)	g	VII		I(4)	I			4				M	1	0	-1, -2, 0		-1.0	-1.0	5	47	0.09615384615384616	0.625	6.125	0.09259259259259259
41	41	0	0	2/4	2	1	ii64(11)	g	VII		ii64(11)	ii		64	11				m	1	0	2, 1, -2	0	1.0	2.0	2	46	0.041666666666666664	0.25	6.625	0.03636363636363636
44	44	1/8	1/8	2/4	2	1	ii64(9)	g	VII		ii64(9)	ii		64	9				m	1	0	2, 1, -2	3	1.0	2.0	0	6	0.0	0.0	0.75	0.0
44	44	3/8	3/8	2/4	2	1	V65	g	VII		V65	V		65					Mm7	1	0	4, 1, -2, 0		0.0	4.0	0	7	0.0	0.0	1.25	0.0
45	45	1/8	1/8	2/4	2	1	I(132)	g	VII		I(132)	I			132				M	1	0	1, 3, 0	2	-1.0	1.0	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
45	45	3/8	3/8	2/4	2	1	vii%65	g	VII		vii%65	vii	%	65					%7	1	0	1, -2, 2, 4		4.0	1.0	0	6	0.0	0.0	0.75	0.0
46	46	1/8	1/8	2/4	2	1	IM65	g	VII		IM65	I	M	65					MM7	1	0	3, 0, 4, -1		-1.0	3.0	9	12	0.42857142857142855	1.125	1.5	0.42857142857142855
48	48	0	0	2/4	2	1	IM65(1311)	g	VII		IM65(1311)	I	M	65	1311				MM7	1	0	3, 0, 4, -1	2, -2	-1.0	3.0	9	39	0.1875	1.125	4.875	0.1875
51	51	0	0	2/4	2	1	IV.V7|HC}{	g	IV		V7	V		7			HC	}{	Mm7	1	0	1, 5, 2, -1		1.0	1.0	5	104	0.045871559633027525	0.6666666666666666	14.333333333333334	0.04444444444444444
57	57	0	0	2/4	2	1	V43	g	IV		V43	V		43					Mm7	1	0	2, -1, 1, 5		1.0	2.0	12	27	0.3076923076923077	1.5	4.25	0.2608695652173913
59	59	1/8	1/8	2/4	2	2	vi7(13)	g	IV		vi7(13)	vi		7	13				mm7	1	0	3, 0, 4, 1	-1	3.0	3.0	1	13	0.07142857142857142	0.125	1.625	0.07142857142857142
60	60	0	0	2/4	2	1	V43	g	IV		V43	V		43					Mm7	1	0	2, -1, 1, 5		1.0	2.0	6	53	0.1016949152542373	0.9166666666666666	7.583333333333333	0.10784313725490195
63	63	1/8	1/8	2/4	2	2	viio43(b8)/vi	g	IV		viio43(b8)/vi	vii	o	43	b8	vi			o7	1	0	-5, -8, 1, -2		1.0	-5.0	6	2	0.75	0.75	0.25	0.75
63	63	3/8	3/8	2/4	2	2	ii(11)	g	IV		ii(11)	ii			11				m	1	0	2, -1, 3	1	2.0	2.0	0	9	0.0	0.0	1.5	0.0
64	64	1/8	1/8	2/4	2	2	iiM7(11)	g	IV		iiM7(11)	ii	M	7	11				mM7	1	0	2, -1, 3, 7	1	2.0	2.0	0	8	0.0	0.0	1.0	0.0
64	64	3/8	3/8	2/4	2	2	V43	g	IV		V43	V		43					Mm7	1	0	2, -1, 1, 5		1.0	2.0	0	4	0.0	0.0	0.5	0.0
65	65	0	0	2/4	2	1	i.i2|EC	g	i		i2	i		2			EC		mm7	1	1	-1, 1, -2, 2		1.0	-1.0	3	106	0.027522935779816515	0.4166666666666667	14.583333333333334	0.02777777777777778
71	71	0	0	2/4	2	1	i7	g	i		i7	i		7					mm7	1	1	1, -2, 2, -1		1.0	1.0	87	226	0.2779552715654952	11.041666666666666	34.958333333333336	0.24003623188405795
