rel_paths	fnames	last_mc	last_mn	KeySig	TimeSig	label_count	harmony_version	annotated_key	annotators	reviewers	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	platform	source	translator	musescore	ambitus	composed_end	composed_start	imslp	musicbrainz	score_integrity	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument	typesetter	viaf	wikidata
MS3	op06n06	25	25	1: 0	1: 2/2	53	2.3.0	b	Amelia Brey	DK	Bela Bartok	Bagatelles	6	Lento	op. 6				©	2022-08-05	Microsoft Windows			3.6.2	39-79 (D#2-G5)	1908	1908	https://imslp.org/wiki/14_Bagatelles%2C_Op.6_(Bart%C3%B3k%2C_B%C3%A9la)	https://musicbrainz.org/work/38dfe04b-4f04-4c38-898f-3d461bb30ee3	Amelia Brey	59-79 (B3-G5)	ARIA Player	39-62 (D#2-D4)	ARIA Player	Tatyana Tuchynska	https://viaf.org/viaf/183691259/#Barto%CC%81k,_Be%CC%81la,_1881-1945._|_Bagatelles,_piano,_op._6	https://www.wikidata.org/wiki/Q790972
MS3	op06n09	70	70	1: 0	1: 3/4	88	2.3.0	B	Amelia Brey	DK	Bela Bartok	Bagatelles	9	Allegretto grazioso	op. 6				©	2022-08-05	Microsoft Windows			3.6.2	27-95 (Eb1-B6)	1908	1908	https://imslp.org/wiki/14_Bagatelles%2C_Op.6_(Bart%C3%B3k%2C_B%C3%A9la)	https://musicbrainz.org/work/38dfe04b-4f04-4c38-898f-3d461bb30ee3	Amelia Brey	50-95 (D3-B6)	ARIA Player	27-80 (Eb1-G#5)	ARIA Player	Tatyana Tuchynska	https://viaf.org/viaf/183691259/#Barto%CC%81k,_Be%CC%81la,_1881-1945._|_Bagatelles,_piano,_op._6	https://www.wikidata.org/wiki/Q790972
MS3	op06n12	44	44	1: 0	1: 4/4, 2: 6/8, 3: 5/8, 4: 3/8, 6: 9/8, 8: 3/8, 9: 9/8, 16: 6/8, 17: 5/8, 18: 4/8, 21: 6/8, 23: 5/8, 25: 6/8, 26: 9/8, 32: 5/8, 33: 6/8, 36: 9/8, 37: 6/8, 40: 9/8	77	2.3.0	c	Amelia Brey	DK	Bela Bartok	Bagatelles	12	Rubato	op. 6				©	2022-08-06	Microsoft Windows			3.6.2	33-94 (A1-A#6)	1908	1908	https://imslp.org/wiki/14_Bagatelles%2C_Op.6_(Bart%C3%B3k%2C_B%C3%A9la)	https://musicbrainz.org/work/38dfe04b-4f04-4c38-898f-3d461bb30ee3	Amelia Brey	39-94 (Eb2-A#6)	ARIA Player	33-75 (A1-Eb5)	ARIA Player	Tatyana Tuchynska	https://viaf.org/viaf/183691259/#Barto%CC%81k,_Be%CC%81la,_1881-1945._|_Bagatelles,_piano,_op._6	https://www.wikidata.org/wiki/Q790972
MS3	op06n13	26	26	1: 0	1: 4/4	42		eb		DK	Bela Bartok	Bagatelles	13	Elle est morte	op. 6				©	2022-08-06	Microsoft Windows			3.6.2	30-85 (Gb1-Db6)	1908	1908	https://imslp.org/wiki/14_Bagatelles%2C_Op.6_(Bart%C3%B3k%2C_B%C3%A9la)	https://musicbrainz.org/work/38dfe04b-4f04-4c38-898f-3d461bb30ee3	Amelia Brey	49-85 (Db3-Db6)	ARIA Player	30-58 (Gb1-Bb3)	ARIA Player	Tatyana Tuchynska	https://viaf.org/viaf/183691259/#Barto%CC%81k,_Be%CC%81la,_1881-1945._|_Bagatelles,_piano,_op._6	https://www.wikidata.org/wiki/Q790972
