mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.2	0	0	3/4	1	1	1/20	1/16	4/5		1	67	G4	4	0
1	1	1/5	0.2	1/20	1/20	3/4	1	1	1/20	1/16	4/5		5	71	B4	4	1
1	1	2/5	0.2	1/10	1/10	3/4	1	1	1/20	1/16	4/5		-2	70	Bb4	4	2
1	1	3/5	0.2	3/20	3/20	3/4	1	1	1/20	1/16	4/5		3	69	A4	4	3
1	1	4/5	0.2	1/5	1/5	3/4	1	1	1/20	1/16	4/5		-4	68	Ab4	4	4
1	1	1	0.2	1/4	1/4	3/4	1	1	1/20	1/16	4/5		1	67	G4	4	5
1	1	6/5	0.2	3/10	3/10	3/4	1	1	1/20	1/16	4/5		5	71	B4	4	6
1	1	7/5	0.2	7/20	7/20	3/4	1	1	1/20	1/16	4/5		-2	70	Bb4	4	7
1	1	8/5	0.2	2/5	2/5	3/4	1	1	1/20	1/16	4/5		3	69	A4	4	8
1	1	9/5	0.2	9/20	9/20	3/4	1	1	1/20	1/16	4/5		-4	68	Ab4	4	9
1	1	2	0.2	1/2	1/2	3/4	1	1	1/20	1/16	4/5		1	67	G4	4	10
1	1	11/5	0.2	11/20	11/20	3/4	1	1	1/20	1/16	4/5		5	71	B4	4	11
1	1	12/5	0.2	3/5	3/5	3/4	1	1	1/20	1/16	4/5		-2	70	Bb4	4	12
1	1	13/5	0.2	13/20	13/20	3/4	1	1	1/20	1/16	4/5		3	69	A4	4	13
1	1	14/5	0.2	7/10	7/10	3/4	1	1	1/20	1/16	4/5		-4	68	Ab4	4	14
2	2	3	0.2	0	0	3/4	1	1	1/20	1/16	4/5		1	67	G4	4	15
2	2	16/5	0.2	1/20	1/20	3/4	1	1	1/20	1/16	4/5		5	71	B4	4	16
2	2	17/5	0.2	1/10	1/10	3/4	1	1	1/20	1/16	4/5		-2	70	Bb4	4	17
