mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	1	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		7	61	C#4	4	0
1	1	2	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		7	61	C#4	4	1
1	1	3	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		9	63	D#4	4	2
2	2	4	4.0	0	0	4/4	1	1	1	1	1	1	4	64	E4	4	3
2	2	6	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		1	67	G4	4	4
2	2	13/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		-1	65	F4	4	5
2	2	7	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		-3	63	Eb4	4	6
2	2	15/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		-5	61	Db4	4	7
3	3	8	1.0	0	0	4/4	2	1	1/4	1/4	1		0	60	C4	4	12
3	3	8	1.0	0	0	4/4	1	1	1/4	1/4	1	-1	4	64	E4	4	8
3	3	9	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		8	68	G#4	4	9
3	3	10	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		7	61	C#4	4	10
3	3	11	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		9	63	D#4	4	11
4	4	12	4.0	0	0	4/4	1	1	1	1	1	1	4	64	E4	4	13
4	4	14	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		1	67	G4	4	14
4	4	29/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		-1	65	F4	4	15
4	4	15	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		-3	63	Eb4	4	16
4	4	31/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		-5	61	Db4	4	17
5	5	16	1.0	0	0	4/4	2	1	1/4	1/4	1		0	60	C4	4	23
5	5	16	1.0	0	0	4/4	1	1	1/4	1/4	1	-1	4	64	E4	4	18
5	5	17	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		6	66	F#4	4	19
5	5	18	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		8	68	G#4	4	20
5	5	19	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		4	64	E4	4	21
5	5	39/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		6	66	F#4	4	22
6	6	20	2.0	0	0	4/4	1	1	1/2	1/2	1		3	69	A4	4	24
6	6	20	0.5	0	0	4/4	2	1	1/8	1/8	1		0	72	C5	5	28
6	6	41/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		-2	70	Bb4	4	29
6	6	21	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		-4	68	Ab4	4	30
6	6	43/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		1	67	G4	4	31
6	6	22	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		-1	65	F4	4	32
6	6	22	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		5	71	B4	4	25
6	6	45/2	1.0	5/8	5/8	4/4	1	1	1/4	1/4	1		7	73	C#5	5	26
6	6	47/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		3	69	A4	4	27
7	7	24	0.5	0	0	4/4	1	1	1/8	1/8	1		5	71	B4	4	33
7	7	49/2	1.0	1/8	1/8	4/4	1	1	1/4	1/4	1		6	66	F#4	4	34
7	7	51/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		4	64	E4	4	35
7	7	26	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		6	66	F#4	4	36
7	7	53/2	1.0	5/8	5/8	4/4	1	1	1/4	1/4	1		7	61	C#4	4	37
7	7	55/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		8	68	G#4	4	38
8	8	28	0.5	0	0	4/4	1	1	1/8	1/8	1		6	66	F#4	4	39
8	8	57/2	1.0	1/8	1/8	4/4	1	1	1/4	1/4	1		8	68	G#4	4	40
8	8	59/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		3	57	A3	3	41
8	8	30	0.25	1/2	1/2	4/4	1	1	1/16	1/16	1		5	59	B3	3	42
8	8	121/4	0.75	9/16	9/16	4/4	1	1	3/16	1/8	3/2		4	64	E4	4	43
8	8	31	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1	1	4	64	E4	4	44
9	9	32	0.5	0	0	4/4	2	2	1/8	1/8	1		-5	49	Db3	3	50
9	9	32	4.0	0	0	4/4	1	1	1	1	1	0	4	64	E4	4	45
9	9	65/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		0	48	C3	3	51
9	9	33	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		-2	46	Bb2	2	52
9	9	67/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		-4	44	Ab2	2	53
9	9	34	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		1	43	G2	2	54
9	9	34	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		1	55	G3	3	46
9	9	69/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		-1	53	F3	3	47
9	9	35	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		-3	51	Eb3	3	48
9	9	71/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		-5	49	Db3	3	49
10	10	36	1.0	0	0	4/4	2	1	1/4	1/4	1		0	48	C3	3	60
10	10	36	1.0	0	0	4/4	1	1	1/4	1/4	1	-1	4	64	E4	4	55
10	10	37	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		8	68	G#4	4	56
10	10	38	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		6	66	F#4	4	57
10	10	39	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		7	61	C#4	4	58
10	10	79/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		5	59	B3	3	59
11	11	40	0.5	0	0	4/4	2	2	1/8	1/8	1		-5	49	Db3	3	68
11	11	40	0.25	0	0	4/4	1	1	1/16	1/16	1		7	61	C#4	4	61
11	11	161/4	0.75	1/16	1/16	4/4	1	1	3/16	1/8	3/2		4	64	E4	4	62
11	11	81/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		0	48	C3	3	69
11	11	41	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		-2	46	Bb2	2	70
11	11	41	3.0	1/4	1/4	4/4	1	1	3/4	1/2	3/2	1	4	64	E4	4	63
11	11	83/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		-4	44	Ab2	2	71
11	11	42	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		1	43	G2	2	72
11	11	42	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		1	55	G3	3	64
11	11	85/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		-1	53	F3	3	65
11	11	43	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		-3	51	Eb3	3	66
11	11	87/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		-5	49	Db3	3	67
12	12	44	1.0	0	0	4/4	2	1	1/4	1/4	1		0	48	C3	3	82
12	12	44	1.0	0	0	4/4	1	1	1/4	1/4	1	-1	4	64	E4	4	73
12	12	45	1.0	1/4	1/4	4/4	1	3	1/4	1/4	1		3	57	A3	3	78
12	12	45	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	74
12	12	46	0.5	1/2	1/2	4/4	1	3	1/8	1/8	1		5	59	B3	3	79
12	12	46	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		5	71	B4	4	75
12	12	93/2	1.0	5/8	5/8	4/4	1	3	1/4	1/4	1		7	61	C#4	4	80
12	12	93/2	1.0	5/8	5/8	4/4	1	1	1/4	1/4	1		7	73	C#5	5	76
12	12	95/2	0.5	7/8	7/8	4/4	1	3	1/8	1/8	1		6	66	F#4	4	81
12	12	95/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		6	78	F#5	5	77
13	13	48	1.0	0	0	4/4	1	2	1/4	1/4	1		4	64	E4	4	89
13	13	48	1.0	0	0	4/4	1	1	1/4	1/4	1		4	76	E5	5	83
13	13	49	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		5	59	B3	3	90
13	13	49	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		5	71	B4	4	84
13	13	99/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		6	54	F#3	3	91
13	13	99/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		6	66	F#4	4	85
13	13	50	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		7	61	C#4	4	92
13	13	50	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		7	73	C#5	5	86
13	13	51	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		8	56	G#3	3	93
13	13	51	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		8	68	G#4	4	87
